ID,ItemNo,Date,Shift,Station,Hour,Quantity,LineLeader,Bay,DivisionId,CreationDateTime,BreakTime,WorkOrderId,Company,Division
35,Items-EE-04264866-BR,2022-06-01,G,EE-0001,1900-01-01 13:00:00,41,EE_LineLeader_1,EE-0001,4,2022-06-01 21:02:00,30,W-685524,,
36,Items-EE-04264866-BR,2022-06-01,G,EE-0001,1900-01-01 15:00:00,41,EE_LineLeader_1,EE-0001,4,2022-06-01 21:04:00,0,W-685524,,
37,Items-EE-04264866-BR,2022-06-01,G,EE-0001,1900-01-01 20:00:00,41,EE_LineLeader_1,EE-0001,4,2022-06-01 21:06:00,60,W-685524,,
38,Items-EE-04264866-BR,2022-06-01,G,EE-0001,1900-01-01 17:00:00,42,EE_LineLeader_1,EE-0001,4,2022-06-01 21:08:00,60,W-685524,,
39,Items-EP-03621157-BR,2022-06-01,G,EP-0001,1900-01-01 13:00:00,178,EP_LineLeader_1,EP-0001,1,2022-06-01 21:02:00,0,W-670804,,
40,Items-BC-04459113-US,2022-06-01,G,BC-0001,1900-01-01 19:00:00,23,BC_LineLeader_1,BC-0001,5,2022-06-01 21:02:00,60,W-666164,,
41,Items-BC-04459113-US,2022-06-01,G,BC-0001,1900-01-01 20:00:00,23,BC_LineLeader_1,BC-0001,5,2022-06-01 21:04:00,0,W-666164,,
42,Items-BC-04459113-US,2022-06-01,G,BC-0001,1900-01-01 16:00:00,24,BC_LineLeader_1,BC-0001,5,2022-06-01 21:06:00,30,W-666164,,
43,Items-BC-04459113-US,2022-06-01,G,BC-0001,1900-01-01 11:00:00,24,BC_LineLeader_1,BC-0001,5,2022-06-01 21:08:00,30,W-666164,,
44,Items-BC-04459113-US,2022-06-01,G,BC-0001,1900-01-01 16:00:00,24,BC_LineLeader_1,BC-0001,5,2022-06-01 21:10:00,30,W-666164,,
45,Items-BC-04459113-US,2022-06-01,G,BC-0001,1900-01-01 09:00:00,24,BC_LineLeader_1,BC-0001,5,2022-06-01 21:12:00,0,W-666164,,
46,Items-BC-04459113-US,2022-06-01,G,BC-0001,1900-01-01 10:00:00,24,BC_LineLeader_1,BC-0001,5,2022-06-01 21:14:00,30,W-666164,,
47,Items-BC-04459113-US,2022-06-01,G,BC-0001,1900-01-01 12:00:00,24,BC_LineLeader_1,BC-0001,5,2022-06-01 21:16:00,0,W-666164,,
48,Items-BC-04459113-US,2022-06-01,G,BC-0001,1900-01-01 17:00:00,24,BC_LineLeader_1,BC-0001,5,2022-06-01 21:18:00,60,W-666164,,
49,Items-BC-04459113-US,2022-06-01,G,BC-0001,1900-01-01 13:00:00,24,BC_LineLeader_1,BC-0001,5,2022-06-01 21:20:00,30,W-666164,,
50,Items-BC-03358366-US,2022-06-01,G,BC-0001,1900-01-01 09:00:00,31,BC_LineLeader_1,BC-0001,5,2022-06-01 21:02:00,30,W-636341,,
51,Items-BC-03358366-US,2022-06-01,G,BC-0001,1900-01-01 16:00:00,31,BC_LineLeader_1,BC-0001,5,2022-06-01 21:04:00,0,W-636341,,
52,Items-BC-03358366-US,2022-06-01,G,BC-0001,1900-01-01 14:00:00,31,BC_LineLeader_1,BC-0001,5,2022-06-01 21:06:00,0,W-636341,,
53,Items-BC-03358366-US,2022-06-01,G,BC-0001,1900-01-01 16:00:00,31,BC_LineLeader_1,BC-0001,5,2022-06-01 21:08:00,30,W-636341,,
54,Items-BC-03358366-US,2022-06-01,G,BC-0001,1900-01-01 12:00:00,31,BC_LineLeader_1,BC-0001,5,2022-06-01 21:10:00,0,W-636341,,
55,Items-BC-03358366-US,2022-06-01,G,BC-0001,1900-01-01 16:00:00,32,BC_LineLeader_1,BC-0001,5,2022-06-01 21:12:00,0,W-636341,,
56,Items-BC-03358366-US,2022-06-01,G,BC-0001,1900-01-01 20:00:00,32,BC_LineLeader_1,BC-0001,5,2022-06-01 21:14:00,30,W-636341,,
57,Items-EE-08274581-US,2022-06-01,G,EE-0001,1900-01-01 13:00:00,19,EE_LineLeader_1,EE-0001,4,2022-06-01 21:02:00,60,W-287757,,
58,Items-EE-08274581-US,2022-06-01,G,EE-0001,1900-01-01 18:00:00,19,EE_LineLeader_1,EE-0001,4,2022-06-01 21:04:00,60,W-287757,,
59,Items-EE-08274581-US,2022-06-01,G,EE-0001,1900-01-01 12:00:00,19,EE_LineLeader_1,EE-0001,4,2022-06-01 21:06:00,0,W-287757,,
60,Items-EE-08274581-US,2022-06-01,G,EE-0001,1900-01-01 13:00:00,19,EE_LineLeader_1,EE-0001,4,2022-06-01 21:08:00,60,W-287757,,
61,Items-EE-08274581-US,2022-06-01,G,EE-0001,1900-01-01 12:00:00,19,EE_LineLeader_1,EE-0001,4,2022-06-01 21:10:00,0,W-287757,,
62,Items-EE-08274581-US,2022-06-01,G,EE-0001,1900-01-01 14:00:00,19,EE_LineLeader_1,EE-0001,4,2022-06-01 21:12:00,0,W-287757,,
63,Items-EE-08274581-US,2022-06-01,G,EE-0001,1900-01-01 11:00:00,20,EE_LineLeader_1,EE-0001,4,2022-06-01 21:14:00,30,W-287757,,
64,Items-EE-08274581-US,2022-06-01,G,EE-0001,1900-01-01 15:00:00,20,EE_LineLeader_1,EE-0001,4,2022-06-01 21:16:00,30,W-287757,,
65,Items-EE-08274581-US,2022-06-01,G,EE-0001,1900-01-01 20:00:00,20,EE_LineLeader_1,EE-0001,4,2022-06-01 21:18:00,0,W-287757,,
66,Items-TS-06544504-BR,2022-06-01,G,TS-0001,1900-01-01 18:00:00,110,TS_LineLeader_1,TS-0001,2,2022-06-01 21:02:00,0,W-959021,,
67,Items-TS-06544504-BR,2022-06-01,G,TS-0001,1900-01-01 14:00:00,110,TS_LineLeader_1,TS-0001,2,2022-06-01 21:04:00,30,W-959021,,
68,Items-TS-04419885-CH,2022-06-01,G,TS-0001,1900-01-01 09:00:00,20,TS_LineLeader_1,TS-0001,2,2022-06-01 21:02:00,30,W-826468,,
69,Items-TS-04419885-CH,2022-06-01,G,TS-0001,1900-01-01 10:00:00,20,TS_LineLeader_1,TS-0001,2,2022-06-01 21:04:00,0,W-826468,,
70,Items-TS-04419885-CH,2022-06-01,G,TS-0001,1900-01-01 16:00:00,21,TS_LineLeader_1,TS-0001,2,2022-06-01 21:06:00,60,W-826468,,
71,Items-TS-04419885-CH,2022-06-01,G,TS-0001,1900-01-01 10:00:00,21,TS_LineLeader_1,TS-0001,2,2022-06-01 21:08:00,60,W-826468,,
72,Items-TS-04419885-CH,2022-06-01,G,TS-0001,1900-01-01 16:00:00,21,TS_LineLeader_1,TS-0001,2,2022-06-01 21:10:00,60,W-826468,,
73,Items-TS-04419885-CH,2022-06-01,G,TS-0001,1900-01-01 15:00:00,21,TS_LineLeader_1,TS-0001,2,2022-06-01 21:12:00,0,W-826468,,
74,Items-TS-04419885-CH,2022-06-01,G,TS-0001,1900-01-01 14:00:00,21,TS_LineLeader_1,TS-0001,2,2022-06-01 21:14:00,0,W-826468,,
75,Items-TS-04419885-CH,2022-06-01,G,TS-0001,1900-01-01 19:00:00,21,TS_LineLeader_1,TS-0001,2,2022-06-01 21:16:00,0,W-826468,,
76,Items-BC-08373900-UK,2022-06-01,G,BC-0001,1900-01-01 14:00:00,55,BC_LineLeader_1,BC-0001,5,2022-06-01 21:02:00,30,W-847481,,
77,Items-BC-08373900-UK,2022-06-01,G,BC-0001,1900-01-01 09:00:00,55,BC_LineLeader_1,BC-0001,5,2022-06-01 21:04:00,0,W-847481,,
78,Items-BC-08373900-UK,2022-06-01,G,BC-0001,1900-01-01 16:00:00,55,BC_LineLeader_1,BC-0001,5,2022-06-01 21:06:00,0,W-847481,,
79,Items-BC-00078136-US,2022-06-01,G,BC-0001,1900-01-01 10:00:00,18,BC_LineLeader_1,BC-0001,5,2022-06-01 21:02:00,0,W-220355,,
80,Items-BC-00078136-US,2022-06-01,G,BC-0001,1900-01-01 18:00:00,19,BC_LineLeader_1,BC-0001,5,2022-06-01 21:04:00,30,W-220355,,
81,Items-BC-00078136-US,2022-06-01,G,BC-0001,1900-01-01 14:00:00,19,BC_LineLeader_1,BC-0001,5,2022-06-01 21:06:00,0,W-220355,,
82,Items-BC-00078136-US,2022-06-01,G,BC-0001,1900-01-01 11:00:00,19,BC_LineLeader_1,BC-0001,5,2022-06-01 21:08:00,30,W-220355,,
83,Items-BC-00078136-US,2022-06-01,G,BC-0001,1900-01-01 14:00:00,19,BC_LineLeader_1,BC-0001,5,2022-06-01 21:10:00,30,W-220355,,
84,Items-BC-00078136-US,2022-06-01,G,BC-0001,1900-01-01 12:00:00,19,BC_LineLeader_1,BC-0001,5,2022-06-01 21:12:00,0,W-220355,,
85,Items-BC-00078136-US,2022-06-01,G,BC-0001,1900-01-01 19:00:00,19,BC_LineLeader_1,BC-0001,5,2022-06-01 21:14:00,30,W-220355,,
86,Items-BC-00078136-US,2022-06-01,G,BC-0001,1900-01-01 16:00:00,19,BC_LineLeader_1,BC-0001,5,2022-06-01 21:16:00,0,W-220355,,
87,Items-BC-00078136-US,2022-06-01,G,BC-0001,1900-01-01 12:00:00,19,BC_LineLeader_1,BC-0001,5,2022-06-01 21:18:00,60,W-220355,,
88,Items-BC-07313892-JP,2022-06-01,G,BC-0001,1900-01-01 15:00:00,31,BC_LineLeader_1,BC-0001,5,2022-06-01 21:02:00,0,W-994063,,
89,Items-BC-07313892-JP,2022-06-01,G,BC-0001,1900-01-01 14:00:00,31,BC_LineLeader_1,BC-0001,5,2022-06-01 21:04:00,30,W-994063,,
90,Items-BC-07313892-JP,2022-06-01,G,BC-0001,1900-01-01 20:00:00,32,BC_LineLeader_1,BC-0001,5,2022-06-01 21:06:00,30,W-994063,,
91,Items-BC-07313892-JP,2022-06-01,G,BC-0001,1900-01-01 15:00:00,32,BC_LineLeader_1,BC-0001,5,2022-06-01 21:08:00,0,W-994063,,
92,Items-BC-07313892-JP,2022-06-01,G,BC-0001,1900-01-01 09:00:00,32,BC_LineLeader_1,BC-0001,5,2022-06-01 21:10:00,60,W-994063,,
93,Items-BC-07313892-JP,2022-06-01,G,BC-0001,1900-01-01 10:00:00,32,BC_LineLeader_1,BC-0001,5,2022-06-01 21:12:00,60,W-994063,,
94,Items-BC-07313892-JP,2022-06-01,G,BC-0001,1900-01-01 09:00:00,32,BC_LineLeader_1,BC-0001,5,2022-06-01 21:14:00,60,W-994063,,
95,Items-BC-00797195-JP,2022-06-01,G,BC-0001,1900-01-01 09:00:00,43,BC_LineLeader_1,BC-0001,5,2022-06-01 21:02:00,0,W-655634,,
96,Items-BC-00797195-JP,2022-06-01,G,BC-0001,1900-01-01 15:00:00,43,BC_LineLeader_1,BC-0001,5,2022-06-01 21:04:00,30,W-655634,,
97,Items-BC-00797195-JP,2022-06-01,G,BC-0001,1900-01-01 20:00:00,43,BC_LineLeader_1,BC-0001,5,2022-06-01 21:06:00,0,W-655634,,
98,Items-BC-00797195-JP,2022-06-01,G,BC-0001,1900-01-01 17:00:00,43,BC_LineLeader_1,BC-0001,5,2022-06-01 21:08:00,0,W-655634,,
99,Items-BC-00797195-JP,2022-06-01,G,BC-0001,1900-01-01 18:00:00,44,BC_LineLeader_1,BC-0001,5,2022-06-01 21:10:00,0,W-655634,,
100,Items-BC-01252357-US,2022-06-01,G,BC-0001,1900-01-01 17:00:00,24,BC_LineLeader_1,BC-0001,5,2022-06-01 21:02:00,0,W-695321,,
101,Items-BC-01252357-US,2022-06-01,G,BC-0001,1900-01-01 11:00:00,24,BC_LineLeader_1,BC-0001,5,2022-06-01 21:04:00,0,W-695321,,
102,Items-BC-01252357-US,2022-06-01,G,BC-0001,1900-01-01 15:00:00,24,BC_LineLeader_1,BC-0001,5,2022-06-01 21:06:00,60,W-695321,,
103,Items-BC-01252357-US,2022-06-01,G,BC-0001,1900-01-01 15:00:00,24,BC_LineLeader_1,BC-0001,5,2022-06-01 21:08:00,60,W-695321,,
104,Items-BC-01252357-US,2022-06-01,G,BC-0001,1900-01-01 14:00:00,24,BC_LineLeader_1,BC-0001,5,2022-06-01 21:10:00,30,W-695321,,
105,Items-BC-01252357-US,2022-06-01,G,BC-0001,1900-01-01 13:00:00,24,BC_LineLeader_1,BC-0001,5,2022-06-01 21:12:00,0,W-695321,,
106,Items-BC-01252357-US,2022-06-01,G,BC-0001,1900-01-01 10:00:00,24,BC_LineLeader_1,BC-0001,5,2022-06-01 21:14:00,0,W-695321,,
107,Items-BC-01252357-US,2022-06-01,G,BC-0001,1900-01-01 18:00:00,25,BC_LineLeader_1,BC-0001,5,2022-06-01 21:16:00,0,W-695321,,
108,Items-BC-01252357-US,2022-06-01,G,BC-0001,1900-01-01 19:00:00,25,BC_LineLeader_1,BC-0001,5,2022-06-01 21:18:00,0,W-695321,,
109,Items-TS-06196662-JP,2022-06-01,G,TS-0001,1900-01-01 17:00:00,23,TS_LineLeader_1,TS-0001,2,2022-06-01 21:02:00,30,W-772918,,
110,Items-TS-06196662-JP,2022-06-01,G,TS-0001,1900-01-01 19:00:00,23,TS_LineLeader_1,TS-0001,2,2022-06-01 21:04:00,30,W-772918,,
111,Items-TS-06196662-JP,2022-06-01,G,TS-0001,1900-01-01 16:00:00,23,TS_LineLeader_1,TS-0001,2,2022-06-01 21:06:00,0,W-772918,,
112,Items-TS-06196662-JP,2022-06-01,G,TS-0001,1900-01-01 10:00:00,23,TS_LineLeader_1,TS-0001,2,2022-06-01 21:08:00,60,W-772918,,
113,Items-TS-06196662-JP,2022-06-01,G,TS-0001,1900-01-01 11:00:00,23,TS_LineLeader_1,TS-0001,2,2022-06-01 21:10:00,0,W-772918,,
114,Items-TS-06196662-JP,2022-06-01,G,TS-0001,1900-01-01 13:00:00,23,TS_LineLeader_1,TS-0001,2,2022-06-01 21:12:00,0,W-772918,,
115,Items-TS-06196662-JP,2022-06-01,G,TS-0001,1900-01-01 10:00:00,24,TS_LineLeader_1,TS-0001,2,2022-06-01 21:14:00,60,W-772918,,
116,Items-TS-06196662-JP,2022-06-01,G,TS-0001,1900-01-01 11:00:00,24,TS_LineLeader_1,TS-0001,2,2022-06-01 21:16:00,0,W-772918,,
117,Items-SB-00509063-CH,2022-06-01,G,SB-0001,1900-01-01 14:00:00,58,SB_LineLeader_1,SB-0001,3,2022-06-01 21:02:00,0,W-151434,,
118,Items-SB-00509063-CH,2022-06-01,G,SB-0001,1900-01-01 13:00:00,58,SB_LineLeader_1,SB-0001,3,2022-06-01 21:04:00,0,W-151434,,
119,Items-SB-00509063-CH,2022-06-01,G,SB-0001,1900-01-01 10:00:00,58,SB_LineLeader_1,SB-0001,3,2022-06-01 21:06:00,0,W-151434,,
120,Items-SB-06491467-IN,2022-06-01,G,SB-0001,1900-01-01 19:00:00,40,SB_LineLeader_1,SB-0001,3,2022-06-01 21:02:00,0,W-881446,,
121,Items-SB-06491467-IN,2022-06-01,G,SB-0001,1900-01-01 20:00:00,40,SB_LineLeader_1,SB-0001,3,2022-06-01 21:04:00,0,W-881446,,
122,Items-SB-06491467-IN,2022-06-01,G,SB-0001,1900-01-01 09:00:00,40,SB_LineLeader_1,SB-0001,3,2022-06-01 21:06:00,60,W-881446,,
123,Items-SB-06491467-IN,2022-06-01,G,SB-0001,1900-01-01 11:00:00,41,SB_LineLeader_1,SB-0001,3,2022-06-01 21:08:00,30,W-881446,,
124,Items-TS-00223294-BR,2022-06-01,G,TS-0001,1900-01-01 15:00:00,39,TS_LineLeader_1,TS-0001,2,2022-06-01 21:02:00,30,W-619485,,
125,Items-TS-00223294-BR,2022-06-01,G,TS-0001,1900-01-01 16:00:00,39,TS_LineLeader_1,TS-0001,2,2022-06-01 21:04:00,0,W-619485,,
126,Items-TS-00223294-BR,2022-06-01,G,TS-0001,1900-01-01 11:00:00,39,TS_LineLeader_1,TS-0001,2,2022-06-01 21:06:00,60,W-619485,,
127,Items-TS-00223294-BR,2022-06-01,G,TS-0001,1900-01-01 16:00:00,39,TS_LineLeader_1,TS-0001,2,2022-06-01 21:08:00,0,W-619485,,
128,Items-TS-00223294-BR,2022-06-01,G,TS-0001,1900-01-01 13:00:00,39,TS_LineLeader_1,TS-0001,2,2022-06-01 21:10:00,0,W-619485,,
129,Items-TS-00223294-BR,2022-06-01,G,TS-0001,1900-01-01 20:00:00,40,TS_LineLeader_1,TS-0001,2,2022-06-01 21:12:00,0,W-619485,,
130,Items-EE-03921377-JP,2022-06-01,G,EE-0001,1900-01-01 12:00:00,36,EE_LineLeader_1,EE-0001,4,2022-06-01 21:02:00,0,W-411354,,
131,Items-EE-03921377-JP,2022-06-01,G,EE-0001,1900-01-01 19:00:00,37,EE_LineLeader_1,EE-0001,4,2022-06-01 21:04:00,0,W-411354,,
132,Items-EE-03921377-JP,2022-06-01,G,EE-0001,1900-01-01 16:00:00,37,EE_LineLeader_1,EE-0001,4,2022-06-01 21:06:00,60,W-411354,,
133,Items-EE-03921377-JP,2022-06-01,G,EE-0001,1900-01-01 15:00:00,37,EE_LineLeader_1,EE-0001,4,2022-06-01 21:08:00,0,W-411354,,
134,Items-EE-03921377-JP,2022-06-01,G,EE-0001,1900-01-01 12:00:00,37,EE_LineLeader_1,EE-0001,4,2022-06-01 21:10:00,0,W-411354,,
135,Items-EE-03921377-JP,2022-06-01,G,EE-0001,1900-01-01 14:00:00,37,EE_LineLeader_1,EE-0001,4,2022-06-01 21:12:00,30,W-411354,,
136,Items-EP-03052349-BR,2022-06-01,G,EP-0001,1900-01-01 19:00:00,15,EP_LineLeader_1,EP-0001,1,2022-06-01 21:02:00,0,W-312075,,
137,Items-EP-03052349-BR,2022-06-01,G,EP-0001,1900-01-01 15:00:00,15,EP_LineLeader_1,EP-0001,1,2022-06-01 21:04:00,0,W-312075,,
138,Items-EP-03052349-BR,2022-06-01,G,EP-0001,1900-01-01 19:00:00,15,EP_LineLeader_1,EP-0001,1,2022-06-01 21:06:00,60,W-312075,,
139,Items-EP-03052349-BR,2022-06-01,G,EP-0001,1900-01-01 09:00:00,15,EP_LineLeader_1,EP-0001,1,2022-06-01 21:08:00,0,W-312075,,
140,Items-EP-03052349-BR,2022-06-01,G,EP-0001,1900-01-01 13:00:00,15,EP_LineLeader_1,EP-0001,1,2022-06-01 21:10:00,0,W-312075,,
141,Items-EP-03052349-BR,2022-06-01,G,EP-0001,1900-01-01 19:00:00,15,EP_LineLeader_1,EP-0001,1,2022-06-01 21:12:00,60,W-312075,,
142,Items-EP-03052349-BR,2022-06-01,G,EP-0001,1900-01-01 09:00:00,16,EP_LineLeader_1,EP-0001,1,2022-06-01 21:14:00,0,W-312075,,
143,Items-EP-03052349-BR,2022-06-01,G,EP-0001,1900-01-01 09:00:00,16,EP_LineLeader_1,EP-0001,1,2022-06-01 21:16:00,0,W-312075,,
144,Items-EP-03052349-BR,2022-06-01,G,EP-0001,1900-01-01 09:00:00,16,EP_LineLeader_1,EP-0001,1,2022-06-01 21:18:00,0,W-312075,,
145,Items-EP-03052349-BR,2022-06-01,G,EP-0001,1900-01-01 10:00:00,16,EP_LineLeader_1,EP-0001,1,2022-06-01 21:20:00,60,W-312075,,
146,Items-TS-00689461-BR,2022-06-01,G,TS-0001,1900-01-01 17:00:00,28,TS_LineLeader_1,TS-0001,2,2022-06-01 21:02:00,60,W-869711,,
147,Items-TS-00689461-BR,2022-06-01,G,TS-0001,1900-01-01 19:00:00,29,TS_LineLeader_1,TS-0001,2,2022-06-01 21:04:00,60,W-869711,,
148,Items-TS-00689461-BR,2022-06-01,G,TS-0001,1900-01-01 12:00:00,29,TS_LineLeader_1,TS-0001,2,2022-06-01 21:06:00,60,W-869711,,
149,Items-TS-00689461-BR,2022-06-01,G,TS-0001,1900-01-01 13:00:00,29,TS_LineLeader_1,TS-0001,2,2022-06-01 21:08:00,0,W-869711,,
150,Items-TS-00689461-BR,2022-06-01,G,TS-0001,1900-01-01 20:00:00,29,TS_LineLeader_1,TS-0001,2,2022-06-01 21:10:00,30,W-869711,,
151,Items-TS-00689461-BR,2022-06-01,G,TS-0001,1900-01-01 14:00:00,29,TS_LineLeader_1,TS-0001,2,2022-06-01 21:12:00,60,W-869711,,
152,Items-TS-00689461-BR,2022-06-01,G,TS-0001,1900-01-01 11:00:00,29,TS_LineLeader_1,TS-0001,2,2022-06-01 21:14:00,60,W-869711,,
153,Items-TS-00689461-BR,2022-06-01,G,TS-0001,1900-01-01 20:00:00,29,TS_LineLeader_1,TS-0001,2,2022-06-01 21:16:00,60,W-869711,,
154,Items-BC-02610967-US,2022-06-01,G,BC-0001,1900-01-01 13:00:00,33,BC_LineLeader_1,BC-0001,5,2022-06-01 21:02:00,0,W-361394,,
155,Items-BC-02610967-US,2022-06-01,G,BC-0001,1900-01-01 15:00:00,33,BC_LineLeader_1,BC-0001,5,2022-06-01 21:04:00,0,W-361394,,
156,Items-BC-02610967-US,2022-06-01,G,BC-0001,1900-01-01 11:00:00,33,BC_LineLeader_1,BC-0001,5,2022-06-01 21:06:00,60,W-361394,,
157,Items-BC-02610967-US,2022-06-01,G,BC-0001,1900-01-01 18:00:00,33,BC_LineLeader_1,BC-0001,5,2022-06-01 21:08:00,30,W-361394,,
158,Items-BC-02610967-US,2022-06-01,G,BC-0001,1900-01-01 13:00:00,33,BC_LineLeader_1,BC-0001,5,2022-06-01 21:10:00,0,W-361394,,
159,Items-BC-02610967-US,2022-06-01,G,BC-0001,1900-01-01 09:00:00,33,BC_LineLeader_1,BC-0001,5,2022-06-01 21:12:00,60,W-361394,,
160,Items-BC-02610967-US,2022-06-01,G,BC-0001,1900-01-01 16:00:00,33,BC_LineLeader_1,BC-0001,5,2022-06-01 21:14:00,0,W-361394,,
161,Items-TS-03528268-BR,2022-06-01,G,TS-0001,1900-01-01 18:00:00,21,TS_LineLeader_1,TS-0001,2,2022-06-01 06:02:00,60,W-159846,,
