Id,ItemId,Line No_,Registering Date,Location Code,Zone Code,Bin Code,Description,Item No_,Quantity,Qty_ (Base),Source Type,Source Subtype,Source No_,Source Line No_,Source Subline No_,Source Document,Source Code,Reason Code,No_ Series,Bin Type Code,Cubage,Weight,Journal Template Name,Whse_ Document No_,Whse_ Document Type,Whse_ Document Line No_,Entry Type,Reference Document,Reference No_,User ID,Variant Code
W-826468,Items-TS-04419885-CH,100,Items-TS-04419885-CH,166,1,1/6/2022 21:00,5/6/2022 4:49,,,,,,,0,,,0,0,0,,,,,,1,0,0,106,,,
W-847481,Items-BC-08373900-UK,100,Items-BC-08373900-UK,165,0,1/6/2022 21:00,4/6/2022 1:41,,,,,,,0,,,0,0,0,,,,,,0,0,0,339,0,,
W-220355,Items-BC-00078136-US,10,Items-BC-00078136-US,170,0,1/6/2022 21:00,,,,,,,,0,,,0,0,0,,,,,,0,0,0,8,,,
W-994063,Items-BC-07313892-JP,10,Items-BC-07313892-JP,222,1,1/6/2022 21:00,,,,,,,,0,,,0,1,0,,,,,,1,0,0,598,0,,
W-655634,Items-BC-00797195-JP,10,Items-BC-00797195-JP,216,0,1/6/2022 21:00,,,,,,,,0,,,1,1,0,,,,1670,1670,0,0,0,200,,,
W-695321,Items-BC-01252357-US,10,Items-BC-01252357-US,218,0,1/6/2022 21:00,,,,,,,,0,,,0,0,0,,,,2005,2005,1,0,1,273,0,,
W-772918,Items-TS-06196662-JP,100,Items-TS-06196662-JP,186,1,1/6/2022 21:00,3/6/2022 4:48,,,,,,,0,,,1,0,0,,,,,,0,0,0,882,0,,
W-151434,Items-SB-00509063-CH,100,Items-SB-00509063-CH,174,0,1/6/2022 21:00,3/6/2022 3:34,,,,,,,0,,,1,0,4937,,,,,,1,0,0,308,0,,
W-881446,Items-SB-06491467-IN,10,Items-SB-06491467-IN,161,1,1/6/2022 21:00,,,,,,,,0,,,1,0,0,,,,3826,3826,1,0,0,19,0,,
W-619485,Items-TS-00223294-BR,10,Items-TS-00223294-BR,235,0,1/6/2022 21:00,4/6/2022 1:48,,,,,,,0,,,0,0,0,,,,,,1,0,0,190,,,
W-411354,Items-EE-03921377-JP,100,Items-EE-03921377-JP,221,1,1/6/2022 21:00,,,,,,,,0,,,1,1,0,,,,455,455,1,0,0,528,0,,
W-312075,Items-EP-03052349-BR,100,Items-EP-03052349-BR,154,1,1/6/2022 21:00,,,,,,,,0,,,0,0,3582,,,,,,1,0,0,695,,,
W-869711,Items-TS-00689461-BR,10,Items-TS-00689461-BR,231,1,1/6/2022 21:00,,,,,,,,0,,,0,0,0,,,,164,164,1,0,0,937,,,
W-361394,Items-BC-02610967-US,10,Items-BC-02610967-US,231,1,1/6/2022 21:00,,,,,,,,0,,,1,1,0,,,,3731,3731,1,0,0,976,,,
W-159846,Items-TS-03528268-BR,10,Items-TS-03528268-BR,152,1,1/6/2022 6:00,3/6/2022 13:39,,,,,,,0,,,1,0,0,,,,913,913,0,0,0,664,0,,
W-718556,Items-BC-00797195-JP,10,Items-BC-00797195-JP,164,0,1/6/2022 6:00,2/6/2022 13:42,,,,,,,0,,,1,0,0,,,,,,0,0,0,713,,,
W-312828,Items-BC-01252357-US,10,Items-BC-01252357-US,230,1,1/6/2022 6:00,6/6/2022 14:49,,,,,,,0,,,1,1,3438,,,,,,1,0,0,51,0,,
W-472795,Items-TS-06196662-JP,10,Items-TS-06196662-JP,247,0,1/6/2022 6:00,3/6/2022 13:44,,,,,,,0,,,0,0,0,,,,3823,3823,0,0,0,925,0,,
W-320335,Items-TS-08597855-US,100,Items-TS-08597855-US,155,1,1/6/2022 6:00,3/6/2022 12:26,,,,,,,0,,,0,0,3968,,,,,,0,0,0,525,0,,
W-321699,Items-EP-08791802-BR,100,Items-EP-08791802-BR,226,0,1/6/2022 6:00,3/6/2022 14:36,,,,,,,0,,,1,1,0,,,,1498,1498,0,0,0,808,0,,
W-891903,Items-EP-06020496-CH,10,Items-EP-06020496-CH,249,1,1/6/2022 6:00,6/6/2022 14:47,,,,,,,0,,,1,0,0,,,,,,0,0,0,970,0,,
W-152217,Items-TS-06687352-US,100,Items-TS-06687352-US,250,0,1/6/2022 6:00,4/6/2022 10:21,,,,,,,0,,,1,1,0,,,,,,0,0,0,153,,,
W-982000,Items-TS-01948203-UK,100,Items-TS-01948203-UK,175,0,1/6/2022 6:00,6/6/2022 12:50,,,,,,,0,,,1,0,4518,,,,3903,3903,0,0,0,767,,,
W-743803,Items-BC-09230895-CH,100,Items-BC-09230895-CH,181,0,1/6/2022 6:00,4/6/2022 10:39,,,,,,,0,,,0,1,4864,,,,,,1,0,1,744,,,
W-422604,Items-EP-04550702-BR,10,Items-EP-04550702-BR,192,0,1/6/2022 6:00,,,,,,,,0,,,0,1,0,,,,,,1,0,0,465,0,,
W-881921,Items-SB-07090191-UK,100,Items-SB-07090191-UK,244,0,1/6/2022 6:00,2/6/2022 13:28,,,,,,,0,,,1,1,0,,,,2512,2512,0,0,0,214,,,
W-682732,Items-TS-00223294-BR,10,Items-TS-00223294-BR,176,1,1/6/2022 6:00,3/6/2022 10:27,,,,,,,0,,,0,0,0,,,,,,1,0,0,660,0,,
W-119391,Items-EP-03466409-IN,10,Items-EP-03466409-IN,241,1,1/6/2022 6:00,,,,,,,,0,,,1,1,0,,,,451,451,0,0,0,913,0,,
W-925170,Items-EE-04270935-CH,10,Items-EE-04270935-CH,223,0,1/6/2022 6:00,6/6/2022 10:28,,,,,,,0,,,1,1,0,,,,,,1,0,1,90,,,
W-767892,Items-BC-09039142-BR,100,Items-BC-09039142-BR,213,0,1/6/2022 6:00,5/6/2022 10:42,,,,,,,0,,,1,1,3490,,,,1314,1314,0,0,0,530,0,,
W-242223,Items-EP-02518400-IN,10,Items-EP-02518400-IN,196,1,1/6/2022 6:00,,,,,,,,0,,,0,1,3148,,,,,,1,0,0,246,0,,
W-749695,Items-EP-00105503-JP,10,Items-EP-00105503-JP,153,0,1/6/2022 6:00,,,,,,,,0,,,1,0,0,,,,,,0,0,0,262,,,
W-843121,Items-BC-06809611-UK,10,Items-BC-06809611-UK,233,1,1/6/2022 6:00,,,,,,,,0,,,0,0,0,,,,,,1,0,0,849,0,,
W-172692,Items-EP-00081648-CH,10,Items-EP-00081648-CH,187,0,1/6/2022 6:00,,,,,,,,0,,,0,0,4915,,,,,,0,0,0,225,,,
W-58736,Items-EE-02512664-IN,100,Items-EE-02512664-IN,189,1,1/6/2022 6:00,6/6/2022 10:20,,,,,,,0,,,1,1,0,,,,1212,1212,0,0,0,0,,,
W-481213,Items-EE-01947410-JP,10,Items-EE-01947410-JP,228,0,1/6/2022 6:00,,,,,,,,0,,,1,0,4606,,,,991,991,0,0,0,648,,,
W-34644,Items-EE-02512664-IN,10,Items-EE-02512664-IN,227,1,1/6/2022 6:00,2/6/2022 14:22,,,,,,,0,,,0,0,3190,,,,,,0,0,0,766,,,
W-915027,Items-EP-04536209-JP,10,Items-EP-04536209-JP,195,1,1/6/2022 6:00,2/6/2022 14:31,,,,,,,0,,,1,1,0,,,,2406,2406,1,0,1,342,,,
W-743552,Items-BC-00366822-IN,10,Items-BC-00366822-IN,200,1,2/6/2022 11:00,5/6/2022 16:46,,,,,,,0,,,0,0,3740,,,,,,1,0,0,911,,,
W-389480,Items-SB-03591404-JP,10,Items-SB-03591404-JP,186,1,2/6/2022 11:00,,,,,,,,0,,,0,1,0,,,,991,991,1,0,0,220,0,,
W-633743,Items-EP-07767398-CH,100,Items-EP-07767398-CH,170,0,2/6/2022 11:00,6/6/2022 17:40,,,,,,,0,,,0,1,4399,,,,,,0,0,0,361,0,,
W-646894,Items-SB-00509063-CH,10,Items-SB-00509063-CH,187,1,2/6/2022 11:00,7/6/2022 18:28,,,,,,,0,,,0,0,3590,,,,353,353,0,0,0,349,0,,
W-710935,Items-SB-04583531-US,10,Items-SB-04583531-US,247,1,2/6/2022 11:00,6/6/2022 16:35,,,,,,,0,,,1,1,0,,,,4303,4303,1,0,0,190,,,
W-899615,Items-EE-04264866-BR,100,Items-EE-04264866-BR,194,0,2/6/2022 11:00,5/6/2022 15:26,,,,,,,0,,,0,0,0,,,,655,655,1,0,1,861,,,
W-638302,Items-TS-06196581-JP,10,Items-TS-06196581-JP,199,0,2/6/2022 11:00,,,,,,,,0,,,0,1,4543,,,,4104,4104,0,0,0,626,,,
W-118474,Items-BC-09230895-CH,10,Items-BC-09230895-CH,175,1,2/6/2022 11:00,,,,,,,,0,,,1,0,0,,,,2550,2550,0,0,0,147,,,
W-133056,Items-TS-04165340-US,10,Items-TS-04165340-US,232,0,2/6/2022 11:00,4/6/2022 15:41,,,,,,,0,,,0,1,0,,,,,,1,0,0,922,,,
W-236865,Items-BC-08035102-BR,100,Items-BC-08035102-BR,201,1,2/6/2022 11:00,4/6/2022 18:21,,,,,,,0,,,0,0,0,,,,,,0,0,0,819,,,
W-249653,Items-BC-08373900-UK,10,Items-BC-08373900-UK,213,0,2/6/2022 11:00,6/6/2022 19:29,,,,,,,0,,,0,0,0,,,,1774,1774,1,0,0,235,0,,
W-26086,Items-TS-06687352-US,10,Items-TS-06687352-US,184,0,2/6/2022 11:00,,,,,,,,0,,,0,1,0,,,,,,1,0,0,399,0,,
W-577194,Items-TS-03538389-US,10,Items-TS-03538389-US,196,1,2/6/2022 11:00,,,,,,,,0,,,0,1,3279,,,,1919,1919,1,0,0,433,,,
W-243644,Items-TS-03528268-BR,100,Items-TS-03528268-BR,219,1,2/6/2022 11:00,,,,,,,,0,,,1,0,3927,,,,,,1,0,0,655,0,,
W-393161,Items-EP-03466409-IN,10,Items-EP-03466409-IN,177,1,2/6/2022 11:00,,,,,,,,0,,,1,1,3013,,,,,,0,0,1,848,,,
W-110916,Items-EE-07197264-UK,10,Items-EE-07197264-UK,166,1,2/6/2022 11:00,3/6/2022 17:41,,,,,,,0,,,0,1,3690,,,,,,1,0,0,286,0,,
W-225367,Items-SB-00509063-CH,10,Items-SB-00509063-CH,215,0,2/6/2022 11:00,4/6/2022 17:34,,,,,,,0,,,0,0,3686,,,,2858,2858,1,0,0,781,,,
W-205583,Items-EE-01947410-JP,10,Items-EE-01947410-JP,209,0,2/6/2022 11:00,3/6/2022 19:29,,,,,,,0,,,0,1,0,,,,680,680,0,0,1,762,0,,
W-335861,Items-SB-07595214-JP,10,Items-SB-07595214-JP,186,1,2/6/2022 11:00,,,,,,,,0,,,1,0,4020,,,,,,1,0,0,68,,,
W-973813,Items-BC-06809611-UK,10,Items-BC-06809611-UK,249,0,2/6/2022 11:00,,,,,,,,0,,,0,1,3439,,,,1295,1295,1,0,0,5,,,
W-347806,Items-EE-00711445-JP,10,Items-EE-00711445-JP,200,1,2/6/2022 11:00,5/6/2022 15:44,,,,,,,0,,,0,1,3175,,,,,,1,0,0,371,,,
W-109858,Items-SB-09133837-BR,10,Items-SB-09133837-BR,216,0,2/6/2022 11:00,6/6/2022 17:26,,,,,,,0,,,0,0,0,,,,,,0,0,0,74,,,
W-969893,Items-EE-07197264-UK,100,Items-EE-07197264-UK,196,1,2/6/2022 11:00,,,,,,,,0,,,0,0,0,,,,425,425,0,0,0,799,,,
W-970357,Items-SB-09133837-BR,10,Items-SB-09133837-BR,170,1,2/6/2022 11:00,,,,,,,,0,,,0,0,0,,,,2015,2015,0,0,0,632,,,
W-643874,Items-TS-00223294-BR,10,Items-TS-00223294-BR,246,0,2/6/2022 3:00,,,,,,,,0,,,0,0,0,,,,2574,2574,0,0,0,145,0,,
W-618652,Items-BC-03055426-CH,10,Items-BC-03055426-CH,174,1,2/6/2022 3:00,4/6/2022 9:49,,,,,,,0,,,0,0,0,,,,4361,4361,0,0,1,262,,,
W-143143,Items-TS-06064368-US,100,Items-TS-06064368-US,161,1,2/6/2022 3:00,3/6/2022 9:50,,,,,,,0,,,1,0,3986,,,,,,0,0,0,544,0,,
W-997514,Items-EE-08274581-US,10,Items-EE-08274581-US,198,0,2/6/2022 3:00,7/6/2022 9:49,,,,,,,0,,,0,0,0,,,,1751,1751,0,0,0,612,,,
W-747998,Items-SB-06392547-CH,100,Items-SB-06392547-CH,249,1,2/6/2022 3:00,,,,,,,,0,,,0,0,0,,,,,,0,0,0,139,0,,
W-573757,Items-EE-01947410-JP,100,Items-EE-01947410-JP,190,0,2/6/2022 3:00,6/6/2022 7:50,,,,,,,0,,,0,0,4610,,,,,,0,0,1,62,0,,
W-514549,Items-TS-05745797-BR,100,Items-TS-05745797-BR,191,1,2/6/2022 3:00,,,,,,,,0,,,0,0,0,,,,4557,4557,1,0,0,340,,,
W-835625,Items-SB-09133837-BR,10,Items-SB-09133837-BR,150,1,2/6/2022 3:00,,,,,,,,0,,,1,0,4789,,,,,,1,0,1,606,0,,
W-341094,Items-SB-02734397-IN,10,Items-SB-02734397-IN,206,1,2/6/2022 3:00,,,,,,,,0,,,1,0,0,,,,2391,2391,0,0,0,288,0,,
W-370833,Items-TS-06879613-JP,100,Items-TS-06879613-JP,152,1,2/6/2022 3:00,,,,,,,,0,,,1,1,0,,,,,,1,0,0,987,0,,
W-675620,Items-TS-01948203-UK,10,Items-TS-01948203-UK,238,1,2/6/2022 3:00,,,,,,,,0,,,0,0,4892,,,,693,693,0,0,0,936,,,
W-874601,Items-EP-04737482-IN,10,Items-EP-04737482-IN,191,1,2/6/2022 3:00,3/6/2022 10:32,,,,,,,0,,,0,1,0,,,,,,1,0,0,204,0,,
W-262684,Items-EE-00711445-JP,10,Items-EE-00711445-JP,154,1,2/6/2022 3:00,,,,,,,,0,,,0,1,0,,,,,,0,0,0,286,0,,
W-283937,Items-BC-08035102-BR,100,Items-BC-08035102-BR,158,0,2/6/2022 3:00,7/6/2022 8:41,,,,,,,0,,,1,0,3640,,,,,,0,0,0,457,0,,
W-408772,Items-BC-07313892-JP,100,Items-BC-07313892-JP,174,1,2/6/2022 3:00,4/6/2022 9:29,,,,,,,0,,,0,0,0,,,,,,1,0,1,918,,,
W-535957,Items-TS-06196581-JP,100,Items-TS-06196581-JP,237,0,2/6/2022 3:00,4/6/2022 8:22,,,,,,,0,,,0,1,3277,,,,,,0,0,0,936,0,,
W-143075,Items-BC-00797195-JP,10,Items-BC-00797195-JP,166,1,2/6/2022 3:00,5/6/2022 9:22,,,,,,,0,,,0,0,3292,,,,2619,2619,1,0,0,423,0,,
W-673166,Items-EP-07767398-CH,10,Items-EP-07767398-CH,221,1,2/6/2022 3:00,,,,,,,,0,,,1,1,3423,,,,4834,4834,1,0,0,932,0,,
W-472205,Items-SB-03591404-JP,100,Items-SB-03591404-JP,162,0,2/6/2022 3:00,,,,,,,,0,,,1,1,0,,,,3526,3526,0,0,0,922,,,
W-857577,Items-TS-04699105-UK,10,Items-TS-04699105-UK,249,0,2/6/2022 3:00,3/6/2022 10:50,,,,,,,0,,,0,1,0,,,,5318,5318,0,0,1,271,,,
W-150897,Items-EP-00081648-CH,10,Items-EP-00081648-CH,221,0,2/6/2022 3:00,,,,,,,,0,,,1,1,3773,,,,,,0,0,0,614,0,,
W-381827,Items-TS-02922392-CH,10,Items-TS-02922392-CH,175,0,2/6/2022 3:00,,,,,,,,0,,,0,0,4505,,,,2330,2330,0,0,0,185,0,,
W-131377,Items-EE-00741901-CH,10,Items-EE-00741901-CH,223,0,2/6/2022 3:00,,,,,,,,0,,,0,1,0,,,,,,1,0,0,832,0,,
W-643869,Items-SB-02355705-UK,10,Items-SB-02355705-UK,205,1,2/6/2022 3:00,,,,,,,,0,,,1,0,0,,,,,,1,0,0,26,0,,
W-623169,Items-BC-04459113-US,10,Items-BC-04459113-US,175,1,3/6/2022 6:00,,,,,,,,0,,,0,1,0,,,,,,0,0,0,416,0,,
W-21243,Items-EE-08274581-US,100,Items-EE-08274581-US,247,0,3/6/2022 6:00,6/6/2022 10:44,,,,,,,0,,,1,0,0,,,,679,679,0,0,0,575,0,,
W-281268,Items-BC-06949570-JP,10,Items-BC-06949570-JP,182,1,3/6/2022 6:00,5/6/2022 11:43,,,,,,,0,,,0,0,0,,,,1420,1420,1,0,1,272,,,
W-306570,Items-EP-00081648-CH,10,Items-EP-00081648-CH,231,0,3/6/2022 6:00,6/6/2022 12:25,,,,,,,0,,,1,1,0,,,,,,0,0,0,374,0,,
W-183013,Items-SB-02734397-IN,10,Items-SB-02734397-IN,204,1,3/6/2022 6:00,5/6/2022 11:21,,,,,,,0,,,1,1,4424,,,,4329,4329,1,0,0,930,,,
W-680260,Items-SB-02546091-IN,10,Items-SB-02546091-IN,152,0,3/6/2022 6:00,4/6/2022 12:49,,,,,,,0,,,0,1,0,,,,5085,5085,1,0,0,433,0,,
W-779356,Items-BC-06673555-BR,10,Items-BC-06673555-BR,203,0,3/6/2022 6:00,,,,,,,,0,,,0,1,0,,,,678,678,0,0,1,463,0,,
W-710998,Items-TS-03528268-BR,10,Items-TS-03528268-BR,176,0,3/6/2022 6:00,,,,,,,,0,,,1,0,0,,,,4487,4487,0,0,0,608,0,,
W-391522,Items-SB-06861728-JP,10,Items-SB-06861728-JP,190,0,3/6/2022 6:00,6/6/2022 14:21,,,,,,,0,,,1,1,4194,,,,,,1,0,0,703,0,,
W-946448,Items-TS-02922392-CH,10,Items-TS-02922392-CH,170,0,3/6/2022 6:00,7/6/2022 10:33,,,,,,,0,,,1,0,0,,,,,,1,0,1,187,,,
W-160951,Items-TS-00245950-CH,10,Items-TS-00245950-CH,201,1,3/6/2022 6:00,,,,,,,,0,,,1,0,4225,,,,,,0,0,0,674,,,
W-355498,Items-BC-08035102-BR,100,Items-BC-08035102-BR,161,1,3/6/2022 6:00,,,,,,,,0,,,0,1,0,,,,1797,1797,1,0,0,50,,,
W-590785,Items-TS-05745797-BR,100,Items-TS-05745797-BR,246,0,3/6/2022 6:00,7/6/2022 14:21,,,,,,,0,,,0,0,0,,,,1995,1995,1,0,0,975,,,
W-801016,Items-TS-00245950-CH,10,Items-TS-00245950-CH,224,0,3/6/2022 6:00,8/6/2022 14:30,,,,,,,0,,,1,1,0,,,,,,0,0,0,230,,,
W-963087,Items-BC-06809611-UK,10,Items-BC-06809611-UK,172,1,3/6/2022 6:00,6/6/2022 10:23,,,,,,,0,,,0,1,0,,,,,,0,0,0,346,,,
W-636947,Items-EP-07185699-JP,100,Items-EP-07185699-JP,190,0,3/6/2022 6:00,7/6/2022 12:44,,,,,,,0,,,1,0,0,,,,1333,1333,0,0,0,631,,,
W-801982,Items-BC-00797195-JP,10,Items-BC-00797195-JP,213,0,3/6/2022 6:00,,,,,,,,0,,,0,1,0,,,,,,0,0,1,523,0,,
W-371394,Items-TS-03528268-BR,100,Items-TS-03528268-BR,152,1,3/6/2022 6:00,6/6/2022 14:27,,,,,,,0,,,1,0,0,,,,3034,3034,1,0,0,824,,,
W-847710,Items-TS-01921426-IN,10,Items-TS-01921426-IN,245,0,3/6/2022 6:00,,,,,,,,0,,,1,0,0,,,,3482,3482,0,0,0,951,,,
W-977954,Items-TS-00689461-BR,100,Items-TS-00689461-BR,230,1,3/6/2022 6:00,5/6/2022 11:30,,,,,,,0,,,0,0,0,,,,5401,5401,0,0,0,902,0,,
W-606823,Items-EE-04270935-CH,100,Items-EE-04270935-CH,225,1,3/6/2022 6:00,,,,,,,,0,,,0,0,0,,,,,,0,0,1,947,,,
W-791784,Items-EP-08948583-UK,10,Items-EP-08948583-UK,207,0,3/6/2022 6:00,,,,,,,,0,,,1,1,0,,,,2662,2662,0,0,0,261,0,,
W-485233,Items-TS-02922392-CH,10,Items-TS-02922392-CH,192,1,3/6/2022 6:00,,,,,,,,0,,,1,0,4740,,,,3388,3388,1,0,0,47,0,,
W-951608,Items-BC-02414724-JP,100,Items-BC-02414724-JP,175,0,3/6/2022 6:00,,,,,,,,0,,,0,0,0,,,,,,0,0,0,389,,,
W-827075,Items-TS-01948203-UK,100,Items-TS-01948203-UK,212,0,3/6/2022 5:00,,,,,,,,0,,,0,0,4480,,,,,,0,0,0,850,0,,
W-738949,Items-BC-03358366-US,10,Items-BC-03358366-US,179,1,3/6/2022 5:00,,,,,,,,0,,,1,1,3247,,,,,,0,0,0,948,0,,
W-479233,Items-SB-04583531-US,10,Items-SB-04583531-US,156,0,3/6/2022 5:00,,,,,,,,0,,,1,0,3891,,,,,,0,0,0,650,,,
W-783391,Items-BC-00078136-US,10,Items-BC-00078136-US,207,0,3/6/2022 5:00,8/6/2022 10:26,,,,,,,0,,,1,1,0,,,,2186,2186,1,0,0,236,0,,
W-520209,Items-TS-03538389-US,100,Items-TS-03538389-US,243,0,3/6/2022 5:00,,,,,,,,0,,,1,0,3250,,,,1864,1864,1,0,0,923,0,,
W-1322,Items-TS-00689461-BR,100,Items-TS-00689461-BR,194,0,3/6/2022 5:00,5/6/2022 11:27,,,,,,,0,,,0,0,4728,,,,5008,5008,1,0,0,248,,,
W-323023,Items-TS-00223294-BR,10,Items-TS-00223294-BR,203,0,3/6/2022 5:00,,,,,,,,0,,,0,1,4729,,,,,,0,0,0,907,,,
W-643440,Items-SB-06861728-JP,10,Items-SB-06861728-JP,250,0,3/6/2022 5:00,6/6/2022 9:26,,,,,,,0,,,1,1,3586,,,,,,0,0,1,159,0,,
W-169531,Items-TS-05745797-BR,10,Items-TS-05745797-BR,214,1,3/6/2022 5:00,4/6/2022 9:29,,,,,,,0,,,0,0,3781,,,,,,1,0,0,232,0,,
W-724169,Items-BC-09230895-CH,10,Items-BC-09230895-CH,173,1,3/6/2022 5:00,5/6/2022 9:38,,,,,,,0,,,0,0,3570,,,,2223,2223,0,0,0,134,,,
W-961451,Items-TS-00245950-CH,10,Items-TS-00245950-CH,200,0,3/6/2022 5:00,7/6/2022 13:24,,,,,,,0,,,0,1,4448,,,,,,1,0,0,251,,,
W-501045,Items-TS-03528268-BR,10,Items-TS-03528268-BR,223,1,3/6/2022 5:00,8/6/2022 13:50,,,,,,,0,,,0,1,3498,,,,2813,2813,1,0,0,440,,,
W-683077,Items-BC-02610967-US,10,Items-BC-02610967-US,219,1,3/6/2022 5:00,,,,,,,,0,,,0,0,3907,,,,,,1,0,0,626,,,
W-879440,Items-SB-03591404-JP,100,Items-SB-03591404-JP,189,1,3/6/2022 5:00,,,,,,,,0,,,1,1,0,,,,,,0,0,0,299,,,
W-208273,Items-BC-08035102-BR,10,Items-BC-08035102-BR,159,1,3/6/2022 5:00,,,,,,,,0,,,1,1,0,,,,,,0,0,0,727,,,
W-887526,Items-EE-00711445-JP,10,Items-EE-00711445-JP,159,1,3/6/2022 5:00,,,,,,,,0,,,1,0,0,,,,,,1,0,0,918,,,
W-161579,Items-EE-01947410-JP,10,Items-EE-01947410-JP,205,0,3/6/2022 5:00,,,,,,,,0,,,1,1,0,,,,,,0,0,1,68,,,
W-847580,Items-SB-03591404-JP,100,Items-SB-03591404-JP,238,1,3/6/2022 5:00,,,,,,,,0,,,0,1,4520,,,,,,1,0,1,529,,,
W-119397,Items-BC-00366822-IN,100,Items-BC-00366822-IN,188,0,3/6/2022 5:00,6/6/2022 10:49,,,,,,,0,,,1,0,3709,,,,,,1,0,1,735,0,,
W-321944,Items-BC-09230895-CH,100,Items-BC-09230895-CH,178,1,3/6/2022 5:00,,,,,,,,0,,,0,1,0,,,,194,194,0,0,0,789,,,
W-144513,Items-EP-04536209-JP,10,Items-EP-04536209-JP,233,0,3/6/2022 5:00,7/6/2022 10:45,,,,,,,0,,,1,1,0,,,,3046,3046,1,0,0,863,,,
W-144517,Items-TS-01921426-IN,10,Items-TS-01921426-IN,239,0,3/6/2022 5:00,7/6/2022 12:47,,,,,,,0,,,0,1,3193,,,,580,580,1,0,0,908,,,
W-652227,Items-TS-02922392-CH,10,Items-TS-02922392-CH,177,0,3/6/2022 5:00,,,,,,,,0,,,0,1,0,,,,,,1,0,1,782,,,
W-428935,Items-BC-08373900-UK,10,Items-BC-08373900-UK,248,0,3/6/2022 5:00,,,,,,,,0,,,0,0,0,,,,,,1,0,0,563,0,,
W-706767,Items-BC-07313892-JP,100,Items-BC-07313892-JP,226,0,4/6/2022 17:00,,,,,,,,0,,,0,1,4816,,,,,,0,0,0,692,0,,
W-643967,Items-SB-09133837-BR,100,Items-SB-09133837-BR,236,0,4/6/2022 17:00,,,,,,,,0,,,0,0,0,,,,1058,1058,1,0,0,679,,,
W-689178,Items-EE-00711445-JP,100,Items-EE-00711445-JP,215,1,4/6/2022 17:00,,,,,,,,0,,,1,0,0,,,,2340,2340,1,0,0,260,,,
W-110602,Items-EE-00711445-JP,10,Items-EE-00711445-JP,166,1,4/6/2022 17:00,8/6/2022 23:50,,,,,,,0,,,0,1,0,,,,,,0,0,0,529,0,,
W-488369,Items-BC-07313892-JP,10,Items-BC-07313892-JP,163,1,4/6/2022 17:00,,,,,,,,0,,,0,1,3207,,,,,,0,0,0,885,0,,
W-281361,Items-TS-03700767-UK,10,Items-TS-03700767-UK,173,0,4/6/2022 17:00,,,,,,,,0,,,0,1,0,,,,,,1,0,1,803,0,,
W-980093,Items-BC-00078136-US,100,Items-BC-00078136-US,157,1,4/6/2022 17:00,,,,,,,,0,,,1,1,0,,,,2058,2058,1,0,0,563,0,,
W-818243,Items-EE-02512664-IN,10,Items-EE-02512664-IN,239,1,4/6/2022 17:00,,,,,,,,0,,,1,0,4091,,,,,,1,0,0,42,0,,
