Item No_,Lot No_,Bin Code,Zone Code,Quantity,Min_Registering_Date,Days from Registration
EII-CNS-CC-0002,IDS-21E2-00336,TMG,TMG,250.0,2021-03-28,658
EII-CNS-CC-0002,IDS-21E2-00560,IGS,IGS,250.0,2022-02-13,336
EII-CNS-CC-0002,IDS-21E2-00564,IGS,IGS,175.0,2021-02-12,702
132646,IDS-21E2-00086,IGS,IGS,250.0,2022-07-01,198
132646,IDS-21E2-00086,TMG,TMG,175.0,2022-04-01,289
115870,IDS-21E2-00125,IGS,IGS,250.0,2021-07-03,561
132646,IDS-21E2-00125,IGS,IGS,250.0,2021-06-26,568
132646,IDS-21E2-00320,TMG,TMG,375.0,2022-01-11,369
119027,IDS-21E2-00028,TMG,TMG,250.0,2021-12-01,410
119027,IDS-21E2-00039,IGS,IGS,200.0,2022-07-17,182
119027,IDS-21E2-00039,TMG,TMG,825.0,2021-04-23,632
119027,IDS-21E2-00054,TMG,TMG,250.0,2022-11-20,56
119027,IDS-21E2-00083,IGS,IGS,175.0,2022-04-17,273
119027,IDS-21E2-00101,TMG,TMG,175.0,2021-06-03,591
119027,IDS-21E2-00125,IGS,IGS,400.0,2021-08-09,524
119027,IDS-21E2-00316,TMG,TMG,250.0,2022-08-15,153
119027,IDS-21E2-00320,IGS,IGS,175.0,2022-11-23,53
119027,IDS-21E2-00320,TMG,TMG,250.0,2021-04-07,648
119027,IDS-21E2-00321,TMG,TMG,250.0,2021-09-03,499
119027,IDS-21E2-00324,TMG,TMG,200.0,2021-07-02,562
119027,IDS-21E2-00328,TMG,TMG,175.0,2022-12-24,22
119027,IDS-21E2-00560,IGS,IGS,200.0,2022-03-18,303
119027,IDS-21E2-00561,TMG,TMG,175.0,2021-11-23,418
119027,IDS-21E2-00564,IGS,IGS,700.0,2021-07-31,533
119027,IDS-21E2-00564,TMG,TMG,400.0,2021-06-06,588
119027,IDS-21E2-00566,TMG,TMG,200.0,2022-11-26,50
119027,IDS-21E2-00592,TMG,TMG,175.0,2022-07-17,182
119027,IDS-21E2-00820,TMG,TMG,250.0,2022-09-28,109
119027,IDS-21E2-00824,TMG,TMG,250.0,2021-12-01,410
119027,IDS-21E2-00825,TMG,TMG,250.0,2021-09-02,500
119027,IDS-21E2-01204,IGS,IGS,250.0,2021-05-25,600
119396,IDS-21E2-00039,TMG,TMG,550.0,2021-03-12,674
144768,IDS-21E2-00054,IGS,IGS,200.0,2021-03-13,673
144768,IDS-21E2-00054,TMG,TMG,200.0,2022-02-19,330
119396,IDS-21E2-00056,IGS,IGS,175.0,2022-02-25,324
119396,IDS-21E2-00080,IGS,IGS,200.0,2022-02-16,333
119396,IDS-21E2-00083,TMG,TMG,200.0,2022-01-28,352
131422,IDS-21E2-00086,IGS,IGS,175.0,2021-09-05,497
119396,IDS-21E2-00114,TMG,TMG,250.0,2021-05-09,616
119396,IDS-21E2-00125,IGS,IGS,450.0,2021-10-17,455
119396,IDS-21E2-00125,TMG,TMG,200.0,2021-06-26,568
119396,IDS-21E2-00320,IGS,IGS,200.0,2022-04-09,281
119396,IDS-21E2-00324,IGS,IGS,500.0,2021-07-07,557
119396,IDS-21E2-00368,IGS,IGS,175.0,2021-11-30,411
119396,IDS-21E2-00496,IGS,IGS,175.0,2022-02-14,335
119396,IDS-21E2-00560,IGS,IGS,400.0,2021-05-07,618
131422,IDS-21E2-00560,IGS,IGS,175.0,2022-03-24,297
119396,IDS-21E2-00560,TMG,TMG,250.0,2022-04-29,261
144768,IDS-21E2-00561,IGS,IGS,175.0,2021-03-02,684
119396,IDS-21E2-00562,IGS,IGS,200.0,2021-11-13,428
119396,IDS-21E2-00564,TMG,TMG,425.0,2021-05-20,605
119396,IDS-21E2-00565,IGS,IGS,250.0,2022-08-24,144
119396,IDS-21E2-00592,TMG,TMG,175.0,2021-11-22,419
119396,IDS-21E2-00628,TMG,TMG,200.0,2021-09-27,475
119396,IDS-21E2-00692,TMG,TMG,175.0,2021-09-15,487
119396,IDS-21E2-00700,IGS,IGS,250.0,2022-02-25,324
119396,IDS-21E2-00752,TMG,TMG,200.0,2022-03-20,301
119396,IDS-21E2-00816,TMG,TMG,250.0,2021-06-18,576
119396,IDS-21E2-00824,TMG,TMG,200.0,2021-10-23,449
119396,IDS-21E2-01072,IGS,IGS,200.0,2021-12-28,383
119396,IDS-21E2-01200,TMG,TMG,200.0,2021-10-28,444
148390,IDS-21E2-00039,IGS,IGS,175.0,2021-12-28,383
148390,IDS-21E2-00624,TMG,TMG,250.0,2021-03-23,663
148390,IDS-21E2-01100,TMG,TMG,200.0,2022-11-19,57
130371,IDS-21E2-00039,IGS,IGS,200.0,2021-11-21,420
130371,IDS-21E2-00039,TMG,TMG,250.0,2021-07-09,555
146940,IDS-21E2-00039,TMG,TMG,175.0,2022-02-19,330
103752,IDS-21E2-00080,TMG,TMG,175.0,2022-01-30,350
104279,IDS-21E2-00083,TMG,TMG,175.0,2022-03-03,318
146940,IDS-21E2-00101,TMG,TMG,250.0,2022-05-12,248
130371,IDS-21E2-00125,IGS,IGS,250.0,2022-02-02,347
103752,IDS-21E2-00125,TMG,TMG,250.0,2021-02-23,691
130371,IDS-21E2-00125,TMG,TMG,200.0,2021-08-28,505
103752,IDS-21E2-00560,IGS,IGS,175.0,2022-08-01,167
103752,IDS-21E2-00560,TMG,TMG,175.0,2021-10-21,451
146940,IDS-21E2-00560,TMG,TMG,175.0,2021-12-12,399
146940,IDS-21E2-00561,IGS,IGS,200.0,2021-05-07,618
104279,IDS-21E2-00564,TMG,TMG,500.0,2021-09-04,498
130371,IDS-21E2-00564,TMG,TMG,175.0,2021-03-18,668
104279,IDS-21E2-00566,TMG,TMG,175.0,2022-06-13,216
146940,IDS-21E2-01108,TMG,TMG,200.0,2022-05-23,237
113854,IDS-21E2-00039,IGS,IGS,425.0,2021-02-23,691
103557,IDS-21E2-00039,TMG,TMG,500.0,2021-10-15,457
113854,IDS-21E2-00039,TMG,TMG,1225.0,2021-02-17,697
103557,IDS-21E2-00054,TMG,TMG,375.0,2021-12-19,392
113854,IDS-21E2-00054,TMG,TMG,250.0,2022-03-20,301
142922,IDS-21E2-00054,TMG,TMG,200.0,2021-10-23,449
113854,IDS-21E2-00056,IGS,IGS,250.0,2022-03-19,302
103557,IDS-21E2-00056,TMG,TMG,200.0,2022-02-08,341
113854,IDS-21E2-00056,TMG,TMG,200.0,2022-01-03,377
113854,IDS-21E2-00080,IGS,IGS,250.0,2022-09-13,124
113854,IDS-21E2-00080,TMG,TMG,450.0,2022-07-07,192
113854,IDS-21E2-00086,IGS,IGS,175.0,2021-10-17,455
103557,IDS-21E2-00086,TMG,TMG,250.0,2021-04-02,653
113854,IDS-21E2-00086,TMG,TMG,175.0,2022-10-08,99
113854,IDS-21E2-00125,IGS,IGS,775.0,2021-04-10,645
133757,IDS-21E2-00125,IGS,IGS,200.0,2021-12-19,392
113854,IDS-21E2-00125,TMG,TMG,175.0,2021-02-12,702
103557,IDS-21E2-00321,IGS,IGS,200.0,2022-05-05,255
113854,IDS-21E2-00325,TMG,TMG,250.0,2021-08-16,517
113854,IDS-21E2-00328,TMG,TMG,250.0,2021-10-06,466
103557,IDS-21E2-00336,TMG,TMG,200.0,2022-05-13,247
113854,IDS-21E2-00372,IGS,IGS,200.0,2021-03-25,661
113854,IDS-21E2-00560,IGS,IGS,200.0,2021-07-01,563
142922,IDS-21E2-00560,IGS,IGS,200.0,2022-07-11,188
113854,IDS-21E2-00560,TMG,TMG,250.0,2022-01-14,366
113854,IDS-21E2-00562,TMG,TMG,250.0,2021-05-04,621
113854,IDS-21E2-00564,IGS,IGS,175.0,2021-08-26,507
103557,IDS-21E2-00576,TMG,TMG,175.0,2021-07-18,546
113854,IDS-21E2-00580,IGS,IGS,200.0,2022-04-04,286
103557,IDS-21E2-00580,TMG,TMG,250.0,2022-07-06,193
113854,IDS-21E2-00592,IGS,IGS,200.0,2022-11-17,59
113854,IDS-21E2-00592,TMG,TMG,250.0,2022-08-30,138
113854,IDS-21E2-00596,TMG,TMG,200.0,2022-02-17,332
113854,IDS-21E2-00630,TMG,TMG,200.0,2022-12-23,23
113854,IDS-21E2-00694,IGS,IGS,200.0,2021-10-23,449
113854,IDS-21E2-00816,IGS,IGS,200.0,2021-05-28,597
133757,IDS-21E2-00816,TMG,TMG,175.0,2022-04-19,271
113854,IDS-21E2-00820,TMG,TMG,200.0,2022-03-23,298
113854,IDS-21E2-00824,IGS,IGS,175.0,2022-08-18,150
113854,IDS-21E2-00880,TMG,TMG,200.0,2022-12-10,36
108641,IDS-21E2-00039,TMG,TMG,250.0,2021-06-26,568
129562,IDS-21E2-00039,TMG,TMG,200.0,2022-02-21,328
149571,IDS-21E2-00324,TMG,TMG,250.0,2021-07-21,543
108641,IDS-21E2-00564,IGS,IGS,200.0,2022-11-19,57
108641,IDS-21E2-00564,TMG,TMG,425.0,2021-02-11,703
108641,IDS-21E2-00582,IGS,IGS,175.0,2021-03-17,669
108641,IDS-21E2-00688,TMG,TMG,200.0,2022-11-13,63
109560,IDS-21E2-00054,TMG,TMG,175.0,2022-09-20,117
109560,IDS-21E2-00086,TMG,TMG,200.0,2022-11-09,67
109560,IDS-21E2-00368,TMG,TMG,200.0,2021-12-17,394
109560,IDS-21E2-00560,TMG,TMG,200.0,2022-04-28,262
139713,IDS-21E2-00028,IGS,IGS,250.0,2022-02-04,345
139713,IDS-21E2-00039,IGS,IGS,250.0,2022-06-07,222
139713,IDS-21E2-00039,TMG,TMG,500.0,2021-07-01,563
139713,IDS-21E2-00056,IGS,IGS,200.0,2022-12-29,17
139713,IDS-21E2-00056,TMG,TMG,200.0,2022-01-25,355
139713,IDS-21E2-00086,TMG,TMG,250.0,2021-09-10,492
139713,IDS-21E2-00101,IGS,IGS,250.0,2022-12-30,16
139713,IDS-21E2-00125,IGS,IGS,175.0,2021-05-18,607
139713,IDS-21E2-00125,TMG,TMG,175.0,2022-04-16,274
139713,IDS-21E2-00320,IGS,IGS,200.0,2022-07-22,177
139713,IDS-21E2-00372,IGS,IGS,175.0,2021-12-18,393
139713,IDS-21E2-00560,IGS,IGS,500.0,2021-09-03,499
139713,IDS-21E2-00561,IGS,IGS,250.0,2022-07-07,192
118653,IDS-21E2-00564,TMG,TMG,175.0,2021-11-06,435
118653,IDS-21E2-00580,TMG,TMG,175.0,2021-04-16,639
139713,IDS-21E2-00756,TMG,TMG,200.0,2021-07-22,542
120887,IDS-21E2-00028,TMG,TMG,200.0,2021-08-01,532
120887,IDS-21E2-00039,IGS,IGS,200.0,2021-12-04,407
121225,IDS-21E2-00039,IGS,IGS,250.0,2022-08-12,156
120887,IDS-21E2-00056,TMG,TMG,175.0,2022-05-16,244
120887,IDS-21E2-00114,TMG,TMG,175.0,2022-02-12,337
121225,IDS-21E2-00125,IGS,IGS,175.0,2022-09-02,135
120887,IDS-21E2-00125,TMG,TMG,250.0,2021-08-12,521
120887,IDS-21E2-00336,IGS,IGS,175.0,2021-07-03,561
120887,IDS-21E2-00432,IGS,IGS,250.0,2021-10-29,443
121225,IDS-21E2-00432,IGS,IGS,175.0,2022-05-16,244
120887,IDS-21E2-00560,IGS,IGS,175.0,2021-12-22,389
120887,IDS-21E2-00560,TMG,TMG,450.0,2021-08-04,529
120887,IDS-21E2-00564,IGS,IGS,200.0,2021-03-06,680
120887,IDS-21E2-00564,TMG,TMG,950.0,2021-06-22,572
120887,IDS-21E2-00566,TMG,TMG,250.0,2021-11-12,429
120887,IDS-21E2-00576,TMG,TMG,250.0,2021-08-05,528
120887,IDS-21E2-01076,TMG,TMG,250.0,2022-07-15,184
141393,IDS-21E2-00039,IGS,IGS,175.0,2022-02-20,329
112092,IDS-21E2-00039,TMG,TMG,250.0,2022-04-19,271
141393,IDS-21E2-00039,TMG,TMG,200.0,2021-11-21,420
117558,IDS-21E2-00054,TMG,TMG,250.0,2021-09-29,473
117558,IDS-21E2-00083,IGS,IGS,175.0,2022-07-14,185
141393,IDS-21E2-00086,IGS,IGS,250.0,2022-10-21,86
117558,IDS-21E2-00320,TMG,TMG,450.0,2021-05-03,622
140771,IDS-21E2-00328,IGS,IGS,250.0,2022-01-23,357
141393,IDS-21E2-00437,TMG,TMG,250.0,2022-11-06,70
141393,IDS-21E2-00448,IGS,IGS,250.0,2022-12-29,17
141393,IDS-21E2-00560,IGS,IGS,250.0,2021-06-20,574
140771,IDS-21E2-00584,TMG,TMG,200.0,2022-06-08,221
141393,IDS-21E2-00584,TMG,TMG,175.0,2022-11-28,48
141393,IDS-21E2-00816,TMG,TMG,250.0,2022-09-28,109
128313,IDS-21E2-00028,TMG,TMG,250.0,2021-02-23,691
128313,IDS-21E2-00039,IGS,IGS,175.0,2021-11-18,423
128313,IDS-21E2-00039,TMG,TMG,200.0,2021-04-18,637
128313,IDS-21E2-00054,TMG,TMG,175.0,2021-09-15,487
128313,IDS-21E2-00056,IGS,IGS,175.0,2022-03-30,291
128313,IDS-21E2-00080,IGS,IGS,175.0,2021-05-22,603
128313,IDS-21E2-00083,IGS,IGS,250.0,2021-05-22,603
128313,IDS-21E2-00114,TMG,TMG,200.0,2021-05-07,618
128313,IDS-21E2-00125,IGS,IGS,375.0,2021-05-19,606
128313,IDS-21E2-00125,TMG,TMG,450.0,2022-03-03,318
128313,IDS-21E2-00321,IGS,IGS,200.0,2022-10-17,90
128313,IDS-21E2-00324,TMG,TMG,200.0,2021-12-15,396
128313,IDS-21E2-00368,IGS,IGS,250.0,2021-05-12,613
128313,IDS-21E2-00372,IGS,IGS,200.0,2021-04-04,651
128313,IDS-21E2-00561,IGS,IGS,250.0,2022-02-01,348
128313,IDS-21E2-00564,TMG,TMG,250.0,2021-05-31,594
128313,IDS-21E2-00880,IGS,IGS,250.0,2022-02-22,327
103629,IDS-21E2-00576,IGS,IGS,250.0,2021-08-01,532
124257,IDS-21E2-00039,IGS,IGS,650.0,2021-04-22,633
124257,IDS-21E2-00039,TMG,TMG,450.0,2021-03-15,671
124257,IDS-21E2-00056,TMG,TMG,200.0,2021-12-01,410
124257,IDS-21E2-00083,IGS,IGS,250.0,2022-05-11,249
124257,IDS-21E2-00083,TMG,TMG,175.0,2021-07-15,549
124257,IDS-21E2-00114,TMG,TMG,200.0,2022-12-01,45
124257,IDS-21E2-00340,TMG,TMG,375.0,2021-09-27,475
124257,IDS-21E2-00342,IGS,IGS,175.0,2021-04-11,644
124257,IDS-21E2-00560,IGS,IGS,175.0,2021-08-30,503
124257,IDS-21E2-00560,TMG,TMG,175.0,2022-07-15,184
124257,IDS-21E2-00820,TMG,TMG,250.0,2021-06-02,592
124257,IDS-21E2-00829,IGS,IGS,250.0,2022-05-25,235
139272,IDS-21E2-00039,IGS,IGS,625.0,2021-03-05,681
139272,IDS-21E2-00039,TMG,TMG,2300.0,2021-03-22,664
139272,IDS-21E2-00054,TMG,TMG,175.0,2022-03-25,296
139272,IDS-21E2-00086,IGS,IGS,200.0,2021-03-26,660
139272,IDS-21E2-00101,IGS,IGS,175.0,2022-03-30,291
139272,IDS-21E2-00114,TMG,TMG,200.0,2021-05-04,621
139272,IDS-21E2-00125,TMG,TMG,425.0,2021-09-21,481
139272,IDS-21E2-00320,TMG,TMG,250.0,2021-06-04,590
139272,IDS-21E2-00321,IGS,IGS,250.0,2021-06-04,590
139272,IDS-21E2-00324,TMG,TMG,200.0,2022-01-08,372
139272,IDS-21E2-00372,IGS,IGS,175.0,2022-05-09,251
139272,IDS-21E2-00432,IGS,IGS,250.0,2021-12-09,402
139272,IDS-21E2-00560,IGS,IGS,1050.0,2021-04-13,642
139272,IDS-21E2-00561,IGS,IGS,200.0,2022-08-31,137
139272,IDS-21E2-00561,TMG,TMG,600.0,2021-03-12,674
139272,IDS-21E2-00562,TMG,TMG,175.0,2021-09-25,477
139272,IDS-21E2-00564,IGS,IGS,375.0,2021-08-30,503
139272,IDS-21E2-00564,TMG,TMG,175.0,2021-06-20,574
139272,IDS-21E2-00568,TMG,TMG,250.0,2022-01-19,361
139272,IDS-21E2-00576,TMG,TMG,200.0,2021-02-28,686
139272,IDS-21E2-00580,TMG,TMG,175.0,2022-07-14,185
139272,IDS-21E2-00584,IGS,IGS,175.0,2022-04-14,276
139272,IDS-21E2-00628,IGS,IGS,250.0,2021-03-28,658
139272,IDS-21E2-00708,IGS,IGS,175.0,2021-11-03,438
139272,IDS-21E2-00816,TMG,TMG,175.0,2021-04-12,643
139272,IDS-21E2-00820,TMG,TMG,400.0,2021-07-13,551
139272,IDS-21E2-00880,IGS,IGS,200.0,2021-08-14,519
139272,IDS-21E2-00966,IGS,IGS,200.0,2021-10-16,456
700526-2,IDS-21E2-00086,TMG,TMG,175.0,2022-05-24,236
700526-2,IDS-21E2-00114,IGS,IGS,175.0,2022-02-09,340
700526-2,IDS-21E2-00340,TMG,TMG,200.0,2021-06-27,567
700526-2,IDS-21E2-00368,IGS,IGS,200.0,2021-05-28,597
700526-2,IDS-21E2-00628,IGS,IGS,175.0,2021-09-19,483
700526-2,IDS-21E2-01088,TMG,TMG,200.0,2021-10-21,451
105695,IDS-21E2-00028,TMG,TMG,250.0,2021-12-01,410
105695,IDS-21E2-00039,IGS,IGS,1250.0,2021-03-17,669
132214,IDS-21E2-00039,IGS,IGS,250.0,2021-05-12,613
105695,IDS-21E2-00039,TMG,TMG,1550.0,2021-04-28,627
132214,IDS-21E2-00039,TMG,TMG,250.0,2022-08-22,146
