No_,No_ 2,Description,Search Description,Description 2,Base Unit of Measure,Price Unit Conversion,Type,Inventory Posting Group,Shelf No_,Item Disc_ Group,Allow Invoice Disc_,Statistics Group,Commission Group,Unit Price,Price_Profit Calculation,Profit _,Costing Method,Unit Cost,Standard Cost,Quoted Price(INR),Quoted Price(FCY),Quoted Currency,Standard Cost_,Production BOM No_
127229,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,CN,S010,D654,1,G1,C1,696,746,50,UC,3550,3852,50,34,USD,90,1000456-SMT
132796,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,CN,S009,D666,1,G1,C1,646,696,50,UC,3245,3245,32,49,INR,76,1000457-SMT
119852,,OTCT-650*478*228MM-1000PCS SODIMM-Y,OTCT-650*478*228MM-1000PCS SODIMM-Y,,EA,120,0,CN,S004,D668,1,G1,C1,559,609,50,UC,2526,2526,26,59,USD,88,1000456-SMT
140281,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,CN,S007,D655,1,G1,C1,723,773,50,UC,2858,2855,28,15,INR,87,1000457-SMT
EII-CNS-OT-0005,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,CN,S005,D654,1,G1,C1,570,620,50,UC,3885,3885,34,51,INR,86,1000456-SMT
111742,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,RM,S007,D654,1,G1,C1,574,624,50,UC,2849,2829,13,40,USD,94,1000457-SMT
138531,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,RM,S009,D654,1,G1,C1,496,546,50,UC,2485,2841,21,52,USD,95,
119852,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,CN,S007,D654,1,G1,C1,435,485,50,UC,3780,3780,18,43,USD,92,
137963,,OTCT-325*193*227MM-200PCS SODIMM-Y,OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,RM,S003,D666,1,G1,C1,455,505,50,UC,3285,3264,50,9,INR,76,1000457-SMT
124257,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,RM,S001,D654,1,G1,C1,318,368,50,UC,2804,2807,11,42,INR,85,1000457-SMT
1000457,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,RM,S005,D666,1,G1,C1,533,583,50,UC,3716,3710,57,17,USD,97,1000457-SMT
108259,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,RM,S010,D667,1,G1,C1,508,558,50,UC,2901,2939,52,42,USD,78,1000456-SMT
138531,,OTCT-650*478*228MM-1000PCS SODIMM-Y,OTCT-650*478*228MM-1000PCS SODIMM-Y,,EA,120,0,RM,S003,D655,1,G1,C1,449,499,50,UC,3018,3080,58,24,USD,94,
139895,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,PM,S006,D667,1,G1,C1,433,483,50,UC,3583,3583,53,24,USD,92,
119852,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,CN,S004,D655,1,G1,C1,292,342,50,UC,3371,3391,1,2,USD,81,1000457-SMT
119192,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S004,D655,1,G1,C1,397,447,50,UC,3033,3021,28,32,INR,76,1000456-SMT
145340,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,CN,S002,D655,1,G1,C1,414,464,50,UC,2992,2993,19,42,USD,84,1000456-SMT
1000457,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,CN,S002,D668,1,G1,C1,429,479,50,UC,3318,3380,6,59,INR,84,
121876,,OTCT-325*193*227MM-200PCS SODIMM-Y,OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,RM,S006,D654,1,G1,C1,255,305,50,UC,3774,3894,11,14,INR,98,
145340,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,PM,S004,D655,1,G1,C1,427,477,50,UC,2735,2705,11,32,USD,96,1000456-SMT
119852,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,CN,S010,D655,1,G1,C1,538,588,50,UC,3242,3222,33,33,INR,94,
131156,,OTCT-650*478*228MM-1000PCS SODIMM-Y,OTCT-650*478*228MM-1000PCS SODIMM-Y,,EA,120,0,CN,S007,D654,1,G1,C1,595,645,50,UC,3830,3820,51,41,INR,96,1000457-SMT
131664,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,CN,S010,D667,1,G1,C1,378,428,50,UC,3767,3433,54,14,USD,100,1000456-SMT
121793,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,RM,S001,D668,1,G1,C1,531,581,50,UC,2827,2849,7,39,USD,79,1000457-SMT
145433,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,CN,S003,D666,1,G1,C1,660,710,50,UC,3110,3180,43,25,USD,92,
112048,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,RM,S006,D666,1,G1,C1,541,591,50,UC,2663,2601,36,58,INR,75,
145340,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,CN,S004,D655,1,G1,C1,378,428,50,UC,3223,3222,45,14,INR,81,1000457-SMT
143236,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,CN,S007,D667,1,G1,C1,587,637,50,UC,3943,3943,58,5,INR,91,1000457-SMT
118270,,"RoHS,Security Tape","RoHS,Security Tape",,EA,120,0,CN,S010,D666,1,G1,C1,572,622,50,UC,2930,2548,7,30,INR,86,1000457-SMT
114717,,FUJI-FILTER 02,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,PM,S006,D666,1,G1,C1,457,507,50,UC,3546,3523,36,32,USD,83,
119852,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,RM,S007,D655,1,G1,C1,288,338,50,UC,3919,3913,4,27,USD,100,1000456-SMT
132453,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,RM,S001,D655,1,G1,C1,636,686,50,UC,2546,2986,7,21,USD,77,1000457-SMT
108259,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,PM,S007,D666,1,G1,C1,614,664,50,UC,3401,3402,60,51,INR,97,1000456-SMT
137932,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,PM,S008,D666,1,G1,C1,505,555,50,UC,3191,3191,37,17,USD,85,
135506,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,CN,S001,D655,1,G1,C1,747,797,50,UC,2899,2899,15,8,USD,88,1000457-SMT
119852,,"RoHS,Security Tape","RoHS,Security Tape",,EA,120,0,RM,S010,D668,1,G1,C1,721,771,50,UC,2925,2522,39,32,INR,76,1000457-SMT
119191,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,PM,S004,D654,1,G1,C1,666,716,50,UC,3727,3025,50,3,USD,79,1000456-SMT
133133,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,RM,S006,D654,1,G1,C1,607,657,50,UC,3610,3600,38,14,INR,83,1000456-SMT
119852,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,PM,S001,D668,1,G1,C1,438,488,50,UC,2528,2538,55,11,INR,84,1000457-SMT
149244,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,RM,S009,D667,1,G1,C1,566,616,50,UC,3118,3435,21,5,INR,96,1000457-SMT
114717,,"RoHS,Security Tape","RoHS,Security Tape",,EA,120,0,CN,S009,D654,1,G1,C1,484,534,50,UC,3958,3540,44,2,USD,90,1000456-SMT
108259,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,RM,S005,D668,1,G1,C1,357,407,50,UC,2507,2485,19,30,INR,91,
1000457,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,PM,S002,D666,1,G1,C1,387,437,50,UC,2663,2639,28,39,USD,88,1000456-SMT
147831,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,CN,S008,D655,1,G1,C1,619,669,50,UC,3652,3648,6,47,INR,91,1000456-SMT
142120,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,RM,S010,D666,1,G1,C1,726,776,50,UC,3397,3377,16,29,INR,99,1000457-SMT
141663,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,CN,S010,D654,1,G1,C1,740,790,50,UC,3680,3488,52,50,INR,83,1000456-SMT
103557,,OTCT-650*478*228MM-1000PCS SODIMM-Y,OTCT-650*478*228MM-1000PCS SODIMM-Y,,EA,120,0,CN,S006,D667,1,G1,C1,697,747,50,UC,3701,3733,45,56,USD,93,1000456-SMT
137963,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,CN,S009,D654,1,G1,C1,423,473,50,UC,2891,2859,58,11,INR,89,1000457-SMT
138531,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,CN,S007,D667,1,G1,C1,442,492,50,UC,3705,3012,14,48,INR,90,1000457-SMT
119852,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,RM,S008,D667,1,G1,C1,527,577,50,UC,2769,2761,39,48,INR,77,
111742,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,PM,S001,D655,1,G1,C1,498,548,50,UC,3251,3253,52,6,INR,90,1000457-SMT
137932,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,RM,S010,D667,1,G1,C1,615,665,50,UC,3662,3631,26,31,USD,100,1000456-SMT
128313,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,PM,S006,D654,1,G1,C1,502,552,50,UC,2564,2567,26,53,INR,80,1000456-SMT
121969,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,RM,S001,D668,1,G1,C1,363,413,50,UC,3247,3247,22,15,USD,99,
102565,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,CN,S006,D655,1,G1,C1,439,489,50,UC,3109,3168,55,25,INR,93,
135677,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,RM,S007,D668,1,G1,C1,547,597,50,UC,2668,2668,58,16,INR,86,
123546,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,RM,S006,D654,1,G1,C1,712,762,50,UC,3933,3906,31,9,USD,81,1000457-SMT
1000457,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,RM,S001,D667,1,G1,C1,446,496,50,UC,2947,2583,57,36,USD,90,
111742,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,CN,S002,D654,1,G1,C1,285,335,50,UC,2776,2876,24,58,USD,75,
108259,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,PM,S002,D666,1,G1,C1,261,311,50,UC,3327,3227,12,10,USD,98,
1000457,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,RM,S002,D667,1,G1,C1,553,603,50,UC,3903,3939,44,60,USD,79,
131156,,OTCT-325*193*227MM-200PCS SODIMM-Y,OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,RM,S007,D667,1,G1,C1,684,734,50,UC,3557,3459,50,8,USD,82,
108259,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,PM,S004,D655,1,G1,C1,455,505,50,UC,3385,3385,25,31,USD,80,1000457-SMT
113854,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,CN,S008,D668,1,G1,C1,380,430,50,UC,2738,2738,25,60,INR,96,1000457-SMT
112048,,FUJI-FILTER 02,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,CN,S010,D655,1,G1,C1,732,782,50,UC,2873,2892,57,7,USD,75,
105581,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S010,D668,1,G1,C1,479,529,50,UC,3106,3406,15,41,INR,75,1000457-SMT
145340,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,PM,S001,D668,1,G1,C1,660,710,50,UC,2864,2735,32,10,USD,77,1000456-SMT
146860,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,PM,S010,D655,1,G1,C1,694,744,50,UC,3394,3397,25,31,USD,87,1000457-SMT
108259,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,CN,S008,D667,1,G1,C1,337,387,50,UC,3371,3299,10,15,USD,80,
108259,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,CN,S009,D655,1,G1,C1,724,774,50,UC,2507,2517,49,30,INR,94,1000457-SMT
1000457,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,RM,S008,D666,1,G1,C1,675,725,50,UC,2521,2926,11,13,USD,98,1000456-SMT
120887,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,RM,S007,D668,1,G1,C1,446,496,50,UC,3612,3626,12,7,USD,91,
119852,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,PM,S001,D654,1,G1,C1,632,682,50,UC,3521,3529,25,55,INR,80,
147831,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,CN,S009,D654,1,G1,C1,351,401,50,UC,3196,3192,56,56,USD,92,1000457-SMT
1000457,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,PM,S005,D666,1,G1,C1,628,678,50,UC,3836,3823,23,26,USD,99,
108259,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,CN,S004,D655,1,G1,C1,563,613,50,UC,3593,3919,13,30,USD,87,1000457-SMT
100441,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,PM,S007,D654,1,G1,C1,721,771,50,UC,3628,3622,36,46,INR,95,1000456-SMT
700536-2,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,RM,S002,D668,1,G1,C1,645,695,50,UC,2701,2711,59,7,USD,91,1000456-SMT
119852,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,RM,S001,D668,1,G1,C1,596,646,50,UC,2754,2553,35,37,INR,82,1000456-SMT
149244,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,CN,S007,D667,1,G1,C1,636,686,50,UC,3377,3774,22,47,USD,78,1000456-SMT
700536-4,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,PM,S004,D667,1,G1,C1,394,444,50,UC,3981,3511,55,54,USD,78,
119852,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,PM,S009,D668,1,G1,C1,581,631,50,UC,2841,2821,33,56,INR,99,1000456-SMT
105581,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,CN,S003,D666,1,G1,C1,440,490,50,UC,3897,3894,37,52,USD,92,1000457-SMT
141663,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,PM,S002,D655,1,G1,C1,739,789,50,UC,2958,2856,57,51,INR,79,1000456-SMT
135722,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,RM,S002,D654,1,G1,C1,539,589,50,UC,2852,2856,6,3,USD,95,1000456-SMT
142651,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,PM,S005,D667,1,G1,C1,262,312,50,UC,2785,2785,1,19,USD,99,
102565,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,CN,S002,D668,1,G1,C1,292,342,50,UC,3452,3458,11,35,USD,83,1000456-SMT
119852,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,RM,S008,D667,1,G1,C1,284,334,50,UC,3298,3292,41,59,INR,88,1000456-SMT
113854,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,CN,S005,D668,1,G1,C1,447,497,50,UC,3018,3003,43,12,INR,85,
700536-2,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,PM,S010,D666,1,G1,C1,370,420,50,UC,3189,3169,43,49,INR,92,
118578,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,PM,S004,D668,1,G1,C1,506,556,50,UC,3111,3213,22,28,USD,83,1000456-SMT
108259,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,RM,S003,D654,1,G1,C1,630,680,50,UC,3740,3748,44,60,USD,95,1000456-SMT
135506,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,PM,S008,D667,1,G1,C1,341,391,50,UC,3943,3943,10,28,INR,93,1000456-SMT
121969,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,CN,S006,D655,1,G1,C1,670,720,50,UC,3189,3184,19,49,INR,100,1000456-SMT
119852,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,CN,S006,D655,1,G1,C1,435,485,50,UC,3411,3416,28,57,INR,82,1000457-SMT
1000457,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,CN,S001,D654,1,G1,C1,714,764,50,UC,3192,3470,54,22,USD,91,1000457-SMT
145340,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,CN,S005,D654,1,G1,C1,537,587,50,UC,3122,3426,12,6,INR,96,
102565,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,PM,S009,D666,1,G1,C1,434,484,50,UC,3787,3287,23,49,INR,89,1000456-SMT
138531,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,PM,S010,D666,1,G1,C1,262,312,50,UC,2824,2823,26,31,USD,78,
