Item No_,Lot No_,Bin Code,Days from Registration
125880,IDS-21E2-00566,TMG,204
131422,IDS-21E2-00560,IGS,297
133081,IDS-21E2-00039,IGS,272
133133,IDS-21E2-00564,IGS,484
137963,IDS-21E2-00369,IGS,74
138531,IDS-21E2-00432,TMG,172
138531,IDS-21E2-00340,IGS,311
140281,IDS-21E2-00083,TMG,697
140281,IDS-21E2-00039,TMG,564
143236,IDS-21E2-00836,IGS,104
146940,IDS-21E2-00560,TMG,399
147755,IDS-21E2-00432,TMG,175
100107,IDS-21E2-00608,IGS,58
102565,IDS-21E2-00332,TMG,513
102671,IDS-21E2-00434,TMG,545
104754,IDS-21E2-00039,TMG,126
105581,IDS-21E2-00816,TMG,539
108259,IDS-21E2-00881,IGS,36
112048,IDS-21E2-00028,IGS,537
115418,IDS-21E2-00028,TMG,72
119852,IDS-21E2-01073,IGS,620
119852,IDS-21E2-00352,IGS,574
119852,IDS-21E2-01072,TMG,703
123546,IDS-21E2-00324,IGS,602
124257,IDS-21E2-00829,IGS,235
135219,IDS-21E2-00125,TMG,238
135506,IDS-21E2-00321,IGS,580
138872,IDS-21E2-00086,TMG,573
141305,IDS-21E2-00125,TMG,525
141305,IDS-21E2-00320,TMG,300
147359,IDS-21E2-00560,TMG,193
147831,IDS-21E2-00125,TMG,577
149104,IDS-21E2-00056,IGS,41
700536-1,IDS-21E2-00086,TMG,352
EII-CNS-OT-0005,IDS-21E2-00629,IGS,55
1000457,IDS-21E2-00565,IGS,647
102671,IDS-21E2-00054,IGS,579
108259,IDS-21E2-00628,IGS,652
111463,IDS-21E2-00317,TMG,89
114717,IDS-21E2-00320,TMG,585
119852,IDS-21E2-00448,TMG,176
122829,IDS-21E2-00321,TMG,687
123546,IDS-21E2-00039,TMG,690
123625,IDS-21E2-00028,IGS,117
133133,IDS-21E2-00837,IGS,43
135722,IDS-21E2-01076,TMG,291
138212,IDS-21E2-00816,TMG,399
138872,IDS-21E2-00340,TMG,697
139511,IDS-21E2-00054,IGS,355
145340,IDS-21E2-01076,TMG,59
147831,IDS-21E2-00561,TMG,422
700536-2,IDS-21E2-00039,TMG,617
700536-4,IDS-21E2-00565,TMG,638
700567-1,IDS-21E2-00083,IGS,93
EII-CNS-OT-0025,IDS-21E2-00336,IGS,575
1000457,IDS-21E2-00628,IGS,565
102565,IDS-21E2-00344,TMG,598
105581,IDS-21E2-00039,TMG,688
108259,IDS-21E2-00568,IGS,284
108259,IDS-21E2-00630,IGS,619
108259,IDS-21E2-00833,IGS,572
109456,IDS-21E2-00086,IGS,360
113014,IDS-21E2-00456,TMG,539
114717,IDS-21E2-00433,TMG,509
118475,IDS-21E2-00039,TMG,433
119396,IDS-21E2-00592,TMG,419
119852,IDS-21E2-00880,IGS,682
119852,IDS-21E2-01108,IGS,490
120887,IDS-21E2-00336,IGS,561
121969,IDS-21E2-00056,TMG,178
121969,IDS-21E2-00756,IGS,519
123625,IDS-21E2-00564,TMG,444
125880,IDS-21E2-00056,IGS,605
128313,IDS-21E2-00321,IGS,90
132453,IDS-21E2-00028,TMG,95
137932,IDS-21E2-00708,IGS,60
142726,IDS-21E2-00054,IGS,115
149244,IDS-21E2-00600,IGS,519
EII-CNS-OT-0008,IDS-21E2-00437,TMG,667
EII-CNS-OT-0025,IDS-21E2-00369,TMG,617
1000457,IDS-21E2-00388,TMG,327
102565,IDS-21E2-00329,IGS,365
102565,IDS-21E2-00056,IGS,691
102565,IDS-21E2-01077,IGS,287
103451,IDS-21E2-00628,TMG,687
104936,IDS-21E2-00028,TMG,362
105581,IDS-21E2-00560,IGS,614
111742,IDS-21E2-00320,IGS,482
111742,IDS-21E2-00816,TMG,647
112048,IDS-21E2-00086,TMG,557
113854,IDS-21E2-00328,TMG,466
115418,IDS-21E2-00083,IGS,682
117442,IDS-21E2-00101,TMG,268
119396,IDS-21E2-00628,TMG,475
119852,IDS-21E2-00496,TMG,590
120887,IDS-21E2-00125,TMG,521
121969,IDS-21E2-00820,TMG,554
123248,IDS-21E2-00028,TMG,459
128313,IDS-21E2-00039,IGS,423
133133,IDS-21E2-00630,TMG,106
135722,IDS-21E2-00125,TMG,463
137963,IDS-21E2-00624,IGS,260
137963,IDS-21E2-00388,TMG,618
139895,IDS-21E2-00039,TMG,457
141663,IDS-21E2-00039,TMG,704
145340,IDS-21E2-00820,TMG,696
145340,IDS-21E2-00328,IGS,203
700536-4,IDS-21E2-00756,TMG,270
700567-2,IDS-21E2-00562,IGS,700
EII-CNS-OT-0008,IDS-21E2-00580,IGS,22
EII-CNS-OT-0025,IDS-21E2-00125,IGS,533
EII-CNS-OT-0029,IDS-21E2-00368,TMG,62
100124,IDS-21E2-00028,TMG,143
102565,IDS-21E2-00054,IGS,680
102565,IDS-21E2-00436,IGS,552
108259,IDS-21E2-00630,TMG,88
108641,IDS-21E2-00688,TMG,63
111742,IDS-21E2-01108,TMG,15
113854,IDS-21E2-00056,IGS,302
115657,IDS-21E2-00560,TMG,241
117019,IDS-21E2-00816,IGS,532
117232,IDS-21E2-00125,TMG,397
121969,IDS-21E2-00125,TMG,637
122472,IDS-21E2-00054,TMG,344
124914,IDS-21E2-00054,TMG,484
131886,IDS-21E2-00368,IGS,600
133014,IDS-21E2-00125,IGS,689
133133,IDS-21E2-00320,TMG,448
137963,IDS-21E2-00688,IGS,124
143796,IDS-21E2-00101,IGS,616
144905,IDS-21E2-00320,IGS,429
145340,IDS-21E2-00438,TMG,634
148582,IDS-21E2-01096,TMG,651
149244,IDS-21E2-00566,IGS,496
700567-1,IDS-21E2-00086,TMG,381
1000457,IDS-21E2-00384,IGS,567
102565,IDS-21E2-00086,IGS,410
102565,IDS-21E2-00816,IGS,476
108259,IDS-21E2-00626,IGS,160
108259,IDS-21E2-01097,IGS,217
108259,IDS-21E2-00821,TMG,402
112048,IDS-21E2-00561,TMG,46
112382,IDS-21E2-00125,TMG,208
115418,IDS-21E2-00039,IGS,639
119852,IDS-21E2-00400,IGS,161
128313,IDS-21E2-00561,IGS,348
128313,IDS-21E2-00125,TMG,318
131156,IDS-21E2-00432,TMG,456
135506,IDS-21E2-00101,TMG,698
135677,IDS-21E2-00083,IGS,681
137932,IDS-21E2-00500,TMG,625
145340,IDS-21E2-00688,TMG,450
700536-3,IDS-21E2-00692,TMG,226
102078,IDS-21E2-00028,IGS,160
105695,IDS-21E2-00432,TMG,160
108259,IDS-21E2-00432,IGS,616
108259,IDS-21E2-00692,IGS,660
111742,IDS-21E2-00028,TMG,651
111742,IDS-21E2-00083,IGS,666
116912,IDS-21E2-00039,TMG,616
118270,IDS-21E2-00080,TMG,397
119131,IDS-21E2-00560,TMG,378
119852,IDS-21E2-00039,TMG,685
119852,IDS-21E2-00564,IGS,698
121793,IDS-21E2-00125,TMG,520
121969,IDS-21E2-01204,TMG,521
132646,IDS-21E2-00125,IGS,568
141663,IDS-21E2-00564,TMG,598
700536-2,IDS-21E2-00352,TMG,625
103752,IDS-21E2-00080,TMG,350
112048,IDS-21E2-01074,TMG,465
119852,IDS-21E2-00572,IGS,381
123234,IDS-21E2-00432,TMG,58
125880,IDS-21E2-00320,TMG,113
133133,IDS-21E2-00324,TMG,395
138531,IDS-21E2-00352,IGS,511
138531,IDS-21E2-00337,TMG,596
141388,IDS-21E2-00028,TMG,246
700536-4,IDS-21E2-00340,TMG,289
1000457,IDS-21E2-00560,TMG,695
103451,IDS-21E2-01072,TMG,98
103451,IDS-21E2-00320,TMG,255
103813,IDS-21E2-00580,TMG,224
105695,IDS-21E2-01072,IGS,704
115418,IDS-21E2-00372,IGS,514
118270,IDS-21E2-00576,IGS,193
119192,IDS-21E2-00560,IGS,425
119852,IDS-21E2-00816,IGS,646
127229,IDS-21E2-00325,TMG,265
130121,IDS-21E2-00372,TMG,695
132399,IDS-21E2-00560,TMG,248
139511,IDS-21E2-00564,TMG,261
144905,IDS-21E2-00580,TMG,65
147755,IDS-21E2-00324,IGS,307
700536-2,IDS-21E2-00101,IGS,514
700536-2,IDS-21E2-00320,IGS,550
1000457,IDS-21E2-01140,IGS,677
100107,IDS-21E2-00056,TMG,283
102565,IDS-21E2-00432,IGS,489
102565,IDS-21E2-00628,IGS,326
105695,IDS-21E2-00056,TMG,695
105695,IDS-21E2-00322,IGS,471
108259,IDS-21E2-00340,IGS,320
111071,IDS-21E2-00086,TMG,327
115418,IDS-21E2-00837,IGS,49
119027,IDS-21E2-00039,TMG,632
119192,IDS-21E2-00608,TMG,521
119852,IDS-21E2-00588,TMG,631
120958,IDS-21E2-00083,TMG,102
121793,IDS-21E2-00832,TMG,34
124060,IDS-21E2-00080,IGS,602
124257,IDS-21E2-00560,IGS,503
125880,IDS-21E2-00372,TMG,280
131536,IDS-21E2-00039,TMG,252
133081,IDS-21E2-00369,TMG,199
133253,IDS-21E2-00580,TMG,625
137963,IDS-21E2-00028,IGS,131
138531,IDS-21E2-00560,TMG,658
138531,IDS-21E2-00560,IGS,663
139895,IDS-21E2-00083,TMG,262
143236,IDS-21E2-00080,TMG,573
145340,IDS-21E2-00876,TMG,668
145340,IDS-21E2-00832,TMG,619
700536-4,IDS-21E2-00083,IGS,432
EII-CNS-OT-0005,IDS-21E2-00080,TMG,185
1000457,IDS-21E2-00885,TMG,653
1000457,IDS-21E2-00596,TMG,495
109456,IDS-21E2-00688,TMG,562
111071,IDS-21E2-00083,TMG,611
123759,IDS-21E2-00560,TMG,701
124914,IDS-21E2-00101,TMG,222
125880,IDS-21E2-00436,TMG,393
131664,IDS-21E2-00125,TMG,677
133081,IDS-21E2-00864,IGS,465
134072,IDS-21E2-01077,TMG,414
135506,IDS-21E2-00816,IGS,673
137932,IDS-21E2-00816,TMG,619
139272,IDS-21E2-00708,IGS,438
139895,IDS-21E2-00577,TMG,407
140150,IDS-21E2-00562,IGS,356
700536-1,IDS-21E2-00564,TMG,263
100441,IDS-21E2-00083,IGS,77
108259,IDS-21E2-00582,TMG,340
109456,IDS-21E2-00560,IGS,151
113014,IDS-21E2-00039,TMG,694
115132,IDS-21E2-00838,TMG,57
115418,IDS-21E2-00820,TMG,605
120958,IDS-21E2-00039,IGS,632
121571,IDS-21E2-00101,TMG,192
124914,IDS-21E2-00080,TMG,472
135506,IDS-21E2-00561,TMG,525
137963,IDS-21E2-00080,TMG,357
138531,IDS-21E2-00563,TMG,253
141388,IDS-21E2-00560,IGS,682
141663,IDS-21E2-00436,IGS,478
700526-1,IDS-21E2-00852,TMG,608
700567-1,IDS-21E2-00083,TMG,219
EII-CNS-OT-0008,IDS-21E2-00125,IGS,525
EII-CNS-OT-0025,IDS-21E2-00436,TMG,440
100124,IDS-21E2-00324,IGS,553
102565,IDS-21E2-01072,IGS,463
102565,IDS-21E2-00661,IGS,224
103451,IDS-21E2-00125,TMG,435
108259,IDS-21E2-00101,IGS,702
108730,IDS-21E2-00054,IGS,353
112048,IDS-21E2-00324,TMG,540
115657,IDS-21E2-00816,TMG,687
117232,IDS-21E2-00320,IGS,489
118578,IDS-21E2-00125,IGS,403
119027,IDS-21E2-00321,TMG,499
119192,IDS-21E2-00316,TMG,344
119852,IDS-21E2-00698,TMG,270
119852,IDS-21E2-00569,TMG,683
124914,IDS-21E2-00817,IGS,346
129315,IDS-21E2-00560,TMG,567
130121,IDS-21E2-00083,IGS,279
130347,IDS-21E2-00039,IGS,166
135506,IDS-21E2-00054,TMG,661
137932,IDS-21E2-00083,IGS,660
139272,IDS-21E2-00561,IGS,137
141393,IDS-21E2-00086,IGS,86
142120,IDS-21E2-00125,IGS,538
145340,IDS-21E2-00326,IGS,685
700526-2,IDS-21E2-01088,TMG,451
1000457,IDS-21E2-00337,TMG,354
100124,IDS-21E2-00039,TMG,435
100676,IDS-21E2-00816,TMG,496
114717,IDS-21E2-00433,IGS,206
115418,IDS-21E2-01076,IGS,293
118270,IDS-21E2-00114,IGS,637
119852,IDS-21E2-00054,IGS,692
123234,IDS-21E2-00336,IGS,586
133133,IDS-21E2-00125,TMG,555
134736,IDS-21E2-00816,TMG,100
135456,IDS-21E2-00039,TMG,97
138924,IDS-21E2-00564,TMG,481
138924,IDS-21E2-00101,TMG,98
139272,IDS-21E2-00432,IGS,402
149104,IDS-21E2-00340,IGS,258
1000457,IDS-21E2-00340,IGS,638
102078,IDS-21E2-00086,TMG,97
102565,IDS-21E2-00690,TMG,28
102671,IDS-21E2-00628,IGS,180
103752,IDS-21E2-00560,IGS,167
111742,IDS-21E2-00054,IGS,614
113014,IDS-21E2-00328,TMG,196
113854,IDS-21E2-00630,TMG,23
114431,IDS-21E2-00114,IGS,237
119852,IDS-21E2-00528,TMG,562
119852,IDS-21E2-00326,IGS,110
124914,IDS-21E2-00818,IGS,615
125880,IDS-21E2-00819,TMG,387
133133,IDS-21E2-00368,TMG,572
135506,IDS-21E2-00580,IGS,340
135677,IDS-21E2-00561,TMG,404
139272,IDS-21E2-00372,IGS,251
148780,IDS-21E2-00039,TMG,551
700536-4,IDS-21E2-00356,TMG,456
1000457,IDS-21E2-00562,IGS,81
1000457,IDS-21E2-00080,TMG,667
108259,IDS-21E2-00572,TMG,458
108259,IDS-21E2-00896,TMG,410
111742,IDS-21E2-00369,TMG,489
112048,IDS-21E2-00708,IGS,37
114717,IDS-21E2-01076,IGS,420
116994,IDS-21E2-00080,TMG,619
119852,IDS-21E2-00584,TMG,704
119852,IDS-21E2-00837,TMG,596
123759,IDS-21E2-00694,IGS,188
124415,IDS-21E2-00452,TMG,215
125880,IDS-21E2-00114,IGS,586
130121,IDS-21E2-00564,IGS,449
133133,IDS-21E2-00320,IGS,646
135506,IDS-21E2-00352,TMG,441
137963,IDS-21E2-00114,TMG,693
138531,IDS-21E2-00598,TMG,314
139895,IDS-21E2-00820,IGS,52
143236,IDS-21E2-00946,IGS,379
143236,IDS-21E2-00114,TMG,510
EII-CNS-OT-0025,IDS-21E2-00566,IGS,500
102671,IDS-21E2-00080,TMG,410
108259,IDS-21E2-00820,IGS,686
112048,IDS-21E2-00316,IGS,543
119192,IDS-21E2-00624,TMG,300
119852,IDS-21E2-00568,IGS,182
119852,IDS-21E2-00433,TMG,457
121793,IDS-21E2-00372,TMG,276
121969,IDS-21E2-00322,TMG,75
130347,IDS-21E2-00821,IGS,561
131536,IDS-21E2-00688,TMG,424
135506,IDS-21E2-00080,TMG,90
138531,IDS-21E2-00080,TMG,607
138872,IDS-21E2-00056,IGS,667
141663,IDS-21E2-00056,TMG,686
141663,IDS-21E2-00628,IGS,676
700536-4,IDS-21E2-00056,TMG,621
103557,IDS-21E2-00039,TMG,457
103813,IDS-21E2-00328,IGS,289
108259,IDS-21E2-00340,TMG,662
117019,IDS-21E2-00624,TMG,172
117871,IDS-21E2-00344,IGS,523
119191,IDS-21E2-00056,IGS,445
119852,IDS-21E2-00340,TMG,638
120958,IDS-21E2-00636,TMG,258
132453,IDS-21E2-00317,TMG,368
133133,IDS-21E2-00373,IGS,359
135506,IDS-21E2-01088,IGS,23
135677,IDS-21E2-00560,TMG.1,46
137932,IDS-21E2-00820,IGS,313
137932,IDS-21E2-00436,TMG,401
137963,IDS-21E2-00086,TMG,659
140208,IDS-21E2-00039,TMG,625
140281,IDS-21E2-00125,TMG,148
142120,IDS-21E2-00496,IGS,55
145340,IDS-21E2-00565,IGS,641
700536-1,IDS-21E2-00822,TMG,342
700536-4,IDS-21E2-00576,IGS,604
EII-CNS-LB-0001,IDS-21E2-00836,IGS,554
102671,IDS-21E2-00562,IGS,265
108259,IDS-21E2-00964,IGS,315
116994,IDS-21E2-00816,TMG,603
122402,IDS-21E2-00560,TMG,673
130347,IDS-21E2-00125,IGS,509
132352,IDS-21E2-00039,TMG,218
135506,IDS-21E2-00039,IGS,635
137932,IDS-21E2-00849,TMG,617
137963,IDS-21E2-00565,TMG,247
138212,IDS-21E2-00083,TMG,637
138212,IDS-21E2-00086,TMG,95
140281,IDS-21E2-00818,IGS,649
140550,IDS-21E2-00628,IGS,402
145340,IDS-21E2-00321,TMG,126
145340,IDS-21E2-00572,IGS,380
145433,IDS-21E2-00633,IGS,204
147831,IDS-21E2-00321,IGS,660
700536-2,IDS-21E2-00372,TMG,326
1000457,IDS-21E2-00356,TMG,548
102671,IDS-21E2-00564,IGS,593
103813,IDS-21E2-00564,IGS,589
111266,IDS-21E2-00340,IGS,180
112048,IDS-21E2-00608,TMG,439
118270,IDS-21E2-00324,IGS,17
119396,IDS-21E2-00824,TMG,449
123546,IDS-21E2-01152,TMG,183
123759,IDS-21E2-00572,TMG,106
133133,IDS-21E2-00561,IGS,343
135722,IDS-21E2-00580,TMG,497
137963,IDS-21E2-00817,TMG,532
138872,IDS-21E2-00368,TMG,650
140281,IDS-21E2-00432,TMG,413
145340,IDS-21E2-00820,IGS,599
145340,IDS-21E2-00370,TMG,497
145433,IDS-21E2-00039,IGS,156
EII-CNS-OT-0008,IDS-21E2-00820,TMG,226
EII-CNS-OT-0008,IDS-21E2-00086,TMG,94
1000457,IDS-21E2-00563,IGS,646
1000457,IDS-21E2-00565,TMG,576
105695,IDS-21E2-00101,TMG,285
108730,IDS-21E2-00080,TMG,617
123759,IDS-21E2-00372,TMG,302
124914,IDS-21E2-00086,TMG,697
125168,IDS-21E2-00028,IGS,387
127286,IDS-21E2-00039,TMG,691
130121,IDS-21E2-00056,TMG,145
130121,IDS-21E2-00324,TMG,248
130347,IDS-21E2-00436,TMG,632
131536,IDS-21E2-00880,IGS,296
134072,IDS-21E2-00562,TMG,490
135506,IDS-21E2-00565,TMG,78
137932,IDS-21E2-00580,IGS,491
137963,IDS-21E2-00692,IGS,614
142065,IDS-21E2-00372,TMG,609
148780,IDS-21E2-00340,TMG,191
700527,IDS-21E2-00564,IGS,348
700567-1,IDS-21E2-00572,IGS,537
EII-CNS-OT-0025,IDS-21E2-00316,IGS,187
1000457,IDS-21E2-00597,TMG,22
102565,IDS-21E2-00039,TMG,691
105695,IDS-21E2-00325,IGS,362
108259,IDS-21E2-00562,TMG,698
112048,IDS-21E2-00125,TMG,628
115418,IDS-21E2-00054,TMG,166
116912,IDS-21E2-00320,TMG,611
117019,IDS-21E2-00500,IGS,312
119852,IDS-21E2-00433,IGS,353
119852,IDS-21E2-00849,IGS,153
121969,IDS-21E2-00690,TMG,425
125948,IDS-21E2-00628,TMG,261
131536,IDS-21E2-01074,TMG,525
133133,IDS-21E2-00640,IGS,385
135456,IDS-21E2-00560,IGS,416
135677,IDS-21E2-00572,TMG,196
141388,IDS-21E2-00576,TMG,514
145909,IDS-21E2-00028,TMG,75
148935,IDS-21E2-00816,IGS,433
149244,IDS-21E2-00564,IGS,548
EII-CNS-OT-0008,IDS-21E2-00560,IGS,330
1000457,IDS-21E2-00317,TMG,373
100124,IDS-21E2-00056,TMG,597
113854,IDS-21E2-00564,IGS,507
124810,IDS-21E2-00624,TMG,604
125391,IDS-21E2-00039,TMG,493
125948,IDS-21E2-00056,TMG,139
127229,IDS-21E2-00560,TMG,268
134072,IDS-21E2-00344,TMG,96
135677,IDS-21E2-00340,IGS,158
137963,IDS-21E2-00561,TMG,543
139272,IDS-21E2-00564,TMG,574
143236,IDS-21E2-00372,TMG,599
700526-2,IDS-21E2-00114,IGS,340
EII-CNS-OT-0025,IDS-21E2-00596,IGS,548
EII-CNS-OT-0025,IDS-21E2-00432,TMG,618
108259,IDS-21E2-00565,TMG,704
108259,IDS-21E2-00125,TMG,704
109456,IDS-21E2-00114,IGS,22
112048,IDS-21E2-00114,TMG,649
113854,IDS-21E2-00820,TMG,298
118140,IDS-21E2-00114,IGS,507
119852,IDS-21E2-00323,TMG,124
121793,IDS-21E2-00039,TMG,562
130371,IDS-21E2-00125,TMG,505
132453,IDS-21E2-00644,IGS,467
137932,IDS-21E2-00320,TMG,170
138924,IDS-21E2-00039,IGS,318
140147,IDS-21E2-00086,TMG,203
145340,IDS-21E2-00565,TMG,604
EII-CNS-OT-0029,IDS-21E2-00560,TMG,55
1000457,IDS-21E2-00321,IGS,606
102565,IDS-21E2-00565,TMG,521
102565,IDS-21E2-00560,TMG,691
103451,IDS-21E2-00580,IGS,244
104180,IDS-21E2-00028,TMG,423
114717,IDS-21E2-00086,TMG,631
115418,IDS-21E2-00054,IGS,216
115657,IDS-21E2-00372,IGS,682
122829,IDS-21E2-00083,TMG,374
123234,IDS-21E2-00039,IGS,507
127229,IDS-21E2-00054,IGS,583
132796,IDS-21E2-00368,IGS,104
135506,IDS-21E2-00598,IGS,415
135722,IDS-21E2-00561,IGS,369
138531,IDS-21E2-00384,TMG,418
138531,IDS-21E2-01072,IGS,384
140281,IDS-21E2-00056,IGS,554
145433,IDS-21E2-00039,TMG,610
147831,IDS-21E2-00114,TMG,164
700536-4,IDS-21E2-00039,IGS,517
700536-4,IDS-21E2-01200,TMG,224
104279,IDS-21E2-00083,TMG,318
108259,IDS-21E2-00580,IGS,598
108730,IDS-21E2-00086,TMG,530
111434,IDS-21E2-00385,IGS,619
111742,IDS-21E2-00880,TMG,656
112048,IDS-21E2-00324,IGS,600
118578,IDS-21E2-00818,IGS,274
119192,IDS-21E2-00028,IGS,120
119852,IDS-21E2-00564,TMG,650
124257,IDS-21E2-00342,IGS,644
124914,IDS-21E2-00086,IGS,684
131422,IDS-21E2-00086,IGS,497
138212,IDS-21E2-00125,IGS,661
138872,IDS-21E2-00628,IGS,696
139272,IDS-21E2-00054,TMG,296
139895,IDS-21E2-00039,IGS,530
141305,IDS-21E2-00125,IGS,447
142120,IDS-21E2-00056,TMG,260
142120,IDS-21E2-00384,TMG,232
149244,IDS-21E2-00324,TMG,227
1000457,IDS-21E2-00664,IGS,238
100441,IDS-21E2-00101,TMG,80
108259,IDS-21E2-00660,TMG,219
108259,IDS-21E2-00565,IGS,640
111742,IDS-21E2-00125,IGS,674
118270,IDS-21E2-00581,IGS,660
119852,IDS-21E2-00596,TMG,647
123234,IDS-21E2-00572,TMG,546
123546,IDS-21E2-00114,IGS,472
123629,IDS-21E2-00056,IGS,355
123759,IDS-21E2-00086,TMG,674
135383,IDS-21E2-00056,TMG,322
137963,IDS-21E2-00596,IGS,293
149244,IDS-21E2-00320,IGS,509
700526-1,IDS-21E2-00564,TMG,459
EII-CNS-CC-0002,IDS-21E2-00564,IGS,702
EII-CNS-OT-0025,IDS-21E2-00039,IGS,698
102565,IDS-21E2-00448,TMG,61
103451,IDS-21E2-00039,IGS,235
108259,IDS-21E2-00318,IGS,30
109560,IDS-21E2-00368,TMG,394
119027,IDS-21E2-00328,TMG,22
119852,IDS-21E2-00693,TMG,684
119852,IDS-21E2-00612,TMG,568
123546,IDS-21E2-00056,TMG,481
125880,IDS-21E2-00624,TMG,241
130347,IDS-21E2-00832,IGS,121
131664,IDS-21E2-00562,TMG,393
132399,IDS-21E2-00039,TMG,233
133414,IDS-21E2-00054,TMG,185
138198,IDS-21E2-00039,TMG,644
138531,IDS-21E2-00324,TMG,158
138531,IDS-21E2-00056,IGS,304
147755,IDS-21E2-00056,IGS,192
100107,IDS-21E2-00368,TMG,656
108259,IDS-21E2-01078,IGS,410
112048,IDS-21E2-00054,IGS,569
114717,IDS-21E2-00321,IGS,354
119191,IDS-21E2-00114,IGS,260
121571,IDS-21E2-00368,IGS,655
123759,IDS-21E2-00101,TMG,568
125948,IDS-21E2-00039,TMG,39
133133,IDS-21E2-00436,IGS,686
135506,IDS-21E2-00577,IGS,59
135677,IDS-21E2-00574,TMG,632
138212,IDS-21E2-00316,TMG,658
142828,IDS-21E2-00816,IGS,434
145340,IDS-21E2-00561,TMG,439
145340,IDS-21E2-00432,TMG,692
147078,IDS-21E2-00404,IGS,125
1000457,IDS-21E2-00388,IGS,205
105581,IDS-21E2-00056,TMG,617
105581,IDS-21E2-00316,TMG,99
108912,IDS-21E2-00560,TMG,441
111742,IDS-21E2-00580,IGS,442
114717,IDS-21E2-00372,TMG,493
114717,IDS-21E2-00705,TMG,404
117525,IDS-21E2-00320,TMG,294
119396,IDS-21E2-00114,TMG,616
119852,IDS-21E2-00628,TMG,306
121969,IDS-21E2-00561,TMG,595
128313,IDS-21E2-00125,IGS,606
131030,IDS-21E2-00083,IGS,180
135677,IDS-21E2-00039,TMG,668
138531,IDS-21E2-00789,IGS,504
138531,IDS-21E2-00372,IGS,559
141663,IDS-21E2-00054,TMG,540
141663,IDS-21E2-00580,IGS,83
148306,IDS-21E2-00836,TMG,48
700536-2,IDS-21E2-00125,TMG,609
102671,IDS-21E2-00125,TMG,662
104279,IDS-21E2-00564,TMG,498
108259,IDS-21E2-00039,TMG,688
108259,IDS-21E2-00432,TMG,639
111742,IDS-21E2-00561,TMG,321
112048,IDS-21E2-00056,TMG,692
115657,IDS-21E2-00125,TMG,581
116912,IDS-21E2-00560,TMG,676
119192,IDS-21E2-00436,IGS,549
119852,IDS-21E2-00368,TMG,690
128313,IDS-21E2-00039,TMG,637
128313,IDS-21E2-00080,IGS,603
128683,IDS-21E2-00560,TMG,237
130371,IDS-21E2-00039,TMG,555
