Item No_,Lot No_,Bin Code,Quantity
108423,IDS-21E2-00039,TMG,1875.0
111434,IDS-21E2-00564,IGS,1500.0
112048,IDS-21E2-00321,IGS,46200.0
117019,IDS-21E2-00565,IGS,22125.0
121969,IDS-21E2-00324,IGS,51350.0
121969,IDS-21E2-00690,TMG,13825.0
122829,IDS-21E2-00083,TMG,2000.0
123546,IDS-21E2-00340,TMG,10850.0
125909,IDS-21E2-00320,IGS,1050.0
129713,IDS-21E2-00086,TMG,6200.0
130468,IDS-21E2-00332,TMG,175.0
131156,IDS-21E2-00432,IGS,2800.0
132453,IDS-21E2-00564,IGS,4500.0
133133,IDS-21E2-00086,TMG,27825.0
133133,IDS-21E2-00816,TMG,71550.0
135677,IDS-21E2-00436,IGS,21600.0
136998,IDS-21E2-00101,IGS,2400.0
139272,IDS-21E2-00880,IGS,9200.0
145340,IDS-21E2-00626,IGS,35700.0
149571,IDS-21E2-00324,TMG,250.0
EII-CNS-OT-0008,IDS-21E2-00125,IGS,15300.0
1000457,IDS-21E2-00125,IGS,2078600.0
105581,IDS-21E2-00352,TMG,64175.0
105695,IDS-21E2-00436,TMG,40500.0
112048,IDS-21E2-00688,TMG,23100.0
114717,IDS-21E2-00054,TMG,618150.0
115657,IDS-21E2-00114,TMG,2800.0
116912,IDS-21E2-00039,IGS,9350.0
119192,IDS-21E2-00432,TMG,52500.0
119852,IDS-21E2-01073,TMG,251500.0
123546,IDS-21E2-00572,IGS,10850.0
123625,IDS-21E2-00039,TMG,58650.0
132796,IDS-21E2-00080,IGS,9500.0
132796,IDS-21E2-00056,TMG,31350.0
138531,IDS-21E2-00816,TMG,171050.0
138872,IDS-21E2-00039,IGS,92825.0
139713,IDS-21E2-00056,TMG,3200.0
141663,IDS-21E2-00054,TMG,81375.0
142120,IDS-21E2-00564,TMG,4800.0
145340,IDS-21E2-00560,TMG,469200.0
1000457,IDS-21E2-00817,IGS,136750.0
1000457,IDS-21E2-00561,TMG,642725.0
100441,IDS-21E2-00560,IGS,12600.0
108423,IDS-21E2-00101,IGS,875.0
111742,IDS-21E2-00348,TMG,48125.0
114717,IDS-21E2-00101,IGS,190200.0
118270,IDS-21E2-00114,IGS,6300.0
118475,IDS-21E2-00054,TMG,2625.0
119852,IDS-21E2-00369,TMG,176050.0
119852,IDS-21E2-00828,TMG,176050.0
119852,IDS-21E2-00568,IGS,1232350.0
119852,IDS-21E2-01074,IGS,201200.0
130347,IDS-21E2-00101,TMG,4500.0
133133,IDS-21E2-00832,IGS,31800.0
138531,IDS-21E2-00560,IGS,1018525.0
140550,IDS-21E2-00628,IGS,525.0
141663,IDS-21E2-01104,IGS,18375.0
146860,IDS-21E2-00372,IGS,4200.0
147451,IDS-21E2-00039,TMG,600.0
108912,IDS-21E2-00320,TMG,1500.0
112048,IDS-21E2-00028,TMG,33000.0
114717,IDS-21E2-00452,TMG,63400.0
117232,IDS-21E2-00333,IGS,7400.0
118140,IDS-21E2-00624,TMG,1400.0
118498,IDS-21E2-00125,IGS,750.0
121969,IDS-21E2-00880,IGS,13825.0
131422,IDS-21E2-00560,IGS,350.0
143236,IDS-21E2-00056,IGS,6250.0
700536-2,IDS-21E2-00114,TMG,9750.0
700536-3,IDS-21E2-01072,TMG,6600.0
700536-4,IDS-21E2-01072,TMG,18550.0
EII-CNS-CC-0002,IDS-21E2-00564,IGS,1050.0
1000457,IDS-21E2-00568,IGS,95725.0
100124,IDS-21E2-00580,TMG,4400.0
102565,IDS-21E2-00372,TMG,213750.0
102671,IDS-21E2-00628,IGS,20000.0
105695,IDS-21E2-00083,TMG,67500.0
108259,IDS-21E2-00320,TMG,1096200.0
108259,IDS-21E2-00573,TMG,137025.0
111742,IDS-21E2-00660,IGS,55000.0
115418,IDS-21E2-01204,TMG,15000.0
118270,IDS-21E2-00125,TMG,16200.0
119852,IDS-21E2-00101,IGS,2439550.0
120887,IDS-21E2-00336,IGS,3325.0
123570,IDS-21E2-00086,IGS,750.0
126928,IDS-21E2-00125,TMG,2450.0
133133,IDS-21E2-00324,TMG,27825.0
133133,IDS-21E2-00114,IGS,119250.0
138531,IDS-21E2-00624,IGS,77750.0
141663,IDS-21E2-00823,TMG,18375.0
147359,IDS-21E2-00564,TMG,2450.0
700536-4,IDS-21E2-00316,TMG,26500.0
1000457,IDS-21E2-00341,IGS,246150.0
1000457,IDS-21E2-00324,IGS,109400.0
103451,IDS-21E2-01072,TMG,2250.0
112048,IDS-21E2-00468,IGS,26400.0
119192,IDS-21E2-00039,TMG,86250.0
120958,IDS-21E2-00039,IGS,7200.0
121969,IDS-21E2-00700,TMG,13825.0
122402,IDS-21E2-00561,IGS,2000.0
124257,IDS-21E2-00820,TMG,3250.0
124810,IDS-21E2-00572,TMG,175.0
125880,IDS-21E2-00824,TMG,13000.0
128313,IDS-21E2-00114,TMG,2800.0
130121,IDS-21E2-00083,IGS,2275.0
135506,IDS-21E2-00564,IGS,54000.0
135506,IDS-21E2-00028,IGS,24000.0
137932,IDS-21E2-00816,IGS,22100.0
137963,IDS-21E2-00039,IGS,370575.0
147831,IDS-21E2-00086,TMG,13800.0
102671,IDS-21E2-00336,TMG,25000.0
114717,IDS-21E2-00816,IGS,174350.0
119192,IDS-21E2-00320,TMG,45000.0
119396,IDS-21E2-00114,TMG,7500.0
119852,IDS-21E2-00326,TMG,176050.0
121571,IDS-21E2-00624,IGS,3200.0
121969,IDS-21E2-00817,IGS,15800.0
129562,IDS-21E2-00039,TMG,200.0
133133,IDS-21E2-00561,IGS,27825.0
135506,IDS-21E2-00596,TMG,30000.0
135677,IDS-21E2-00817,TMG,27000.0
138531,IDS-21E2-00101,IGS,388750.0
138872,IDS-21E2-00328,TMG,13825.0
140147,IDS-21E2-00125,TMG,1000.0
145340,IDS-21E2-01088,TMG,35700.0
146341,IDS-21E2-00028,TMG,500.0
EII-CNS-OT-0025,IDS-21E2-00086,TMG,61525.0
108023,IDS-21E2-00564,TMG,1400.0
108259,IDS-21E2-00624,IGS,489375.0
108259,IDS-21E2-00581,TMG,156600.0
112048,IDS-21E2-00324,TMG,52800.0
115418,IDS-21E2-00561,IGS,10500.0
115657,IDS-21E2-00816,TMG,2800.0
121793,IDS-21E2-00039,TMG,31350.0
129713,IDS-21E2-00080,TMG,12400.0
138531,IDS-21E2-00056,TMG,194375.0
139272,IDS-21E2-00561,TMG,27600.0
140281,IDS-21E2-00818,IGS,2625.0
141388,IDS-21E2-00054,IGS,3600.0
143236,IDS-21E2-00125,TMG,6250.0
102671,IDS-21E2-00368,TMG,25000.0
105449,IDS-21E2-00056,IGS,3500.0
105695,IDS-21E2-00114,TMG,21600.0
108259,IDS-21E2-00568,TMG,195750.0
111938,IDS-21E2-00320,IGS,1000.0
115418,IDS-21E2-00820,TMG,12000.0
116054,IDS-21E2-00564,TMG,200.0
118270,IDS-21E2-00581,IGS,9000.0
119192,IDS-21E2-00848,IGS,18750.0
119852,IDS-21E2-00816,IGS,1710200.0
121793,IDS-21E2-01096,TMG,9975.0
126928,IDS-21E2-00083,IGS,3500.0
130347,IDS-21E2-00039,IGS,9000.0
131156,IDS-21E2-00125,IGS,8050.0
132646,IDS-21E2-00320,TMG,1125.0
135506,IDS-21E2-00818,IGS,30000.0
135722,IDS-21E2-00580,TMG,18450.0
135878,IDS-21E2-00056,TMG,1200.0
139272,IDS-21E2-00560,IGS,48300.0
142828,IDS-21E2-00039,IGS,800.0
145340,IDS-21E2-00368,IGS,112200.0
145340,IDS-21E2-00567,TMG,35700.0
145340,IDS-21E2-00562,TMG,40800.0
145433,IDS-21E2-00028,IGS,5950.0
700526-1,IDS-21E2-00039,TMG,10400.0
700526-2,IDS-21E2-00114,IGS,1225.0
EII-CNS-OT-0025,IDS-21E2-00817,IGS,18725.0
1000457,IDS-21E2-00388,TMG,95725.0
100441,IDS-21E2-00576,IGS,7000.0
105449,IDS-21E2-00114,IGS,2450.0
105581,IDS-21E2-00320,IGS,60400.0
108259,IDS-21E2-00566,IGS,1135350.0
108259,IDS-21E2-00836,IGS,137025.0
108259,IDS-21E2-00101,IGS,2133675.0
111742,IDS-21E2-00125,TMG,708125.0
114717,IDS-21E2-00321,IGS,63400.0
115418,IDS-21E2-00372,IGS,10500.0
119852,IDS-21E2-00324,IGS,201200.0
120768,IDS-21E2-01136,IGS,2975.0
123546,IDS-21E2-00114,IGS,12400.0
128313,IDS-21E2-00080,IGS,2450.0
132796,IDS-21E2-00464,TMG,6650.0
137932,IDS-21E2-00028,IGS,18200.0
137963,IDS-21E2-00080,TMG,77775.0
138872,IDS-21E2-00375,IGS,15800.0
141388,IDS-21E2-00580,IGS,4500.0
142120,IDS-21E2-00384,TMG,6000.0
147359,IDS-21E2-00436,TMG,3500.0
EII-CNS-OT-0025,IDS-21E2-00629,TMG,26750.0
1000457,IDS-21E2-00572,TMG,232475.0
101669,IDS-21E2-00039,TMG,500.0
105695,IDS-21E2-00689,TMG,21600.0
106328,IDS-21E2-00039,TMG,400.0
116912,IDS-21E2-00114,IGS,3850.0
119852,IDS-21E2-00436,TMG,1106600.0
119852,IDS-21E2-00832,TMG,176050.0
125168,IDS-21E2-00080,IGS,1000.0
130121,IDS-21E2-00039,IGS,8450.0
130371,IDS-21E2-00564,TMG,875.0
133133,IDS-21E2-00368,IGS,63600.0
133133,IDS-21E2-00630,TMG,39750.0
135722,IDS-21E2-00114,TMG,10250.0
137963,IDS-21E2-00820,TMG,114375.0
137963,IDS-21E2-00561,TMG,114375.0
138531,IDS-21E2-00352,IGS,62200.0
144905,IDS-21E2-00320,IGS,1000.0
146860,IDS-21E2-00436,IGS,4800.0
147755,IDS-21E2-00564,TMG,5400.0
148780,IDS-21E2-00039,TMG,700.0
1000457,IDS-21E2-00384,IGS,136750.0
105581,IDS-21E2-00101,TMG,86825.0
112048,IDS-21E2-00692,TMG,26400.0
112092,IDS-21E2-00039,TMG,250.0
119852,IDS-21E2-00690,TMG,201200.0
119852,IDS-21E2-00328,IGS,176050.0
121969,IDS-21E2-00640,TMG,15800.0
123625,IDS-21E2-00436,TMG,6800.0
124914,IDS-21E2-00125,IGS,8225.0
132352,IDS-21E2-00324,TMG,1600.0
137963,IDS-21E2-00560,TMG,356850.0
139895,IDS-21E2-00564,TMG,3150.0
145340,IDS-21E2-00336,TMG,51000.0
145340,IDS-21E2-00560,IGS,153000.0
147831,IDS-21E2-00564,IGS,12075.0
EII-CNS-CC-0002,IDS-21E2-00336,TMG,1500.0
101884,IDS-21E2-00592,IGS,2750.0
105449,IDS-21E2-00083,IGS,3500.0
111266,IDS-21E2-00340,IGS,2100.0
111742,IDS-21E2-00125,IGS,543125.0
112048,IDS-21E2-00590,TMG,23100.0
114717,IDS-21E2-00080,TMG,213975.0
119192,IDS-21E2-00316,TMG,13125.0
119396,IDS-21E2-00564,TMG,12750.0
119852,IDS-21E2-00376,IGS,377250.0
120958,IDS-21E2-00596,TMG,4500.0
121969,IDS-21E2-00693,TMG,13825.0
123625,IDS-21E2-00028,TMG,5950.0
124257,IDS-21E2-00083,TMG,2275.0
127229,IDS-21E2-00054,IGS,4000.0
130921,IDS-21E2-00320,TMG,600.0
131664,IDS-21E2-00080,TMG,7250.0
132216,IDS-21E2-00125,IGS,200.0
133133,IDS-21E2-00837,IGS,31800.0
135677,IDS-21E2-00572,TMG,18900.0
136704,IDS-21E2-00039,IGS,2750.0
137963,IDS-21E2-00325,IGS,45750.0
138531,IDS-21E2-00324,TMG,139950.0
138531,IDS-21E2-00836,TMG,62200.0
138531,IDS-21E2-00336,IGS,349875.0
142120,IDS-21E2-00368,TMG,6000.0
148780,IDS-21E2-00560,TMG,1000.0
148935,IDS-21E2-00560,IGS,750.0
700567-2,IDS-21E2-00368,TMG,525.0
1000457,IDS-21E2-00628,TMG,916225.0
1000457,IDS-21E2-00326,TMG,109400.0
100441,IDS-21E2-00692,IGS,7000.0
105663,IDS-21E2-00056,TMG,1000.0
105695,IDS-21E2-00080,TMG,45900.0
111742,IDS-21E2-00338,TMG,48125.0
113014,IDS-21E2-00328,TMG,875.0
119027,IDS-21E2-00566,TMG,4600.0
119192,IDS-21E2-00086,IGS,26250.0
121571,IDS-21E2-00562,IGS,4000.0
123759,IDS-21E2-00564,IGS,35750.0
135677,IDS-21E2-00448,TMG,21600.0
136704,IDS-21E2-00320,IGS,2750.0
137932,IDS-21E2-00054,IGS,9100.0
145340,IDS-21E2-00101,TMG,209100.0
149244,IDS-21E2-00693,IGS,13300.0
700536-2,IDS-21E2-00125,TMG,53625.0
700536-2,IDS-21E2-00336,IGS,7800.0
EII-CNS-OT-0006,IDS-21E2-00337,IGS,600.0
1000457,IDS-21E2-00816,IGS,410250.0
102565,IDS-21E2-00574,TMG,45000.0
103557,IDS-21E2-00039,TMG,6500.0
108259,IDS-21E2-00818,TMG,195750.0
113854,IDS-21E2-00824,IGS,5775.0
120887,IDS-21E2-00560,IGS,3325.0
123625,IDS-21E2-01073,TMG,5950.0
132796,IDS-21E2-00572,IGS,7600.0
136998,IDS-21E2-00452,IGS,2100.0
137932,IDS-21E2-00560,TMG,9100.0
139272,IDS-21E2-00039,TMG,105800.0
140208,IDS-21E2-00039,TMG,1050.0
141663,IDS-21E2-00324,TMG,21000.0
145415,IDS-21E2-00054,TMG,2200.0
147078,IDS-21E2-00086,TMG,600.0
EII-CNS-OT-0007,IDS-21E2-00039,TMG,1200.0
EII-CNS-OT-0025,IDS-21E2-00028,IGS,18725.0
1000457,IDS-21E2-00440,IGS,109400.0
1000457,IDS-21E2-00561,IGS,519650.0
102565,IDS-21E2-00086,IGS,264375.0
102565,IDS-21E2-00692,TMG,39375.0
105449,IDS-21E2-00325,TMG,3500.0
105581,IDS-21E2-00816,TMG,181200.0
108259,IDS-21E2-00582,TMG,137025.0
111742,IDS-21E2-00101,TMG,178750.0
111742,IDS-21E2-00880,TMG,178750.0
115132,IDS-21E2-00571,TMG,1400.0
119192,IDS-21E2-00560,IGS,15000.0
126928,IDS-21E2-00320,TMG,2450.0
133133,IDS-21E2-00101,TMG,135150.0
134072,IDS-21E2-00564,TMG,9000.0
137932,IDS-21E2-00564,IGS,18200.0
138531,IDS-21E2-00820,TMG,256575.0
141663,IDS-21E2-00316,IGS,21000.0
147359,IDS-21E2-00565,IGS,3500.0
147945,IDS-21E2-00564,IGS,500.0
700536-2,IDS-21E2-00028,TMG,7800.0
102565,IDS-21E2-00324,TMG,90000.0
115418,IDS-21E2-01072,TMG,10500.0
121969,IDS-21E2-00818,TMG,13825.0
125880,IDS-21E2-00820,TMG,16250.0
128683,IDS-21E2-00101,IGS,1600.0
131664,IDS-21E2-00380,IGS,5800.0
133133,IDS-21E2-00628,TMG,59625.0
135722,IDS-21E2-00592,TMG,7175.0
137509,IDS-21E2-00101,TMG,800.0
140281,IDS-21E2-00320,TMG,6750.0
145340,IDS-21E2-00496,TMG,40800.0
1000457,IDS-21E2-00821,TMG,136750.0
103103,IDS-21E2-00056,TMG,500.0
105581,IDS-21E2-00114,TMG,166100.0
105581,IDS-21E2-00329,TMG,30200.0
117525,IDS-21E2-00368,IGS,1400.0
119852,IDS-21E2-00565,TMG,1182050.0
120377,IDS-21E2-00560,IGS,525.0
120768,IDS-21E2-00564,TMG,3400.0
124914,IDS-21E2-00083,IGS,8225.0
125880,IDS-21E2-00054,IGS,29250.0
127175,IDS-21E2-00324,IGS,250.0
130347,IDS-21E2-00039,TMG,7650.0
133133,IDS-21E2-00368,TMG,27825.0
133133,IDS-21E2-00433,IGS,39750.0
135677,IDS-21E2-00316,IGS,18900.0
139272,IDS-21E2-00114,TMG,9200.0
145340,IDS-21E2-00561,IGS,86700.0
147831,IDS-21E2-01236,IGS,12075.0
1000457,IDS-21E2-01136,IGS,95725.0
111071,IDS-21E2-00436,TMG,3000.0
111742,IDS-21E2-00816,TMG,343750.0
119027,IDS-21E2-00328,TMG,4025.0
119852,IDS-21E2-00054,TMG,6689900.0
119852,IDS-21E2-00444,TMG,201200.0
119852,IDS-21E2-00724,TMG,201200.0
119852,IDS-21E2-00818,TMG,176050.0
124914,IDS-21E2-00816,IGS,18800.0
147755,IDS-21E2-00125,TMG,5400.0
700536-4,IDS-21E2-00564,TMG,180200.0
EII-CNS-OT-0029,IDS-21E2-00125,IGS,2100.0
101887,IDS-21E2-00320,IGS,600.0
108259,IDS-21E2-00370,IGS,195750.0
109259,IDS-21E2-00580,IGS,750.0
111266,IDS-21E2-00086,TMG,3000.0
116912,IDS-21E2-00564,IGS,5500.0
117232,IDS-21E2-00101,IGS,9250.0
119027,IDS-21E2-00564,TMG,9200.0
122402,IDS-21E2-00821,TMG,1600.0
123234,IDS-21E2-00336,IGS,5200.0
123546,IDS-21E2-01152,TMG,12400.0
124914,IDS-21E2-00320,IGS,30550.0
125880,IDS-21E2-00817,TMG,11375.0
128313,IDS-21E2-00324,TMG,2800.0
130347,IDS-21E2-00125,TMG,7650.0
131664,IDS-21E2-00039,IGS,5075.0
136092,IDS-21E2-00114,TMG,250.0
138212,IDS-21E2-00039,IGS,104000.0
138531,IDS-21E2-00864,IGS,54425.0
141388,IDS-21E2-00039,TMG,6750.0
145340,IDS-21E2-00628,IGS,51000.0
145340,IDS-21E2-00821,IGS,35700.0
145340,IDS-21E2-00640,TMG,51000.0
145340,IDS-21E2-00086,IGS,168300.0
145340,IDS-21E2-00114,IGS,35700.0
148306,IDS-21E2-00822,TMG,500.0
100107,IDS-21E2-00368,TMG,1250.0
105581,IDS-21E2-00432,IGS,56625.0
108259,IDS-21E2-00626,IGS,137025.0
108259,IDS-21E2-00584,TMG,137025.0
112048,IDS-21E2-00564,TMG,250800.0
116912,IDS-21E2-00054,IGS,3850.0
119191,IDS-21E2-00114,IGS,4800.0
123234,IDS-21E2-00039,IGS,17550.0
125880,IDS-21E2-00086,TMG,24375.0
125880,IDS-21E2-00565,IGS,24375.0
132387,IDS-21E2-00039,IGS,500.0
138531,IDS-21E2-00572,TMG,77750.0
145340,IDS-21E2-00321,TMG,51000.0
147755,IDS-21E2-01140,IGS,5400.0
700536-3,IDS-21E2-00340,TMG,6600.0
EII-CNS-OT-0025,IDS-21E2-00692,TMG,18725.0
1000457,IDS-21E2-00086,IGS,1299125.0
100124,IDS-21E2-00322,IGS,5500.0
101669,IDS-21E2-00320,TMG,400.0
103451,IDS-21E2-00056,IGS,1575.0
108259,IDS-21E2-00086,TMG,2251125.0
117019,IDS-21E2-00564,IGS,32450.0
117871,IDS-21E2-00592,TMG,4375.0
121793,IDS-21E2-00566,IGS,9975.0
122106,IDS-21E2-00564,IGS,1750.0
125909,IDS-21E2-00039,TMG,2100.0
135506,IDS-21E2-00086,TMG,60000.0
135722,IDS-21E2-00086,IGS,7175.0
138212,IDS-21E2-00125,IGS,12800.0
138872,IDS-21E2-00501,TMG,13825.0
141663,IDS-21E2-00434,IGS,21000.0
145433,IDS-21E2-00039,TMG,7350.0
700536-2,IDS-21E2-00125,IGS,20475.0
EII-CNS-OT-0030,IDS-21E2-00101,TMG,1600.0
102519,IDS-21E2-00564,IGS,350.0
102565,IDS-21E2-00560,IGS,331875.0
105581,IDS-21E2-00083,IGS,98150.0
105695,IDS-21E2-00028,TMG,27000.0
111742,IDS-21E2-00054,IGS,501875.0
111742,IDS-21E2-00700,TMG,68750.0
111742,IDS-21E2-00086,TMG,660000.0
112048,IDS-21E2-00368,IGS,26400.0
112296,IDS-21E2-00816,TMG,3400.0
114717,IDS-21E2-00592,TMG,142650.0
118270,IDS-21E2-00056,TMG,19800.0
121225,IDS-21E2-00039,IGS,1750.0
124914,IDS-21E2-00039,TMG,58750.0
