Lot No_,Bin Code,Item No_,Min_Registering_Date,Quantity,Zone Code,Days from Registration
IDS-21E2-00028,IGS,147831,21-05-2022,200,IGS,234
IDS-21E2-00028,IGS,149244,31-03-2022,425,IGS,285
IDS-21E2-00028,IGS,EII-CNS-OT-0008,06-06-2022,250,IGS,218
IDS-21E2-00028,IGS,EII-CNS-OT-0025,02-04-2022,175,IGS,283
IDS-21E2-00028,TMG,1000457,01-04-2021,1750,TMG,649
IDS-21E2-00028,TMG,100124,25-08-2022,250,TMG,138
IDS-21E2-00028,TMG,102565,05-09-2022,175,TMG,127
IDS-21E2-00028,TMG,102671,22-03-2021,425,TMG,659
IDS-21E2-00028,TMG,103451,28-01-2022,200,TMG,347
IDS-21E2-00028,TMG,103813,18-05-2021,175,TMG,602
IDS-21E2-00028,TMG,104180,18-11-2021,200,TMG,418
IDS-21E2-00028,TMG,104936,18-01-2022,175,TMG,357
IDS-21E2-00028,TMG,105581,22-08-2021,250,TMG,506
IDS-21E2-00028,TMG,105695,01-12-2021,250,TMG,405
IDS-21E2-00028,TMG,108259,14-02-2021,1575,TMG,695
IDS-21E2-00028,TMG,108730,26-07-2021,200,TMG,533
IDS-21E2-00028,TMG,111742,04-04-2021,900,TMG,646
IDS-21E2-00028,TMG,112048,27-04-2021,250,TMG,623
IDS-21E2-00028,TMG,114717,24-04-2021,825,TMG,626
IDS-21E2-00028,TMG,115418,04-11-2022,175,TMG,67
IDS-21E2-00028,TMG,117525,22-04-2021,200,TMG,628
IDS-21E2-00028,TMG,118270,19-03-2021,175,TMG,662
IDS-21E2-00028,TMG,119027,01-12-2021,250,TMG,405
IDS-21E2-00028,TMG,119192,12-05-2021,550,TMG,608
IDS-21E2-00028,TMG,119370,19-12-2022,175,TMG,22
IDS-21E2-00028,TMG,119852,11-02-2021,4700,TMG,698
IDS-21E2-00028,TMG,120887,01-08-2021,200,TMG,527
IDS-21E2-00028,TMG,121571,20-04-2022,250,TMG,265
IDS-21E2-00028,TMG,121793,12-09-2021,1050,TMG,485
IDS-21E2-00028,TMG,123248,13-10-2021,175,TMG,454
IDS-21E2-00028,TMG,123625,29-07-2021,175,TMG,530
IDS-21E2-00028,TMG,124914,07-05-2022,175,TMG,248
IDS-21E2-00028,TMG,125391,25-04-2022,200,TMG,260
IDS-21E2-00028,TMG,125880,26-12-2021,350,TMG,380
IDS-21E2-00028,TMG,128313,23-02-2021,250,TMG,686
IDS-21E2-00028,TMG,131174,31-12-2022,200,TMG,10
IDS-21E2-00028,TMG,132453,12-10-2022,200,TMG,90
IDS-21E2-00028,TMG,132796,25-04-2022,250,TMG,260
IDS-21E2-00028,TMG,133133,03-10-2021,375,TMG,464
IDS-21E2-00028,TMG,135011,08-08-2021,250,TMG,520
IDS-21E2-00028,TMG,135506,16-01-2022,775,TMG,359
IDS-21E2-00028,TMG,135677,26-02-2021,625,TMG,683
IDS-21E2-00028,TMG,136161,16-12-2021,200,TMG,390
IDS-21E2-00028,TMG,137963,18-05-2021,600,TMG,602
IDS-21E2-00028,TMG,138505,19-02-2022,175,TMG,325
IDS-21E2-00028,TMG,138531,13-02-2021,850,TMG,696
IDS-21E2-00028,TMG,139511,27-12-2021,200,TMG,379
IDS-21E2-00028,TMG,140281,20-03-2021,200,TMG,661
IDS-21E2-00028,TMG,141388,14-05-2022,200,TMG,241
IDS-21E2-00028,TMG,141663,16-04-2021,200,TMG,634
IDS-21E2-00028,TMG,142120,13-06-2022,200,TMG,211
IDS-21E2-00028,TMG,143236,06-05-2021,250,TMG,614
IDS-21E2-00028,TMG,145340,01-06-2021,975,TMG,588
IDS-21E2-00028,TMG,145893,23-12-2021,200,TMG,383
IDS-21E2-00028,TMG,145909,01-11-2022,200,TMG,70
IDS-21E2-00028,TMG,146341,26-12-2022,250,TMG,15
IDS-21E2-00028,TMG,147755,22-06-2022,250,TMG,202
IDS-21E2-00028,TMG,147831,08-04-2021,200,TMG,642
IDS-21E2-00028,TMG,149244,11-08-2021,250,TMG,517
IDS-21E2-00028,TMG,700536-2,16-10-2021,200,TMG,451
IDS-21E2-00028,TMG,700536-4,30-03-2021,450,TMG,651
IDS-21E2-00028,TMG,EII-CNS-OT-0008,05-12-2021,250,TMG,401
IDS-21E2-00028,TMG,EII-CNS-OT-0025,30-10-2021,425,TMG,437
IDS-21E2-00039,IGS,1000457,11-02-2021,7525,IGS,698
IDS-21E2-00039,IGS,100107,25-11-2021,175,IGS,411
IDS-21E2-00039,IGS,100124,08-10-2021,375,IGS,459
IDS-21E2-00039,IGS,100441,26-04-2021,600,IGS,624
IDS-21E2-00039,IGS,100676,02-03-2021,175,IGS,679
IDS-21E2-00039,IGS,102565,11-02-2021,2900,IGS,698
IDS-21E2-00039,IGS,102671,08-03-2021,1775,IGS,673
IDS-21E2-00039,IGS,103451,25-05-2022,175,IGS,230
IDS-21E2-00039,IGS,105449,06-03-2021,200,IGS,675
IDS-21E2-00039,IGS,105491,21-12-2022,200,IGS,20
IDS-21E2-00039,IGS,105581,24-04-2021,1325,IGS,626
IDS-21E2-00039,IGS,105695,17-03-2021,1250,IGS,664
IDS-21E2-00039,IGS,108259,18-02-2021,16400,IGS,691
IDS-21E2-00039,IGS,108912,16-03-2022,250,IGS,300
IDS-21E2-00039,IGS,110564,09-04-2021,250,IGS,641
IDS-21E2-00039,IGS,111071,24-09-2021,450,IGS,473
IDS-21E2-00039,IGS,111266,29-04-2022,425,IGS,256
IDS-21E2-00039,IGS,111434,07-09-2021,450,IGS,490
IDS-21E2-00039,IGS,111742,12-02-2021,4100,IGS,697
IDS-21E2-00039,IGS,112048,23-03-2021,2700,IGS,658
IDS-21E2-00039,IGS,112296,14-11-2021,175,IGS,422
IDS-21E2-00039,IGS,113854,23-02-2021,425,IGS,686
IDS-21E2-00039,IGS,114571,17-07-2021,200,IGS,542
IDS-21E2-00039,IGS,114717,17-02-2021,4850,IGS,692
IDS-21E2-00039,IGS,115418,16-04-2021,750,IGS,634
IDS-21E2-00039,IGS,115657,22-03-2022,400,IGS,294
IDS-21E2-00039,IGS,115979,17-03-2022,200,IGS,299
IDS-21E2-00039,IGS,116912,25-03-2021,425,IGS,656
IDS-21E2-00039,IGS,117019,23-11-2021,200,IGS,413
IDS-21E2-00039,IGS,117232,19-02-2021,1700,IGS,690
IDS-21E2-00039,IGS,117525,21-03-2021,250,IGS,660
IDS-21E2-00039,IGS,117600,03-04-2021,175,IGS,647
IDS-21E2-00039,IGS,117871,14-11-2022,200,IGS,57
IDS-21E2-00039,IGS,118270,16-02-2021,1350,IGS,693
IDS-21E2-00039,IGS,118578,01-03-2022,200,IGS,315
IDS-21E2-00039,IGS,119027,17-07-2022,200,IGS,177
IDS-21E2-00039,IGS,119131,09-01-2022,175,IGS,366
IDS-21E2-00039,IGS,119191,25-07-2021,1050,IGS,534
IDS-21E2-00039,IGS,119192,18-03-2021,1750,IGS,663
IDS-21E2-00039,IGS,119852,21-02-2021,16850,IGS,688
IDS-21E2-00039,IGS,120768,03-07-2021,425,IGS,556
IDS-21E2-00039,IGS,120887,04-12-2021,200,IGS,402
IDS-21E2-00039,IGS,120958,23-04-2021,400,IGS,627
IDS-21E2-00039,IGS,121225,12-08-2022,250,IGS,151
IDS-21E2-00039,IGS,121793,11-08-2021,650,IGS,517
IDS-21E2-00039,IGS,121851,26-11-2022,200,IGS,45
IDS-21E2-00039,IGS,121876,24-07-2021,200,IGS,535
IDS-21E2-00039,IGS,121969,14-04-2021,1175,IGS,636
IDS-21E2-00039,IGS,122106,06-04-2021,425,IGS,644
IDS-21E2-00039,IGS,123234,26-08-2021,675,IGS,502
IDS-21E2-00039,IGS,123248,13-02-2021,175,IGS,696
IDS-21E2-00039,IGS,123498,14-09-2022,250,IGS,118
IDS-21E2-00039,IGS,123546,15-10-2021,375,IGS,452
IDS-21E2-00039,IGS,123625,01-03-2021,625,IGS,680
IDS-21E2-00039,IGS,123759,01-06-2021,1225,IGS,588
IDS-21E2-00039,IGS,124257,22-04-2021,650,IGS,628
IDS-21E2-00039,IGS,124914,26-06-2021,1325,IGS,563
IDS-21E2-00039,IGS,125391,14-05-2021,450,IGS,606
IDS-21E2-00039,IGS,125880,21-02-2021,1275,IGS,688
IDS-21E2-00039,IGS,125909,21-04-2021,425,IGS,629
IDS-21E2-00039,IGS,126928,03-12-2021,200,IGS,403
IDS-21E2-00039,IGS,127229,20-04-2021,200,IGS,630
IDS-21E2-00039,IGS,128313,18-11-2021,175,IGS,418
IDS-21E2-00039,IGS,129257,26-05-2022,175,IGS,229
IDS-21E2-00039,IGS,129713,17-03-2021,375,IGS,664
IDS-21E2-00039,IGS,130121,19-11-2021,650,IGS,417
IDS-21E2-00039,IGS,130347,02-08-2022,500,IGS,161
IDS-21E2-00039,IGS,130371,21-11-2021,200,IGS,415
IDS-21E2-00039,IGS,131130,30-04-2021,200,IGS,620
IDS-21E2-00039,IGS,131156,11-06-2021,700,IGS,578
IDS-21E2-00039,IGS,131536,01-08-2021,700,IGS,527
IDS-21E2-00039,IGS,131664,05-03-2021,175,IGS,676
IDS-21E2-00039,IGS,132214,12-05-2021,250,IGS,608
IDS-21E2-00039,IGS,132387,20-03-2021,250,IGS,661
IDS-21E2-00039,IGS,132796,17-02-2021,400,IGS,692
IDS-21E2-00039,IGS,133014,19-11-2022,250,IGS,52
IDS-21E2-00039,IGS,133081,18-04-2022,200,IGS,267
IDS-21E2-00039,IGS,133133,10-05-2021,3125,IGS,610
IDS-21E2-00039,IGS,133414,22-06-2021,200,IGS,567
IDS-21E2-00039,IGS,135456,20-06-2022,250,IGS,204
IDS-21E2-00039,IGS,135506,20-04-2021,2100,IGS,630
IDS-21E2-00039,IGS,135677,21-05-2021,925,IGS,599
IDS-21E2-00039,IGS,135722,26-03-2021,750,IGS,655
IDS-21E2-00039,IGS,136704,20-11-2022,250,IGS,51
IDS-21E2-00039,IGS,136998,03-04-2022,175,IGS,282
IDS-21E2-00039,IGS,137693,17-08-2022,175,IGS,146
IDS-21E2-00039,IGS,137932,03-05-2021,775,IGS,617
IDS-21E2-00039,IGS,137963,13-03-2021,2025,IGS,668
IDS-21E2-00039,IGS,138198,24-03-2022,175,IGS,292
IDS-21E2-00039,IGS,138212,06-05-2021,1625,IGS,614
IDS-21E2-00039,IGS,138531,30-04-2021,5050,IGS,620
IDS-21E2-00039,IGS,138872,23-05-2021,1175,IGS,597
IDS-21E2-00039,IGS,138924,03-03-2022,175,IGS,313
IDS-21E2-00039,IGS,139272,05-03-2021,625,IGS,676
IDS-21E2-00039,IGS,139713,07-06-2022,250,IGS,217
IDS-21E2-00039,IGS,139895,03-08-2021,675,IGS,525
IDS-21E2-00039,IGS,140281,09-08-2021,175,IGS,519
IDS-21E2-00039,IGS,140550,21-07-2022,425,IGS,173
IDS-21E2-00039,IGS,140656,26-03-2022,250,IGS,290
IDS-21E2-00039,IGS,141305,02-03-2021,675,IGS,679
IDS-21E2-00039,IGS,141393,20-02-2022,175,IGS,324
IDS-21E2-00039,IGS,141663,19-05-2021,1875,IGS,601
IDS-21E2-00039,IGS,142120,13-02-2022,425,IGS,331
IDS-21E2-00039,IGS,142651,22-10-2022,250,IGS,80
IDS-21E2-00039,IGS,142828,29-12-2022,200,IGS,12
IDS-21E2-00039,IGS,143236,15-03-2021,400,IGS,666
IDS-21E2-00039,IGS,143796,03-01-2022,375,IGS,372
IDS-21E2-00039,IGS,144905,17-12-2022,175,IGS,24
IDS-21E2-00039,IGS,144954,07-06-2022,200,IGS,217
IDS-21E2-00039,IGS,145340,14-02-2021,5800,IGS,695
IDS-21E2-00039,IGS,145433,12-08-2022,175,IGS,151
IDS-21E2-00039,IGS,146860,05-06-2021,425,IGS,584
IDS-21E2-00039,IGS,147451,25-10-2022,250,IGS,77
IDS-21E2-00039,IGS,147755,24-02-2021,625,IGS,685
IDS-21E2-00039,IGS,147831,03-10-2021,875,IGS,464
IDS-21E2-00039,IGS,148390,28-12-2021,175,IGS,378
IDS-21E2-00039,IGS,149005,20-04-2021,200,IGS,630
IDS-21E2-00039,IGS,149244,31-03-2021,2400,IGS,650
IDS-21E2-00039,IGS,700526-1,21-12-2021,200,IGS,385
IDS-21E2-00039,IGS,700536-1,19-03-2022,425,IGS,297
IDS-21E2-00039,IGS,700536-2,22-08-2022,250,IGS,141
IDS-21E2-00039,IGS,700536-3,15-02-2021,600,IGS,694
IDS-21E2-00039,IGS,700536-4,16-08-2021,1525,IGS,512
IDS-21E2-00039,IGS,700567-1,22-08-2021,250,IGS,506
IDS-21E2-00039,IGS,EII-CNS-OT-0005,04-12-2022,400,IGS,37
IDS-21E2-00039,IGS,EII-CNS-OT-0007,27-09-2021,175,IGS,470
IDS-21E2-00039,IGS,EII-CNS-OT-0008,26-03-2021,650,IGS,655
IDS-21E2-00039,IGS,EII-CNS-OT-0025,16-02-2021,875,IGS,693
IDS-21E2-00039,IGS,EII-CNS-OT-0030,03-11-2021,425,IGS,433
IDS-21E2-00039,TMG,1000457,11-02-2021,10775,TMG,698
IDS-21E2-00039,TMG,100124,06-11-2021,575,TMG,430
IDS-21E2-00039,TMG,100392,24-05-2021,200,TMG,596
IDS-21E2-00039,TMG,100441,06-09-2021,350,TMG,491
IDS-21E2-00039,TMG,100833,14-08-2021,175,TMG,514
IDS-21E2-00039,TMG,101669,19-05-2021,250,TMG,601
IDS-21E2-00039,TMG,102519,02-10-2021,500,TMG,465
IDS-21E2-00039,TMG,102565,23-02-2021,4350,TMG,686
IDS-21E2-00039,TMG,102671,20-02-2021,1950,TMG,689
IDS-21E2-00039,TMG,103557,15-10-2021,500,TMG,452
IDS-21E2-00039,TMG,103813,12-04-2021,175,TMG,638
IDS-21E2-00039,TMG,104754,11-09-2022,250,TMG,121
IDS-21E2-00039,TMG,105449,12-04-2021,250,TMG,638
IDS-21E2-00039,TMG,105491,28-08-2021,175,TMG,500
IDS-21E2-00039,TMG,105581,26-02-2021,2675,TMG,683
IDS-21E2-00039,TMG,105695,28-04-2021,1550,TMG,622
IDS-21E2-00039,TMG,106221,15-04-2022,200,TMG,270
IDS-21E2-00039,TMG,106328,18-02-2021,200,TMG,691
IDS-21E2-00039,TMG,108259,26-02-2021,16825,TMG,683
IDS-21E2-00039,TMG,108423,24-04-2021,375,TMG,626
IDS-21E2-00039,TMG,108641,26-06-2021,250,TMG,563
IDS-21E2-00039,TMG,108730,18-04-2021,625,TMG,632
IDS-21E2-00039,TMG,108816,26-07-2021,200,TMG,533
IDS-21E2-00039,TMG,109259,28-08-2022,250,TMG,135
IDS-21E2-00039,TMG,109961,11-02-2021,200,TMG,698
IDS-21E2-00039,TMG,111071,10-12-2021,200,TMG,396
IDS-21E2-00039,TMG,111742,10-02-2021,7375,TMG,699
IDS-21E2-00039,TMG,111938,01-10-2021,175,TMG,466
IDS-21E2-00039,TMG,112048,18-04-2021,1625,TMG,632
IDS-21E2-00039,TMG,112092,19-04-2022,250,TMG,266
IDS-21E2-00039,TMG,112296,03-08-2021,375,TMG,525
IDS-21E2-00039,TMG,112824,20-05-2022,250,TMG,235
IDS-21E2-00039,TMG,113014,20-02-2021,200,TMG,689
IDS-21E2-00039,TMG,113854,17-02-2021,1225,TMG,692
IDS-21E2-00039,TMG,114717,26-03-2021,6175,TMG,655
IDS-21E2-00039,TMG,115132,21-02-2021,425,TMG,688
IDS-21E2-00039,TMG,115418,18-02-2021,1150,TMG,691
IDS-21E2-00039,TMG,116054,05-09-2022,250,TMG,127
IDS-21E2-00039,TMG,116912,09-05-2021,675,TMG,611
IDS-21E2-00039,TMG,117019,13-05-2022,175,TMG,242
IDS-21E2-00039,TMG,117232,05-05-2021,1475,TMG,615
IDS-21E2-00039,TMG,117296,11-11-2022,200,TMG,60
IDS-21E2-00039,TMG,117525,21-02-2021,175,TMG,688
IDS-21E2-00039,TMG,117871,19-05-2022,525,TMG,236
IDS-21E2-00039,TMG,118129,14-12-2022,250,TMG,27
IDS-21E2-00039,TMG,118270,27-03-2021,975,TMG,654
IDS-21E2-00039,TMG,118475,08-11-2021,675,TMG,428
IDS-21E2-00039,TMG,118498,19-06-2021,200,TMG,570
IDS-21E2-00039,TMG,118578,09-02-2022,175,TMG,335
IDS-21E2-00039,TMG,119027,23-04-2021,825,TMG,627
IDS-21E2-00039,TMG,119192,23-06-2021,1150,TMG,566
IDS-21E2-00039,TMG,119396,12-03-2021,550,TMG,669
IDS-21E2-00039,TMG,119852,01-03-2021,17075,TMG,680
IDS-21E2-00039,TMG,120768,25-02-2022,425,TMG,319
IDS-21E2-00039,TMG,120958,04-01-2022,200,TMG,371
IDS-21E2-00039,TMG,121793,02-07-2021,550,TMG,557
IDS-21E2-00039,TMG,121969,27-05-2021,1525,TMG,593
IDS-21E2-00039,TMG,122829,24-05-2021,800,TMG,596
IDS-21E2-00039,TMG,123234,11-02-2021,875,TMG,698
IDS-21E2-00039,TMG,123248,23-11-2021,500,TMG,413
IDS-21E2-00039,TMG,123498,03-06-2022,175,TMG,221
IDS-21E2-00039,TMG,123546,24-02-2021,1800,TMG,685
IDS-21E2-00039,TMG,123570,21-10-2022,250,TMG,81
IDS-21E2-00039,TMG,123625,15-02-2021,1725,TMG,694
IDS-21E2-00039,TMG,123759,08-03-2021,1225,TMG,673
IDS-21E2-00039,TMG,124257,15-03-2021,450,TMG,666
IDS-21E2-00039,TMG,124914,15-03-2021,1250,TMG,666
IDS-21E2-00039,TMG,125168,11-09-2021,200,TMG,486
IDS-21E2-00039,TMG,125391,09-09-2021,250,TMG,488
IDS-21E2-00039,TMG,125880,25-02-2021,1875,TMG,684
IDS-21E2-00039,TMG,125909,19-09-2021,350,TMG,478
IDS-21E2-00039,TMG,125948,07-12-2022,250,TMG,34
IDS-21E2-00039,TMG,126928,03-05-2021,650,TMG,617
IDS-21E2-00039,TMG,127229,17-06-2021,1125,TMG,572
IDS-21E2-00039,TMG,127286,23-02-2021,250,TMG,686
IDS-21E2-00039,TMG,128313,18-04-2021,200,TMG,632
IDS-21E2-00039,TMG,129257,14-03-2021,175,TMG,667
IDS-21E2-00039,TMG,129525,15-12-2021,375,TMG,391
IDS-21E2-00039,TMG,129562,21-02-2022,200,TMG,323
IDS-21E2-00039,TMG,130121,05-05-2021,450,TMG,615
IDS-21E2-00039,TMG,130347,23-04-2021,425,TMG,627
IDS-21E2-00039,TMG,130371,09-07-2021,250,TMG,550
IDS-21E2-00039,TMG,131156,28-05-2021,675,TMG,592
IDS-21E2-00039,TMG,131536,08-05-2022,625,TMG,247
IDS-21E2-00039,TMG,131664,20-04-2021,375,TMG,630
IDS-21E2-00039,TMG,132214,22-08-2022,250,TMG,141
IDS-21E2-00039,TMG,132352,11-06-2022,650,TMG,213
IDS-21E2-00039,TMG,132399,27-05-2022,175,TMG,228
IDS-21E2-00039,TMG,132453,30-08-2021,675,TMG,498
IDS-21E2-00039,TMG,132796,08-05-2021,1250,TMG,612
IDS-21E2-00039,TMG,133133,11-02-2021,1950,TMG,698
IDS-21E2-00039,TMG,134072,26-06-2021,625,TMG,563
IDS-21E2-00039,TMG,134736,29-05-2021,375,TMG,591
IDS-21E2-00039,TMG,135383,17-03-2022,600,TMG,299
IDS-21E2-00039,TMG,135456,10-10-2022,250,TMG,92
IDS-21E2-00039,TMG,135506,17-03-2021,2900,TMG,664
IDS-21E2-00039,TMG,135677,18-03-2021,2325,TMG,663
IDS-21E2-00039,TMG,135704,03-04-2021,250,TMG,647
IDS-21E2-00039,TMG,135722,22-02-2021,1350,TMG,687
IDS-21E2-00039,TMG,136704,13-08-2022,250,TMG,150
IDS-21E2-00039,TMG,136998,26-02-2021,625,TMG,683
IDS-21E2-00039,TMG,137932,11-03-2021,1375,TMG,670
IDS-21E2-00039,TMG,137963,11-02-2021,5675,TMG,698
IDS-21E2-00039,TMG,138198,11-04-2021,175,TMG,639
IDS-21E2-00039,TMG,138212,28-08-2021,1350,TMG,500
IDS-21E2-00039,TMG,138531,02-03-2021,6650,TMG,679
IDS-21E2-00039,TMG,138872,04-04-2021,825,TMG,646
IDS-21E2-00039,TMG,139272,22-03-2021,2300,TMG,659
IDS-21E2-00039,TMG,139713,01-07-2021,500,TMG,558
IDS-21E2-00039,TMG,139895,15-10-2021,200,TMG,452
IDS-21E2-00039,TMG,140147,25-02-2021,200,TMG,684
IDS-21E2-00039,TMG,140150,28-07-2022,450,TMG,166
IDS-21E2-00039,TMG,140155,13-02-2022,175,TMG,331
IDS-21E2-00039,TMG,140208,30-04-2021,175,TMG,620
IDS-21E2-00039,TMG,140281,30-06-2021,800,TMG,559
IDS-21E2-00039,TMG,140550,16-09-2021,425,TMG,481
IDS-21E2-00039,TMG,141305,26-11-2021,550,TMG,410
IDS-21E2-00039,TMG,141388,11-09-2021,375,TMG,486
IDS-21E2-00039,TMG,141393,21-11-2021,200,TMG,415
IDS-21E2-00039,TMG,141663,10-02-2021,3825,TMG,699
IDS-21E2-00039,TMG,142065,12-06-2022,250,TMG,212
IDS-21E2-00039,TMG,142120,10-04-2022,200,TMG,275
IDS-21E2-00039,TMG,142798,01-12-2022,250,TMG,40
IDS-21E2-00039,TMG,143108,15-02-2021,200,TMG,694
IDS-21E2-00039,TMG,143236,14-10-2021,500,TMG,453
IDS-21E2-00039,TMG,144905,03-04-2021,250,TMG,647
IDS-21E2-00039,TMG,145209,07-09-2021,750,TMG,490
IDS-21E2-00039,TMG,145340,14-02-2021,6300,TMG,695
IDS-21E2-00039,TMG,145424,17-08-2021,175,TMG,511
IDS-21E2-00039,TMG,145433,15-05-2021,525,TMG,605
IDS-21E2-00039,TMG,145893,27-04-2021,175,TMG,623
IDS-21E2-00039,TMG,146341,25-09-2022,200,TMG,107
IDS-21E2-00039,TMG,146352,24-06-2021,250,TMG,565
IDS-21E2-00039,TMG,146373,06-11-2021,200,TMG,430
IDS-21E2-00039,TMG,146940,19-02-2022,175,TMG,325
IDS-21E2-00039,TMG,147359,10-03-2021,1050,TMG,671
IDS-21E2-00039,TMG,147451,14-05-2021,200,TMG,606
IDS-21E2-00039,TMG,147755,21-02-2021,375,TMG,688
IDS-21E2-00039,TMG,147831,12-03-2021,1850,TMG,669
IDS-21E2-00039,TMG,148780,13-07-2021,175,TMG,546
IDS-21E2-00039,TMG,148935,20-04-2021,175,TMG,630
IDS-21E2-00039,TMG,149104,19-08-2022,375,TMG,144
IDS-21E2-00039,TMG,149244,24-03-2021,2250,TMG,657
IDS-21E2-00039,TMG,149286,04-07-2022,200,TMG,190
IDS-21E2-00039,TMG,149691,13-09-2022,175,TMG,119
IDS-21E2-00039,TMG,700526-1,09-04-2021,650,TMG,641
IDS-21E2-00039,TMG,700536-2,08-05-2021,825,TMG,612
IDS-21E2-00039,TMG,700536-3,28-02-2021,725,TMG,681
IDS-21E2-00039,TMG,700536-4,02-03-2021,950,TMG,679
IDS-21E2-00039,TMG,700567-1,17-06-2021,500,TMG,572
IDS-21E2-00039,TMG,EII-CNS-OT-0006,23-08-2021,200,TMG,505
IDS-21E2-00039,TMG,EII-CNS-OT-0007,06-04-2021,200,TMG,644
IDS-21E2-00039,TMG,EII-CNS-OT-0008,29-10-2021,625,TMG,438
IDS-21E2-00039,TMG,EII-CNS-OT-0025,15-03-2021,1750,TMG,666
IDS-21E2-00039,TMG,EII-CNS-OT-0026,02-06-2022,175,TMG,222
IDS-21E2-00054,IGS,100039,07-12-2021,200,IGS,399
IDS-21E2-00054,IGS,1000457,05-03-2021,2550,IGS,676
IDS-21E2-00054,IGS,100441,30-06-2021,250,IGS,559
IDS-21E2-00054,IGS,102565,06-03-2021,625,IGS,675
IDS-21E2-00054,IGS,102671,15-06-2021,375,IGS,574
IDS-21E2-00054,IGS,103813,21-02-2021,400,IGS,688
IDS-21E2-00054,IGS,104936,25-11-2021,175,IGS,411
IDS-21E2-00054,IGS,105581,29-01-2022,1025,IGS,346
IDS-21E2-00054,IGS,105663,26-11-2022,250,IGS,45
IDS-21E2-00054,IGS,108259,26-04-2021,2425,IGS,624
IDS-21E2-00054,IGS,108730,27-01-2022,175,IGS,348
IDS-21E2-00054,IGS,111742,11-05-2021,1825,IGS,609
IDS-21E2-00054,IGS,112048,25-06-2021,400,IGS,564
IDS-21E2-00054,IGS,114717,04-04-2021,1850,IGS,646
IDS-21E2-00054,IGS,115418,13-06-2022,175,IGS,211
IDS-21E2-00054,IGS,115657,31-07-2021,175,IGS,528
IDS-21E2-00054,IGS,116912,24-01-2022,175,IGS,351
IDS-21E2-00054,IGS,117019,22-09-2021,425,IGS,475
IDS-21E2-00054,IGS,117232,30-12-2022,250,IGS,11
IDS-21E2-00054,IGS,117871,05-04-2021,200,IGS,645
IDS-21E2-00054,IGS,118270,03-10-2022,400,IGS,99
IDS-21E2-00054,IGS,119852,22-02-2021,5800,IGS,687
IDS-21E2-00054,IGS,121969,01-09-2021,200,IGS,496
IDS-21E2-00054,IGS,122472,29-04-2021,250,IGS,621
IDS-21E2-00054,IGS,123625,05-07-2021,450,IGS,554
IDS-21E2-00054,IGS,125880,24-10-2021,450,IGS,443
IDS-21E2-00054,IGS,126928,19-03-2021,175,IGS,662
IDS-21E2-00054,IGS,127229,11-06-2021,200,IGS,578
IDS-21E2-00054,IGS,130921,07-07-2022,250,IGS,187
