,ID,Description,Modality,Revision,BaseUOM,Batch_Management,SerialNumber_Profile,ShelfLife,ShelfLife_Date,MSD,Item_Category,MSLDetails
19,C505,Items-SB-07543853-UK,SB,None,None,None,2023-01-03 19:35:32,None,None,None,SB_UK,None
20,C363,Items-EE-04886293-BR,EE,None,None,None,03/01/2023 35:19:32,None,None,None,EE_BR,None
21,C558,Items-SB-02546091-IN,SB,None,None,None,2023-01-03 19:35:32,None,None,None,SB_IN,None
22,C798,Items-TS-06687352-US,TS,None,None,None,2023-01-03 19:35:32,None,None,None,TS_US,None
23,C290,Items-BC-02647288-JP,BC,None,None,None,2023-01-03 35:19:32,None,None,None,BC_JP,None
24,C424,Items-EP-01310120-IN,EP,None,None,None,20230103 35-19-32,None,None,None,EP_IN,None
25,C261,Items-EP-07767398-CH,EP,None,None,None,20230103 35-19-32,None,None,None,EP_CH,None
26,C866,Items-SB-00509063-CH,SB,None,None,None,2023-01-03 35:19:32,None,None,None,SB_CH,None
27,C998,Items-SB-03591404-JP,SB,None,None,None,03/01/2023 35:19:32,None,None,None,SB_JP,None
28,C307,Items-BC-00078136-US,BC,None,None,None,2023-01-03 19:35:32,None,None,None,BC_US,None
29,C451,Items-TS-00223294-BR,TS,None,None,None,2023-01-03 19:35:32,None,None,None,TS_BR,None
30,C311,Items-TS-08527791-UK,TS,None,None,None,2023-01-03 35:19:32,None,None,None,TS_UK,None
31,C244,Items-EP-00105503-JP,EP,None,None,None,03/01/2023 35:19:32,None,None,None,EP_JP,None
32,C729,Items-EE-01947410-JP,EE,None,None,None,03/01/2023 35:19:32,None,None,None,EE_JP,None
33,C067,Items-EE-04264866-BR,EE,None,None,None,03/01/2023 35:19:32,None,None,None,EE_BR,None
34,C746,Items-SB-02734397-IN,SB,None,None,None,2023-01-03 35:19:32,None,None,None,SB_IN,None
35,C331,Items-TS-04419885-CH,TS,None,None,None,03/01/2023 35:19:32,None,None,None,TS_CH,None
36,C504,Items-BC-07511831-CH,BC,None,None,None,2023-01-03 35:19:32,None,None,None,BC_CH,None
37,C181,Items-SB-01703268-CH,SB,None,None,None,2023-01-03 35:19:32,None,None,None,SB_CH,None
38,C711,Items-EP-02043706-UK,EP,None,None,None,20230103 35-19-32,None,None,None,EP_UK,None
39,C252,Items-TS-08597855-US,TS,None,None,None,2023-01-03 19:35:32,None,None,None,TS_US,None
40,C573,Items-EE-07197264-UK,EE,None,None,None,2023-01-03 35:19:32,None,None,None,EE_UK,None
41,C263,Items-SB-02355705-UK,SB,None,None,None,20230103 35-19-32,None,None,None,SB_UK,None
42,C209,Items-EP-03940730-IN,EP,None,None,None,20230103 35-19-32,None,None,None,EP_IN,None
43,C162,Items-BC-01252357-US,BC,None,None,None,03/01/2023 35:19:32,None,None,None,BC_US,None
44,C536,Items-EP-02518400-IN,EP,None,None,None,03/01/2023 35:19:32,None,None,None,EP_IN,None
45,C949,Items-TS-03538389-US,TS,None,None,None,2023-01-03 19:35:32,None,None,None,TS_US,None
46,C270,Items-BC-09039142-BR,BC,None,None,None,2023-01-03 19:35:32,None,None,None,BC_BR,None
47,C442,Items-SB-04583531-US,SB,None,None,None,20230103 35-19-32,None,None,None,SB_US,None
48,C982,Items-SB-09133837-BR,SB,None,None,None,2023-01-03 35:19:32,None,None,None,SB_BR,None
49,C651,Items-TS-03700767-UK,TS,None,None,None,2023-01-03 35:19:32,None,None,None,TS_UK,None
50,C917,Items-TS-00689461-BR,TS,None,None,None,03/01/2023 35:19:32,None,None,None,TS_BR,None
51,C188,Items-TS-01921426-IN,TS,None,None,None,20230103 35-19-32,None,None,None,TS_IN,None
52,C087,Items-EP-06020496-CH,EP,None,None,None,2023-01-03 19:35:32,None,None,None,EP_CH,None
53,C402,Items-TS-03528268-BR,TS,None,None,None,2023-01-03 35:19:32,None,None,None,TS_BR,None
54,C619,Items-TS-06196662-JP,TS,None,None,None,03/01/2023 35:19:32,None,None,None,TS_JP,None
55,C050,Items-EE-02512664-IN,EE,None,None,None,2023-01-03 35:19:32,None,None,None,EE_IN,None
56,C211,Items-EP-04536209-JP,EP,None,None,None,20230103 35-19-32,None,None,None,EP_JP,None
57,C051,Items-TS-00616746-UK,TS,None,None,None,2023-01-03 35:19:32,None,None,None,TS_UK,None
58,C084,Items-BC-08829600-JP,BC,None,None,None,20230103 35-19-32,None,None,None,BC_JP,None
59,C033,Items-TS-06196581-JP,TS,None,None,None,2023-01-03 35:19:32,None,None,None,TS_JP,None
60,C629,Items-TS-06879613-JP,TS,None,None,None,20230103 35-19-32,None,None,None,TS_JP,None
61,C160,Items-EP-01965204-IN,EP,None,None,None,2023-01-03 19:35:32,None,None,None,EP_IN,None
62,C220,Items-BC-08373900-UK,BC,None,None,None,2023-01-03 35:19:32,None,None,None,BC_UK,None
63,C128,Items-EE-04378618-IN,EE,None,None,None,2023-01-03 19:35:32,None,None,None,EE_IN,None
64,C092,Items-EP-04550702-BR,EP,None,None,None,2023-01-03 19:35:32,None,None,None,EP_BR,None
65,C623,Items-EP-00081648-CH,EP,None,None,None,2023-01-03 35:19:32,None,None,None,EP_CH,None
66,C720,Items-EE-06739822-CH,EE,None,None,None,2023-01-03 35:19:32,None,None,None,EE_CH,None
67,C136,Items-TS-06544504-BR,TS,None,None,None,20230103 35-19-32,None,None,None,TS_BR,None
68,C256,Items-EE-03921377-JP,EE,None,None,None,20230103 35-19-32,None,None,None,EE_JP,None
69,C653,Items-SB-06491467-IN,SB,None,None,None,2023-01-03 35:19:32,None,None,None,SB_IN,None
70,C897,Items-EE-00741901-CH,EE,None,None,None,03/01/2023 35:19:32,None,None,None,EE_CH,None
71,C662,Items-SB-07090191-UK,SB,None,None,None,2023-01-03 19:35:32,None,None,None,SB_UK,None
72,C304,Items-TS-03319863-CH,TS,None,None,None,03/01/2023 35:19:32,None,None,None,TS_CH,None
73,C522,Items-EP-04737482-IN,EP,None,None,None,2023-01-03 19:35:32,None,None,None,EP_IN,None
74,C641,Items-TS-06577660-UK,TS,None,None,None,2023-01-03 35:19:32,None,None,None,TS_UK,None
75,C151,Items-BC-06809611-UK,BC,None,None,None,2023-01-03 19:35:32,None,None,None,BC_UK,None
76,C865,Items-EP-06340692-BR,EP,None,None,None,20230103 35-19-32,None,None,None,EP_BR,None
77,C107,Items-TS-00245950-CH,TS,None,None,None,03/01/2023 35:19:32,None,None,None,TS_CH,None
78,C692,Items-EE-01061855-BR,EE,None,None,None,2023-01-03 19:35:32,None,None,None,EE_BR,None
79,C254,Items-TS-07978610-IN,TS,None,None,None,03/01/2023 35:19:32,None,None,None,TS_IN,None
80,C623,Items-BC-07313892-JP,BC,None,None,None,20230103 35-19-32,None,None,None,BC_JP,None
81,C751,Items-BC-00366822-IN,BC,None,None,None,2023-01-03 35:19:32,None,None,None,BC_IN,None
82,C765,Items-BC-02414724-JP,BC,None,None,None,20230103 35-19-32,None,None,None,BC_JP,None
83,C818,Items-EP-03466409-IN,EP,None,None,None,03/01/2023 35:19:32,None,None,None,EP_IN,None
84,C309,Items-BC-01462424-JP,BC,None,None,None,03/01/2023 35:19:32,None,None,None,BC_JP,None
85,C467,Items-SB-08860117-IN,SB,None,None,None,03/01/2023 35:19:32,None,None,None,SB_IN,None
86,C324,Items-TS-04699105-UK,TS,None,None,None,2023-01-03 19:35:32,None,None,None,TS_UK,None
87,C982,Items-TS-01948203-UK,TS,None,None,None,2023-01-03 19:35:32,None,None,None,TS_UK,None
88,C054,Items-BC-08035102-BR,BC,None,None,None,03/01/2023 35:19:32,None,None,None,BC_BR,None
89,C689,Items-EE-00711445-JP,EE,None,None,None,2023-01-03 19:35:32,None,None,None,EE_JP,None
90,C115,Items-EP-07185699-JP,EP,None,None,None,03/01/2023 35:19:32,None,None,None,EP_JP,None
91,C919,Items-EE-00048982-CH,EE,None,None,None,2023-01-03 35:19:32,None,None,None,EE_CH,None
92,C518,Items-BC-04459113-US,BC,None,None,None,03/01/2023 35:19:32,None,None,None,BC_US,None
93,C592,Items-TS-04165340-US,TS,None,None,None,20230103 35-19-32,None,None,None,TS_US,None
94,C606,Items-TS-03796255-IN,TS,None,None,None,20230103 35-19-32,None,None,None,TS_IN,None
95,C521,Items-EE-09684287-CH,EE,None,None,None,20230103 35-19-32,None,None,None,EE_CH,None
96,C588,Items-EP-08948583-UK,EP,None,None,None,2023-01-03 19:35:32,None,None,None,EP_UK,None
97,C153,Items-BC-00797195-JP,BC,None,None,None,20230103 35-19-32,None,None,None,BC_JP,None
98,C775,Items-SB-06392547-CH,SB,None,None,None,03/01/2023 35:19:32,None,None,None,SB_CH,None
