Entry No_,Journal Batch Name,Line No_,Registering Date,Location Code,Zone Code,Bin Code,Description,Item No_,Quantity,Qty_ (Base),Source Type,Source Subtype,Source No_,Source Line No_,Source Subline No_,Source Document,Source Code,Reason Code,No_ Series,Bin Type Code,Cubage,Weight,Journal Template Name,Whse_ Document No_,Whse_ Document Type,Whse_ Document Line No_,Entry Type,Reference Document,Reference No_,User ID,Variant Code,Qty_ per Unit of Measure,Unit of Measure Code,Serial No_,Lot No_,Warranty Date,Expiration Date,Phys Invt Counting Period Code,Phys Invt Counting Period Type,Dedicated
11,,10000,06-02-2022,SEZ3,TMG,TMG,_RARE_,1000457,250,250,39,1,RM-MIC-0003,1860000,56749,5,PURCHASES,,WR-P,RECEIVE,238,196,,WR-P-E2-0001,1,1860000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00125,30-10-2026 12:23,25-03-2027 05:24,PC_004,1,1
12,,10000,05-08-2022,SEZ3,TMG,TMG,"RoHS PCB BOARD, IQ CONTROLLER",100441,250,250,39,1,RM-MIC-0003,2560000,12347,5,PURCHASES,,WR-P,RECEIVE,237,217,,WR-P-E2-0001,1,2580000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00086,04-01-2025 19:05,09-07-2025 09:28,PC_005,1,1
13,,10000,23-08-2021,SEZ3,TMG,TMG,STATIC SHIELDED BAGS OF SIZE 280x220,105695,175,175,39,1,RM-MIC-0003,8260000,12346,5,PURCHASES,,WR-P,RECEIVE,205,145,,WR-P-E2-0001,1,8260000,1,1,GRN-E2-00159,SHREERESHMI.M,,1,EA,,IDS-21E2-00125,10-02-2025 09:24,26-12-2026 19:23,PC_004,1,1
14,,10000,06-04-2022,SEZ3,TMG,TMG,OTCT-377*192*309MM-200PCS DIMM-Y,114717,0,0,39,1,RM-MIC-0003,1450000,12346,5,PURCHASES,,WR-P,RECEIVE,164,232,,WR-P-E2-0001,1,1450000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00056,22-09-2025 05:29,24-07-2025 23:19,PC_004,1,1
15,,10000,17-09-2022,SEZ3,TMG,TMG,FUJI-FILTER 02,135506,250,250,39,1,RM-MIC-0003,500000,12346,5,PURCHASES,,WR-P,RECEIVE,171,198,,WR-P-E2-0001,1,500000,1,1,GRN-E2-00158,SHREERESHMI.M,,1,EA,,IDS-21E2-00573,10-03-2025 08:28,09-06-2027 11:52,PC_003,1,1
16,,10000,24-02-2021,SEZ2,IGS,IGS,OTCT-377*192*309MM-200PCS DIMM-Y,108259,175,175,39,1,RM-MIC-0003,3070000,56749,5,PURCHASES,,WR-P,RECEIVE,112,173,,WR-P-E2-0001,1,3070000,1,1,GRN-E2-00671,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,23-11-2025 03:57,06-08-2025 00:00,PC_002,1,1
17,,10000,25-12-2022,SEZ2,IGS,IGS,"RoHS,Label, 5 X 2 inch blank",145433,250,250,39,1,RM-MIC-0003,3400000,12345,5,PURCHASES,,WR-P,RECEIVE,108,232,,WR-P-E2-0001,1,3400000,1,1,GRN-E2-00189,SHREERESHMI.M,,1,EA,,IDS-21E2-00028,24-09-2025 12:08,08-02-2026 00:00,PC_004,1,1
18,,10000,20-09-2021,SEZ3,TMG,TMG,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/",1000457,200,200,39,1,RM-MIC-0003,8710000,12347,5,PURCHASES,,WR-P,RECEIVE,208,183,,WR-P-E2-0001,1,8710000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00114,21-08-2027 22:42,08-11-2021 00:00,PC_004,1,1
19,,10000,06-03-2021,SEZ2,IGS,IGS,OTCT-486*377*309MM-500PCS DIMM-Y,146940,0,0,39,1,RM-MIC-0003,7250000,54673,5,PURCHASES,,WR-P,RECEIVE,202,106,,WR-P-E2-0001,1,7250000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00560,19-09-2026 14:40,24-07-2025 23:19,PC_003,1,1
20,,10000,24-05-2021,SEZ3,TMG,TMG,OTCT-377*192*309MM-200PCS DIMM-Y,122829,200,200,39,1,RM-MIC-0003,10340000,12345,5,PURCHASES,,WR-P,RECEIVE,165,147,,WR-P-E2-0001,1,10340000,1,1,GRN-E2-00160,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,16-03-2025 09:33,08-11-2021 00:00,PC_003,1,1
21,,10000,27-02-2022,SEZ2,IGS,IGS,"RoHS,DRAM-1",121571,200,200,39,1,RM-MIC-0003,6750000,54673,5,PURCHASES,,WR-P,RECEIVE,219,163,,WR-P-E2-0001,1,6750000,1,1,GRN-E2-00165,SHREERESHMI.M,,1,EA,,IDS-21E2-00624,18-05-2025 21:05,26-08-2023 08:28,PC_002,1,1
22,,10000,29-11-2021,SEZ3,TMG,TMG,"RoHS,Label, 4X6 inch",108259,250,250,39,1,RM-MIC-0003,3120000,54673,5,PURCHASES,,WR-P,RECEIVE,215,141,,WR-P-E2-0001,1,3120000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00560,22-03-2027 20:00,04-05-2027 03:58,PC_005,1,1
23,,10000,30-10-2022,SEZ2,IGS,IGS,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/",108259,250,250,39,1,RM-MIC-0003,7900000,54673,5,PURCHASES,,WR-P,RECEIVE,212,241,,WR-P-E2-0001,1,7900000,1,1,GRN-E2-00158,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,08-04-2026 04:03,08-11-2021 00:00,PC_005,1,1
24,,10000,24-10-2022,SEZ3,TMG,TMG,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",127229,200,200,39,1,RM-MIC-0003,3760000,12346,5,PURCHASES,,WR-P,RECEIVE,109,174,,WR-P-E2-0001,1,3760000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,20-10-2025 12:01,22-02-2026 00:00,PC_002,1,1
25,,10000,14-02-2022,SEZ3,TMG,TMG,"RoHS,Security Tape",108259,0,0,39,1,RM-MIC-0003,3200000,54673,5,PURCHASES,,WR-P,RECEIVE,112,145,,WR-P-E2-0001,1,3200000,1,1,GRN-E2-00671,SHREERESHMI.M,,1,EA,,IDS-21E2-00560,15-02-2026 07:21,08-11-2021 00:00,PC_005,1,1
26,,10000,14-06-2022,SEZ3,TMG,TMG,STATIC SHIELDED BAGS OF SIZE 280x220,108259,250,250,39,1,RM-MIC-0003,4300000,56749,5,PURCHASES,,WR-P,RECEIVE,138,249,,WR-P-E2-0001,1,4390000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,28-09-2025 04:30,08-11-2021 00:00,PC_003,1,1
27,,10000,07-04-2021,SEZ2,IGS,IGS,OTCT-486*377*309MM-500PCS DIMM-Y,119852,0,0,39,1,RM-MIC-0003,10500000,12345,5,PURCHASES,,WR-P,RECEIVE,212,210,,WR-P-E2-0001,1,10500000,1,1,GRN-E2-00176,SHREERESHMI.M,,1,EA,,IDS-21E2-00820,07-06-2027 21:07,09-06-2027 11:52,PC_004,1,1
28,,10000,16-06-2022,SEZ3,TMG,TMG,"RoHS CARTON,SINGLE OUTPUT  PSU",142120,250,250,39,1,RM-MIC-0003,4950000,56749,5,PURCHASES,,WR-P,RECEIVE,221,247,,WR-P-E2-0001,1,3950000,1,1,GRN-E2-00414,SHREERESHMI.M,,1,EA,,IDS-21E2-00054,28-09-2026 23:09,24-07-2025 23:19,PC_003,1,1
29,,10000,21-03-2021,SEZ2,IGS,IGS,"RoHS,SCM1G8Z41CD8SA-062E",127229,0,0,39,1,RM-MIC-0003,1710000,12346,5,PURCHASES,,WR-P,RECEIVE,197,139,,WR-P-E2-0001,1,1710000,1,1,GRN-E2-00158,SHREERESHMI.M,,1,EA,,IDS-21E2-00596,13-05-2025 07:26,21-10-2026 00:00,PC_003,1,1
30,,10000,09-03-2022,SEZ3,TMG,TMG,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/",132796,175,175,39,1,RM-MIC-0003,10620000,12347,5,PURCHASES,,WR-P,RECEIVE,155,102,,WR-P-E2-0001,1,10620000,1,1,GRN-E2-00416,SHREERESHMI.M,,1,EA,,IDS-21E2-00372,10-09-2025 23:22,28-06-2025 20:15,PC_003,1,1
31,,10000,02-02-2022,SEZ2,IGS,IGS,OTCT-650*478*228MM-1000PCS SODIMM-Y,119852,200,200,39,1,RM-MIC-0003,3750000,12345,5,PURCHASES,,WR-P,RECEIVE,148,108,,WR-P-E2-0001,1,3750000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00056,13-08-2027 15:51,08-11-2021 00:00,PC_002,1,1
32,,10000,17-02-2021,SEZ3,TMG,TMG,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",140281,200,200,39,1,RM-MIC-0003,7330000,54673,5,PURCHASES,,WR-P,RECEIVE,240,234,,WR-P-E2-0001,1,7330000,1,1,GRN-E2-00159,SHREERESHMI.M,,1,EA,,IDS-21E2-00083,01-06-2027 08:08,08-11-2021 00:00,PC_003,1,1
33,,10000,31-05-2021,SEZ2,IGS,IGS,"RoHS PCB BOARD, IQ CONTROLLER",EII-CNS-OT-0005,175,175,39,1,RM-MIC-0003,2710000,56749,5,PURCHASES,,WR-P,RECEIVE,238,178,,WR-P-E2-0001,1,2710000,1,1,GRN-E2-00160,SHREERESHMI.M,,1,EA,,IDS-21E2-00325,17-08-2025 19:48,11-08-2023 18:29,PC_005,1,1
34,,10000,02-08-2021,SEZ2,IGS,IGS,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/",111742,200,200,39,1,RM-MIC-0003,8200000,12346,5,PURCHASES,,WR-P,RECEIVE,115,181,,WR-P-E2-0001,1,8200000,1,1,GRN-E2-00165,SHREERESHMI.M,,1,EA,,IDS-21E2-00565,19-11-2025 13:34,08-11-2021 00:00,PC_002,1,1
35,,10000,07-11-2021,SEZ2,IGS,IGS,"RoHS CARTON,SINGLE OUTPUT  PSU",138531,175,175,39,1,RM-MIC-0003,8970000,12347,5,PURCHASES,,WR-P,RECEIVE,195,208,,WR-P-E2-0001,1,8970000,1,1,GRN-E2-00159,SHREERESHMI.M,,1,EA,,IDS-21E2-00101,22-09-2027 05:39,08-02-2026 00:00,PC_005,1,1
36,,10000,22-06-2022,SEZ2,IGS,IGS,"RoHS PCB BOARD, IQ CONTROLLER",119852,200,200,39,1,RM-MIC-0003,9410000,54673,5,PURCHASES,,WR-P,RECEIVE,216,249,,WR-P-E2-0001,1,9410000,1,1,GRN-E2-00158,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,21-07-2026 07:31,27-10-2025 04:07,PC_005,1,1
37,,10000,16-11-2021,SEZ3,TMG,TMG,OTCT-325*193*227MM-200PCS SODIMM-Y,137963,200,200,39,1,RM-MIC-0003,3580000,54673,5,PURCHASES,,WR-P,RECEIVE,111,203,,WR-P-E2-0001,1,3580000,1,1,GRN-E2-00167,SHREERESHMI.M,,1,EA,,IDS-21E2-00368,09-11-2025 03:00,11-08-2023 18:29,PC_004,1,1
38,,10000,04-07-2022,SEZ2,IGS,IGS,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,124257,200,200,39,1,RM-MIC-0003,7700000,12347,5,PURCHASES,,WR-P,RECEIVE,249,151,,WR-P-E2-0001,1,7700000,1,1,GRN-E2-00158,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,22-08-2026 09:04,08-11-2021 00:00,PC_004,1,1
39,,10000,21-03-2021,SEZ2,IGS,IGS,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,1000457,200,200,39,1,RM-MIC-0003,2220000,12346,5,PURCHASES,,WR-P,RECEIVE,200,114,,WR-P-E2-0001,1,2020000,1,1,GRN-E2-00159,SHREERESHMI.M,,1,EA,,IDS-21E2-00056,24-10-2025 04:33,07-02-2026 00:00,PC_003,1,1
40,,10000,07-04-2022,SEZ3,TMG,TMG,FUJI-FILTER 02,108259,250,250,39,1,RM-MIC-0003,9520000,12345,5,PURCHASES,,WR-P,RECEIVE,206,112,,WR-P-E2-0001,1,9520000,1,1,GRN-E2-00159,SHREERESHMI.M,,1,EA,,IDS-21E2-00125,21-12-2025 21:24,14-05-2026 00:03,PC_005,1,1
41,,10000,23-11-2021,SEZ2,IGS,IGS,OTCT-650*478*228MM-1000PCS SODIMM-Y,138531,175,175,39,1,RM-MIC-0003,3760000,12347,5,PURCHASES,,WR-P,RECEIVE,101,244,,WR-P-E2-0001,1,3760000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00125,19-01-2027 12:54,28-01-2026 00:00,PC_003,1,1
42,,10000,02-04-2022,SEZ3,TMG,TMG,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,139895,200,200,39,1,RM-MIC-0003,2300000,12347,5,PURCHASES,,WR-P,RECEIVE,149,146,,WR-P-E2-0001,1,2300000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00560,06-03-2025 03:46,22-01-2027 20:48,PC_004,1,1
43,,10000,15-11-2022,SEZ3,TMG,TMG,"ROHS,Attention Tape",119852,250,250,39,1,RM-MIC-0003,80000,12346,5,PURCHASES,,WR-P,RECEIVE,246,177,,WR-P-E2-0001,1,7040000,1,1,GRN-E2-00189,SHREERESHMI.M,,1,EA,,IDS-21E2-00125,01-12-2025 10:59,08-11-2021 00:00,PC_005,1,1
44,,10000,24-06-2021,SEZ3,TMG,TMG,OTCT-377*192*309MM-200PCS DIMM-Y,119192,200,200,39,1,RM-MIC-0003,350000,56749,5,PURCHASES,,WR-P,RECEIVE,145,183,,WR-P-E2-0001,1,350000,1,1,GRN-E2-00159,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,23-01-2025 16:05,08-11-2021 00:00,PC_005,1,1
45,,10000,13-11-2022,SEZ3,TMG,TMG,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,145340,0,0,39,1,RM-MIC-0003,8930000,56749,5,PURCHASES,,WR-P,RECEIVE,152,216,,WR-P-E2-0001,1,8930000,1,1,GRN-E2-00190,SHREERESHMI.M,,1,EA,,IDS-21E2-00816,17-08-2026 00:42,14-10-2026 07:09,PC_003,1,1
46,,10000,09-05-2022,SEZ3,TMG,TMG,"RoHS,Label, 4X6 inch",1000457,175,175,39,1,RM-MIC-0003,5560000,12345,5,PURCHASES,,WR-P,RECEIVE,116,119,,WR-P-E2-0001,1,5560000,1,1,GRN-E2-00160,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,22-03-2027 11:49,08-11-2021 00:00,PC_003,1,1
47,,10000,05-06-2022,SEZ3,TMG,TMG,OTCT-325*193*227MM-200PCS SODIMM-Y,121876,200,200,39,1,RM-MIC-0003,610000,54673,5,PURCHASES,,WR-P,RECEIVE,169,213,,WR-P-E2-0001,1,610000,1,1,GRN-E2-00669,SHREERESHMI.M,,1,_RARE_,,IDS-21E2-00086,26-09-2026 21:00,25-09-2025 00:00,PC_002,1,1
48,,10000,24-05-2022,SEZ2,IGS,IGS,"RoHS,Label, 5 X 2 inch blank",145340,0,0,39,1,RM-MIC-0003,9310000,54673,5,PURCHASES,,WR-P,RECEIVE,239,221,,WR-P-E2-0001,1,9610000,1,1,GRN-E2-00159,SHREERESHMI.M,,1,EA,,IDS-21E2-00832,01-10-2025 15:22,26-12-2026 19:23,PC_002,1,1
49,,10000,20-09-2021,SEZ3,TMG,TMG,"RoHS CARTON,SINGLE OUTPUT  PSU",119852,175,175,39,1,RM-MIC-0003,7150000,12346,5,PURCHASES,,WR-P,RECEIVE,229,166,,WR-P-E2-0001,1,7150000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00560,16-05-2027 14:46,08-11-2021 00:00,PC_005,1,1
50,,10000,28-05-2021,SEZ3,TMG,TMG,OTCT-650*478*228MM-1000PCS SODIMM-Y,131156,250,250,39,1,RM-MIC-0003,9820000,12347,5,PURCHASES,,WR-P,RECEIVE,142,150,,WR-P-E2-0001,1,9820000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,21-03-2025 15:06,09-07-2025 09:28,PC_002,1,1
51,,10000,30-07-2022,SEZ3,TMG,TMG,"RoHS,Label, 5 X 2 inch blank",131664,0,0,39,1,RM-MIC-0003,4400000,12345,5,PURCHASES,,WR-P,RECEIVE,208,202,,WR-P-E2-0001,1,4400000,1,1,GRN-E2-00192,SHREERESHMI.M,,1,EA,,IDS-21E2-00125,01-04-2026 19:14,08-02-2026 00:00,PC_005,1,1
52,,10000,24-09-2022,SEZ2,IGS,IGS,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/",121793,0,0,39,1,RM-MIC-0003,6300000,54673,5,PURCHASES,,WR-P,RECEIVE,144,240,,WR-P-E2-0001,1,6300000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,23-12-2026 08:53,25-12-2025 09:05,PC_003,1,1
53,,10000,25-06-2022,SEZ2,IGS,IGS,OTCT-486*377*309MM-500PCS DIMM-Y,145433,250,250,39,1,RM-MIC-0003,240000,54673,5,PURCHASES,,WR-P,RECEIVE,219,117,,WR-P-E2-0001,1,220000,1,1,GRN-E2-00191,SHREERESHMI.M,,1,EA,,IDS-21E2-00633,22-03-2027 14:40,09-06-2027 11:52,PC_005,1,1
54,,10000,21-06-2021,SEZ2,IGS,IGS,FUJI-FILTER 02,112048,0,0,39,1,RM-MIC-0003,770000,54673,5,PURCHASES,,WR-P,RECEIVE,153,223,,WR-P-E2-0001,1,270000,1,1,GRN-E2-00669,SHREERESHMI.M,,1,EA,,IDS-21E2-00056,12-12-2025 00:00,08-11-2021 00:00,PC_005,1,1
55,,10000,27-09-2021,SEZ2,IGS,IGS,"RoHS PCB BOARD, IQ CONTROLLER",145340,175,175,39,1,RM-MIC-0003,10850000,12347,5,PURCHASES,,WR-P,RECEIVE,202,242,,WR-P-E2-0001,1,10850000,1,1,GRN-E2-00290,SHREERESHMI.M,,1,EA,,IDS-21E2-00368,27-05-2025 15:25,25-09-2025 00:00,PC_003,1,1
56,,10000,02-09-2021,SEZ2,IGS,IGS,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/",143236,250,250,39,1,RM-MIC-0003,7720000,12347,5,PURCHASES,,WR-P,RECEIVE,247,164,,WR-P-E2-0001,1,7720000,1,1,GRN-E2-00414,SHREERESHMI.M,,1,EA,,IDS-21E2-00056,19-08-2027 22:55,07-02-2026 00:00,PC_003,1,1
57,,10000,24-05-2022,SEZ3,TMG,TMG,"RoHS,Security Tape",118270,0,0,39,1,RM-MIC-0003,7560000,12347,5,PURCHASES,,WR-P,RECEIVE,104,197,,WR-P-E2-0001,1,7520000,1,1,GRN-E2-00163,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,10-05-2025 13:59,08-11-2021 00:00,PC_002,1,1
58,,10000,10-07-2022,SEZ3,TMG,TMG,FUJI-FILTER 02,114717,175,175,39,1,RM-MIC-0003,10620000,54673,5,PURCHASES,,WR-P,RECEIVE,144,172,,WR-P-E2-0001,1,10620000,1,1,GRN-E2-00159,SHREERESHMI.M,,1,EA,,IDS-21E2-00500,27-07-2025 04:02,08-02-2026 00:00,PC_003,1,1
59,,10000,31-12-2022,SEZ3,TMG,TMG,OTCT-377*192*309MM-200PCS DIMM-Y,119852,250,250,39,1,RM-MIC-0003,6050000,12345,5,PURCHASES,,WR-P,RECEIVE,137,101,,WR-P-E2-0001,1,6050000,1,1,GRN-E2-00448,SHREERESHMI.M,,1,EA,,IDS-21E2-00570,13-03-2025 20:55,22-02-2026 00:00,PC_003,1,1
60,,10000,10-08-2022,SEZ3,TMG,TMG,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,132453,250,250,39,1,RM-MIC-0003,4620000,56749,5,PURCHASES,,WR-P,RECEIVE,207,205,,WR-P-E2-0001,1,4600000,1,1,GRN-E2-00189,SHREERESHMI.M,,1,EA,,IDS-21E2-00560,05-04-2027 06:13,08-11-2021 00:00,PC_004,1,1
61,,10000,02-08-2022,SEZ2,IGS,IGS,"RoHS,DRAM-1",108259,250,250,39,1,RM-MIC-0003,990000,56749,5,PURCHASES,,WR-P,RECEIVE,141,120,,WR-P-E2-0001,1,990000,1,1,GRN-E2-00541,SHREERESHMI.M,,1,EA,,IDS-21E2-00101,12-05-2025 00:00,09-07-2025 09:28,PC_003,1,1
62,,10000,27-11-2021,SEZ2,IGS,IGS,"RoHS PCB BOARD, IQ CONTROLLER",137932,0,0,39,1,RM-MIC-0003,3660000,12345,5,PURCHASES,,WR-P,RECEIVE,117,203,,WR-P-E2-0001,1,4660000,1,1,GRN-E2-00158,SHREERESHMI.M,,1,EA,,IDS-21E2-00561,31-07-2027 10:30,28-01-2026 00:00,PC_004,1,1
63,,10000,19-02-2021,SEZ2,IGS,IGS,"RoHS PCB BOARD, IQ CONTROLLER",135506,250,250,39,1,RM-MIC-0003,1410000,12345,5,PURCHASES,,WR-P,RECEIVE,244,100,,WR-P-E2-0001,1,1410000,1,1,GRN-E2-00191,SHREERESHMI.M,,1,EA,,IDS-21E2-00324,13-07-2027 06:27,08-11-2021 00:00,PC_004,1,1
64,,10000,05-05-2021,SEZ2,IGS,IGS,"RoHS,Security Tape",119852,250,250,39,1,RM-MIC-0003,4100000,12345,5,PURCHASES,,WR-P,RECEIVE,218,216,,WR-P-E2-0001,1,4150000,1,1,GRN-E2-00194,SHREERESHMI.M,,1,EA,,IDS-21E2-01073,19-09-2025 17:59,12-06-2027 16:37,PC_005,1,1
65,,10000,23-08-2021,SEZ2,IGS,IGS,"RoHS PCB BOARD, IQ CONTROLLER",119191,175,175,39,1,RM-MIC-0003,2810000,12345,5,PURCHASES,,WR-P,RECEIVE,176,152,,WR-P-E2-0001,1,2810000,1,1,GRN-E2-00189,SHREERESHMI.M,,1,EA,,IDS-21E2-00369,11-11-2025 06:14,26-12-2027 09:08,PC_002,1,1
66,,10000,03-06-2022,SEZ3,TMG,TMG,"RoHS,Label, 5 X 2 inch blank",133133,175,175,39,1,RM-MIC-0003,9140000,54673,5,PURCHASES,,WR-P,RECEIVE,139,242,,WR-P-E2-0001,1,3140000,1,1,GRN-E2-00925,SHREERESHMI.M,,1,EA,,IDS-21E2-00560,03-10-2025 22:36,08-11-2021 00:00,PC_004,1,1
67,,10000,13-05-2022,SEZ3,TMG,TMG,OTCT-486*377*309MM-500PCS DIMM-Y,119852,200,200,39,1,RM-MIC-0003,340000,54673,5,PURCHASES,,WR-P,RECEIVE,224,197,,WR-P-E2-0001,1,340000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,06-05-2025 18:19,12-07-2026 00:00,PC_003,1,1
